/		CG-6 Survey
/		Survey Name:	1327-1253
/		Instrument Serial Number:	000000022090447
/		Created:	2023-02-22 04:54:50
/
/		CG-6 Calibration
/		Operator:	MADI
/		Gcal1 [mGal]:	8044.824000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030720
/		Y Scale [arc-sec/ADU]:	0.030787
/		X Offset [ADU]:	-209350.000000
/		Y Offset [ADU]:	-187102.000000
/		Temperature Coefficient [mGal/mK]:	-0.131000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.129536
/		Drift Zero Time:	2022-06-30 18:38:18
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1327	2023-02-22	04:54:50	4209.4709	3	0.0219	0.0028	4179.4845	4.8	3.5	-4.4401	-0.0585	0.0004	-0.5815	30.6259	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.3	11011
1327	2023-02-22	04:55:50	4209.4719	3	0.0144	0.0019	4179.4851	5.0	4.2	-4.4422	-0.0579	0.0006	-0.5819	30.6260	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.3	11011
1327	2023-02-22	04:56:50	4209.4737	3	0.0169	0.0022	4179.4867	5.3	3.5	-4.4468	-0.0574	0.0004	-0.5822	30.6261	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.3	11011
1327	2023-02-22	04:57:50	4209.4732	3	0.0217	0.0028	4179.4859	6.6	5.0	-4.4529	-0.0568	0.0009	-0.5829	30.6262	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.3	11011
1327	2023-02-22	04:58:50	4209.4746	3	0.0212	0.0027	4179.4870	6.4	5.1	-4.4552	-0.0563	0.0008	-0.5832	30.6263	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.3	11011
1327	2023-02-22	04:59:50	4209.4744	3	0.0161	0.0021	4179.4863	6.8	6.5	-4.4537	-0.0557	0.0012	-0.5838	30.6264	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.4	11011
1327	2023-02-22	05:00:50	4209.4749	3	0.0189	0.0024	4179.4865	7.1	5.8	-4.4603	-0.0552	0.0011	-0.5840	30.6265	60	0.206	43.367191	77.051486	674.00	43.367210	77.051521	684.4	11011
1327	2023-02-22	05:01:50	4209.4761	3	0.0193	0.0025	4179.4878	6.3	5.6	-4.4674	-0.0546	0.0008	-0.5844	30.6266	60	0.206	43.367191	77.051486	674.00	43.367210	77.051514	684.5	11011
1327	2023-02-22	05:02:50	4209.4762	3	0.0130	0.0017	4179.4869	7.9	6.1	-4.4752	-0.0541	0.0015	-0.5848	30.6267	60	0.206	43.367191	77.051486	674.00	43.367210	77.051514	684.5	11011
1327	2023-02-22	05:03:50	4209.4757	3	0.0194	0.0025	4179.4865	8.0	4.6	-4.4683	-0.0535	0.0010	-0.5850	30.6267	60	0.206	43.367191	77.051486	674.00	43.367210	77.051514	684.5	11011
