/		CG-6 Survey
/		Survey Name:	1089-2359
/		Instrument Serial Number:	000000022090457
/		Created:	2023-02-20 06:13:38
/
/		CG-6 Calibration
/		Operator:	DIDAR
/		Gcal1 [mGal]:	8129.961000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031057
/		Y Scale [arc-sec/ADU]:	0.030761
/		X Offset [ADU]:	-185273.000000
/		Y Offset [ADU]:	-250815.000000
/		Temperature Coefficient [mGal/mK]:	-0.133000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.056715
/		Drift Zero Time:	2022-08-15 19:04:54
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-02-20	06:13:38	4215.4387	1	0.0253	0.0033	4204.8678	2.5	-0.1	-0.7125	-0.0237	0.0001	-0.0943	10.6887	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:14:38	4215.4399	1	0.0189	0.0024	4204.8688	3.6	-0.0	-0.7144	-0.0234	0.0002	-0.0944	10.6888	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:15:38	4215.4396	1	0.0187	0.0024	4204.8685	3.2	1.6	-0.7089	-0.0232	0.0002	-0.0947	10.6888	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:16:38	4215.4377	1	0.0206	0.0027	4204.8662	3.1	1.8	-0.7078	-0.0229	0.0002	-0.0947	10.6888	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:17:38	4215.4383	1	0.0183	0.0024	4204.8664	3.0	1.7	-0.7115	-0.0227	0.0002	-0.0946	10.6889	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:18:38	4215.4385	1	0.0174	0.0023	4204.8667	2.9	2.7	-0.7129	-0.0224	0.0002	-0.0948	10.6889	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:19:38	4215.4382	1	0.0158	0.0020	4204.8662	1.9	1.6	-0.7047	-0.0222	0.0001	-0.0949	10.6890	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:20:38	4215.4379	1	0.0139	0.0018	4204.8656	2.5	0.8	-0.7129	-0.0219	0.0001	-0.0949	10.6890	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:21:38	4215.4376	1	0.0197	0.0025	4204.8650	3.2	1.0	-0.7136	-0.0217	0.0002	-0.0949	10.6890	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:22:38	4215.4378	1	0.0263	0.0034	4204.8650	2.9	-0.0	-0.7216	-0.0215	0.0001	-0.0949	10.6891	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1253	2023-02-20	09:02:06	4064.2225	1	0.0174	0.0022	4053.6640	4.9	11.4	-0.7571	-0.0386	0.0018	-0.1001	10.6954	60	0.210	43.290520	77.326134	1356.00	43.290489	77.326019	1414.7	11011
1253	2023-02-20	09:03:06	4064.2215	1	0.0151	0.0019	4053.6629	6.5	14.0	-0.7577	-0.0390	0.0027	-0.1005	10.6954	60	0.210	43.290520	77.326134	1356.00	43.290749	77.326195	1410.1	11011
1253	2023-02-20	09:04:06	4064.2205	1	0.0180	0.0023	4053.6629	6.6	13.4	-0.7608	-0.0394	0.0026	-0.1009	10.6954	60	0.210	43.290520	77.326134	1356.00	43.290680	77.326096	1404.1	11011
1253	2023-02-20	09:05:06	4064.2206	1	0.0106	0.0014	4053.6636	4.8	13.7	-0.7614	-0.0398	0.0025	-0.1012	10.6955	60	0.210	43.290520	77.326134	1356.00	43.290821	77.326286	1399.0	11011
1253	2023-02-20	09:06:06	4064.2195	1	0.0109	0.0014	4053.6630	4.0	14.7	-0.7713	-0.0402	0.0028	-0.1016	10.6955	60	0.210	43.290520	77.326134	1356.00	43.290691	77.326233	1395.3	11011
1253	2023-02-20	09:07:06	4064.2191	1	0.0169	0.0022	4053.6633	4.1	14.4	-0.7680	-0.0406	0.0027	-0.1018	10.6956	60	0.210	43.290520	77.326134	1356.00	43.290642	77.326370	1394.7	11011
1253	2023-02-20	09:08:06	4064.2185	1	0.0139	0.0018	4053.6636	3.7	14.0	-0.7686	-0.0411	0.0025	-0.1022	10.6956	60	0.210	43.290520	77.326134	1356.00	43.290558	77.326118	1395.1	11011
1253	2023-02-20	09:09:06	4064.2178	1	0.0126	0.0016	4053.6637	5.2	13.7	-0.7717	-0.0415	0.0026	-0.1026	10.6956	60	0.210	43.290520	77.326134	1356.00	43.290615	77.325851	1392.8	11011
1253	2023-02-20	09:10:06	4064.2173	1	0.0151	0.0019	4053.6642	3.5	13.8	-0.7755	-0.0419	0.0023	-0.1031	10.6957	60	0.210	43.290520	77.326134	1356.00	43.290386	77.325851	1387.6	11011
1253	2023-02-20	09:11:06	4064.2167	1	0.0113	0.0015	4053.6641	2.5	13.3	-0.7748	-0.0423	0.0024	-0.1032	10.6957	60	0.210	43.290520	77.326134	1356.00	43.290470	77.325951	1381.7	11011
1089	2023-02-20	10:40:08	4215.4408	1	0.0295	0.0038	4204.9109	5.5	-1.1	-0.6568	-0.0815	0.0004	-0.0882	10.6992	60	0.216	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:41:08	4215.4467	1	0.0262	0.0034	4204.9172	5.4	-0.6	-0.6653	-0.0819	0.0004	-0.0883	10.6993	60	0.216	43.355932	76.936576	700.00	--	--	--	11011
