/		CG-6 Survey
/		Survey Name:	1089-1327
/		Instrument Serial Number:	000000022090458
/		Created:	2023-02-21 04:02:32
/
/		CG-6 Calibration
/		Operator:	ADLET
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.052710
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-02-21	04:02:32	4037.4714	2	0.0216	0.0028	4027.4839	1.3	-1.2	-0.6917	-0.0808	0.0001	-0.0877	10.1558	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:03:32	4037.4735	2	0.0251	0.0032	4027.4858	0.3	-1.5	-0.6939	-0.0804	0.0001	-0.0878	10.1558	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:04:32	4037.4728	2	0.0211	0.0027	4027.4845	0.9	-1.1	-0.6972	-0.0799	0.0000	-0.0877	10.1559	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:05:32	4037.4729	2	0.0253	0.0033	4027.4842	0.1	0.0	-0.6881	-0.0795	0.0000	-0.0878	10.1559	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:06:32	4037.4722	2	0.0253	0.0033	4027.4832	-0.6	0.2	-0.6929	-0.0790	0.0000	-0.0879	10.1559	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:07:32	4037.4729	2	0.0263	0.0034	4027.4835	-1.2	-0.0	-0.6896	-0.0786	0.0000	-0.0881	10.1560	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:08:32	4037.4735	2	0.0206	0.0027	4027.4835	-0.5	0.1	-0.6922	-0.0781	0.0000	-0.0879	10.1560	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:09:32	4037.4723	2	0.0296	0.0038	4027.4817	-0.9	-0.6	-0.6889	-0.0776	0.0000	-0.0879	10.1561	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:10:32	4037.4728	2	0.0274	0.0035	4027.4816	-1.4	-1.1	-0.6931	-0.0772	0.0001	-0.0878	10.1561	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:11:32	4037.4728	2	0.0255	0.0033	4027.4810	-1.5	-0.9	-0.6901	-0.0767	0.0001	-0.0877	10.1561	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1327	2023-02-21	06:02:36	4034.7158	2	0.0273	0.0035	4024.6657	-5.3	2.6	-0.7154	-0.0201	0.0004	-0.0904	10.1602	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.6	11011
1327	2023-02-21	06:03:36	4034.7142	2	0.0196	0.0025	4024.6635	-6.5	4.6	-0.7111	-0.0196	0.0008	-0.0907	10.1602	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.6	11011
1327	2023-02-21	06:04:36	4034.7143	2	0.0222	0.0029	4024.6635	-7.1	3.6	-0.7212	-0.0192	0.0008	-0.0911	10.1603	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.6	11011
1327	2023-02-21	06:05:36	4034.7160	2	0.0207	0.0027	4024.6653	-7.4	3.6	-0.7287	-0.0187	0.0007	-0.0916	10.1603	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.6	11011
1327	2023-02-21	06:06:36	4034.7164	2	0.0237	0.0031	4024.6656	-5.9	4.2	-0.7329	-0.0183	0.0007	-0.0920	10.1603	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.7	11011
1327	2023-02-21	06:07:36	4034.7158	2	0.0247	0.0032	4024.6651	-5.7	4.8	-0.7340	-0.0178	0.0006	-0.0925	10.1604	60	0.213	43.367176	77.051521	672.70	43.367176	77.051521	672.6	11011
