/		CG-6 Survey
/		Survey Name:	1327-1253
/		Instrument Serial Number:	000000022090460
/		Created:	2023-02-22 04:54:48
/
/		CG-6 Calibration
/		Operator:	SAMAT
/		Gcal1 [mGal]:	8008.163000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030855
/		Y Scale [arc-sec/ADU]:	0.031483
/		X Offset [ADU]:	-190283.000000
/		Y Offset [ADU]:	-147195.000000
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.042916
/		Drift Zero Time:	2022-08-22 14:00:27
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1327	2023-02-22	04:54:48	4095.4860	3	0.0231	0.0030	4087.9869	-9.1	-5.4	-2.4918	-0.0585	0.0013	-0.3240	7.8803	60	0.208	43.367191	77.051486	674.00	43.367268	77.051575	708.9	11011
1327	2023-02-22	04:55:48	4095.4884	3	0.0169	0.0022	4087.9884	-11.7	-7.5	-2.4953	-0.0580	0.0021	-0.3244	7.8803	60	0.208	43.367191	77.051486	674.00	43.367268	77.051575	708.9	11011
1327	2023-02-22	04:56:48	4095.4900	3	0.0166	0.0021	4087.9889	-13.5	-8.3	-2.5049	-0.0574	0.0031	-0.3248	7.8803	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	04:57:48	4095.4892	3	0.0200	0.0026	4087.9874	-14.0	-10.0	-2.5117	-0.0569	0.0038	-0.3255	7.8803	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	04:58:48	4095.4904	3	0.0216	0.0028	4087.9886	-15.2	-10.0	-2.5101	-0.0563	0.0039	-0.3261	7.8804	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	04:59:48	4095.4892	3	0.0165	0.0021	4087.9857	-17.5	-11.8	-2.5119	-0.0558	0.0053	-0.3264	7.8804	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	05:00:48	4095.4888	3	0.0175	0.0023	4087.9840	-19.7	-11.8	-2.5176	-0.0552	0.0067	-0.3271	7.8804	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	05:01:48	4095.4874	3	0.0187	0.0024	4087.9828	-20.7	-12.4	-2.5246	-0.0546	0.0063	-0.3276	7.8805	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	05:02:48	4095.4887	3	0.0116	0.0015	4087.9806	-25.1	-13.5	-2.5308	-0.0541	0.0094	-0.3277	7.8805	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
1327	2023-02-22	05:03:48	4095.4875	3	0.0166	0.0021	4087.9795	-24.9	-12.9	-2.5213	-0.0535	0.0090	-0.3280	7.8805	60	0.208	43.367191	77.051486	674.00	43.367176	77.051514	710.5	11011
