/		CG-6 Survey
/		Survey Name:	VG_1253
/		Instrument Serial Number:	000000022090461
/		Created:	2023-02-17 04:52:36
/
/		CG-6 Calibration
/		Operator:	SB
/		Gcal1 [mGal]:	8131.321000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030797
/		Y Scale [arc-sec/ADU]:	0.031443
/		X Offset [ADU]:	-108222.000000
/		Y Offset [ADU]:	-170730.000000
/		Temperature Coefficient [mGal/mK]:	-0.136000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.069472
/		Drift Zero Time:	2022-08-19 17:21:23
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-02-17	04:52:36	4307.4836	1	0.0107	0.0014	4295.1742	2.6	-0.9	-1.7111	-0.0657	0.0002	-0.2329	12.6078	60	0.211	43.290565	77.326233	1367.40	43.290909	77.326477	1375.8	11011
1	2023-02-17	04:53:36	4307.4863	1	0.0123	0.0016	4295.1775	2.4	-0.7	-1.7193	-0.0656	0.0002	-0.2335	12.6078	60	0.211	43.290565	77.326233	1367.40	43.290565	77.326157	1378.5	11011
1	2023-02-17	04:54:36	4307.4878	1	0.0103	0.0013	4295.1798	1.6	-2.2	-1.7251	-0.0655	0.0001	-0.2345	12.6079	60	0.211	43.290565	77.326233	1367.40	43.290623	77.326180	1379.3	11011
1	2023-02-17	04:55:36	4307.4909	1	0.0094	0.0012	4295.1836	0.1	-0.2	-1.7266	-0.0655	0.0001	-0.2352	12.6079	60	0.211	43.290565	77.326233	1367.40	43.291023	77.326744	1376.8	11011
1	2023-02-17	04:56:36	4307.4926	1	0.0117	0.0015	4295.1859	0.8	-0.4	-1.7350	-0.0654	0.0000	-0.2359	12.6080	60	0.211	43.290565	77.326233	1367.40	43.290443	77.326172	1377.5	11011
2	2023-02-17	05:07:39	4307.3453	1	0.0118	0.0015	4295.0422	4.5	-5.3	-1.7758	-0.0648	0.0006	-0.2412	12.6085	60	0.700	43.290565	77.326233	1367.40	43.290375	77.326042	1367.4	11011
2	2023-02-17	05:08:39	4307.3446	1	0.0131	0.0017	4295.0421	2.2	-5.5	-1.7786	-0.0647	0.0004	-0.2417	12.6085	60	0.700	43.290565	77.326233	1367.40	43.290497	77.326248	1366.6	11011
2	2023-02-17	05:09:39	4307.3458	1	0.0098	0.0013	4295.0433	1.2	-5.7	-1.7825	-0.0647	0.0005	-0.2420	12.6086	60	0.700	43.290565	77.326233	1367.40	43.291348	77.326897	1365.7	11011
2	2023-02-17	05:10:39	4307.3479	1	0.0106	0.0014	4295.0461	0.0	-5.1	-1.7812	-0.0646	0.0003	-0.2425	12.6086	60	0.700	43.290565	77.326233	1367.40	43.290401	77.326096	1365.1	11011
2	2023-02-17	05:11:39	4307.3471	1	0.0093	0.0012	4295.0454	1.0	-4.9	-1.7798	-0.0646	0.0003	-0.2427	12.6087	60	0.700	43.290565	77.326233	1367.40	43.290344	77.326057	1363.5	11011
1	2023-02-17	05:15:19	4307.5081	1	0.0102	0.0013	4295.2071	-1.4	2.0	-1.7919	-0.0645	0.0002	-0.2435	12.6089	60	0.210	43.290565	77.326233	1367.40	43.290401	77.326103	1359.4	11011
