/		CG-6 Survey
/		Survey Name:	VG_992_20240420_04_1
/		Instrument Serial Number:	000000022090450
/		Created:	2024-04-20 12:06:06
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	7779.194000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031039
/		Y Scale [arc-sec/ADU]:	0.030659
/		X Offset [ADU]:	-142226.657183
/		Y Offset [ADU]:	-246627.263079
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.000786
/		Drift Zero Time:	2022-08-08 18:34:51
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2024-04-20	12:06:06	5061.6088	1	0.0070	0.0009	5061.3061	3.3	-1.7	-0.9391	-0.0630	0.0002	-0.1223	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:07:06	5061.6084	1	0.0066	0.0008	5061.3058	3.2	-2.5	-0.9334	-0.0630	0.0002	-0.1224	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:08:06	5061.6085	1	0.0068	0.0009	5061.3060	2.9	-2.2	-0.9395	-0.0630	0.0001	-0.1225	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:09:06	5061.6090	1	0.0050	0.0006	5061.3065	2.6	-1.9	-0.9466	-0.0630	0.0001	-0.1224	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:10:06	5061.6070	1	0.0076	0.0010	5061.3045	2.2	-1.7	-0.9403	-0.0630	0.0001	-0.1225	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:11:06	5061.6093	1	0.0067	0.0009	5061.3066	2.9	-3.3	-0.9414	-0.0629	0.0002	-0.1224	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
1	2024-04-20	12:12:06	5061.6093	1	0.0082	0.0011	5061.3066	3.3	-3.1	-0.9429	-0.0629	0.0003	-0.1225	0.4878	60	0.212	47.901783	67.502335	460.60	47.901546	67.502205	416.3	11011
2	2024-04-20	12:17:18	5061.4542	1	0.0068	0.0009	5061.1504	4.9	-0.2	-0.9326	-0.0627	0.0003	-0.1216	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.3	11011
2	2024-04-20	12:18:18	5061.4541	1	0.0067	0.0009	5061.1501	5.4	-0.3	-0.9405	-0.0627	0.0004	-0.1215	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.3	11011
2	2024-04-20	12:19:18	5061.4552	1	0.0075	0.0010	5061.1511	4.0	0.8	-0.9384	-0.0626	0.0003	-0.1214	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.3	11011
2	2024-04-20	12:20:18	5061.4570	1	0.0069	0.0009	5061.1526	4.9	1.2	-0.9347	-0.0626	0.0004	-0.1212	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.3	11011
2	2024-04-20	12:21:18	5061.4555	1	0.0065	0.0008	5061.1512	4.8	0.8	-0.9283	-0.0625	0.0003	-0.1213	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.3	11011
2	2024-04-20	12:22:18	5061.4554	1	0.0068	0.0009	5061.1510	5.1	0.3	-0.9303	-0.0624	0.0003	-0.1213	0.4878	60	0.703	47.901783	67.502335	460.60	47.901585	67.502357	412.5	11011
1	2024-04-20	12:25:16	5061.6099	1	0.0089	0.0012	5061.3046	-1.8	-5.1	-0.9285	-0.0622	0.0004	-0.1207	0.4878	60	0.212	47.901783	67.502335	460.60	47.901585	67.502342	412.7	11011
1	2024-04-20	12:26:16	5061.6101	1	0.0120	0.0016	5061.3048	0.6	-6.2	-0.9297	-0.0622	0.0005	-0.1208	0.4878	60	0.212	47.901783	67.502335	460.60	47.901585	67.502335	412.8	11011
1	2024-04-20	12:27:16	5061.6084	1	0.0088	0.0011	5061.3026	3.3	-7.5	-0.9321	-0.0621	0.0008	-0.1207	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502304	413.5	11011
1	2024-04-20	12:28:16	5061.6079	1	0.0089	0.0011	5061.3018	4.6	-8.1	-0.9331	-0.0620	0.0011	-0.1207	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502304	413.2	11011
1	2024-04-20	12:29:16	5061.6084	1	0.0709	0.0092	5061.3018	3.5	-3.8	-0.9366	-0.0619	0.0014	-0.1207	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502296	413.2	11011
1	2024-04-20	12:30:16	5061.6093	1	0.0080	0.0010	5061.3041	-1.9	0.3	-0.9243	-0.0619	0.0001	-0.1208	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502296	413.3	11011
1	2024-04-20	12:31:16	5061.6099	1	0.0124	0.0016	5061.3045	-0.5	-0.5	-0.9296	-0.0618	0.0000	-0.1207	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502296	413.3	11011
2	2024-04-20	12:43:43	5061.4549	1	0.0114	0.0015	5061.1477	-4.5	4.4	-0.9214	-0.0604	0.0005	-0.1207	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:44:43	5061.4550	1	0.0064	0.0008	5061.1479	-5.1	2.4	-0.9245	-0.0603	0.0004	-0.1208	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:45:43	5061.4505	1	0.0084	0.0011	5061.1435	-4.6	0.8	-0.9306	-0.0602	0.0003	-0.1209	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:46:43	5061.4555	1	0.0066	0.0009	5061.1483	-4.6	2.5	-0.9305	-0.0600	0.0004	-0.1210	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:47:43	5061.4590	1	0.0067	0.0009	5061.1519	-5.0	1.6	-0.9335	-0.0599	0.0004	-0.1212	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:48:43	5061.4522	1	0.0130	0.0017	5061.1450	-4.2	0.7	-0.9345	-0.0598	0.0002	-0.1211	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
2	2024-04-20	12:49:43	5061.4513	1	0.0071	0.0009	5061.1444	-3.1	0.6	-0.9311	-0.0596	0.0002	-0.1214	0.4878	60	0.701	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
1	2024-04-20	12:53:51	5061.6116	1	0.0095	0.0012	5061.3035	4.4	1.5	-0.9298	-0.0590	0.0003	-0.1210	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
1	2024-04-20	12:54:51	5061.6109	1	0.0059	0.0008	5061.3031	4.0	1.7	-0.9367	-0.0588	0.0002	-0.1213	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502266	418.7	11011
1	2024-04-20	12:55:51	5061.6097	1	0.0090	0.0012	5061.3018	3.9	1.7	-0.9362	-0.0587	0.0002	-0.1215	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502266	418.8	11011
1	2024-04-20	12:56:51	5061.6110	1	0.0117	0.0015	5061.3029	2.9	1.6	-0.9362	-0.0585	0.0002	-0.1214	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502266	418.8	11011
1	2024-04-20	12:57:51	5061.6089	1	0.0073	0.0009	5061.3009	1.7	1.3	-0.9383	-0.0583	0.0001	-0.1215	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502243	419.0	11011
1	2024-04-20	12:58:51	5061.6101	1	0.0108	0.0014	5061.3019	3.2	0.8	-0.9300	-0.0582	0.0001	-0.1216	0.4878	60	0.212	47.901783	67.502335	460.60	47.901577	67.502220	419.0	11011
1	2024-04-20	12:59:51	5061.6104	1	0.0076	0.0010	5061.3019	3.2	1.1	-0.9397	-0.0580	0.0002	-0.1215	0.4878	60	0.212	47.901783	67.502335	460.60	47.901573	67.502220	419.0	11011
2	2024-04-20	13:03:02	5061.4553	1	0.0303	0.0039	5061.1445	9.7	7.8	-0.9303	-0.0574	0.0018	-0.1214	0.4878	60	0.701	47.901783	67.502335	460.60	47.901573	67.502190	420.2	11011
2	2024-04-20	13:04:02	5061.4581	1	0.0091	0.0012	5061.1476	4.4	9.7	-0.9342	-0.0573	0.0014	-0.1215	0.4878	60	0.701	47.901783	67.502335	460.60	47.901520	67.502243	414.2	11011
2	2024-04-20	13:05:02	5061.4549	1	0.0090	0.0012	5061.1445	3.6	8.5	-0.9306	-0.0571	0.0011	-0.1215	0.4878	60	0.701	47.901783	67.502335	460.60	47.901520	67.502243	414.3	11011
2	2024-04-20	13:06:02	5061.4588	1	0.0084	0.0011	5061.1483	3.2	9.8	-0.9344	-0.0569	0.0014	-0.1218	0.4878	60	0.701	47.901783	67.502335	460.60	47.901520	67.502243	414.3	11011
2	2024-04-20	13:07:02	5061.4594	1	0.0080	0.0010	5061.1486	4.7	8.9	-0.9387	-0.0567	0.0013	-0.1216	0.4878	60	0.701	47.901783	67.502335	460.60	47.901539	67.502220	423.5	11011
2	2024-04-20	13:08:02	5061.4589	1	0.0081	0.0010	5061.1483	4.2	9.4	-0.9343	-0.0565	0.0011	-0.1219	0.4878	60	0.701	47.901783	67.502335	460.60	47.901539	67.502220	423.5	11011
2	2024-04-20	13:09:02	5061.4569	1	0.0072	0.0009	5061.1461	3.8	9.9	-0.9325	-0.0563	0.0013	-0.1220	0.4878	60	0.701	47.901783	67.502335	460.60	47.901539	67.502220	424.6	11011
1	2024-04-20	13:12:14	5061.6095	1	0.0062	0.0008	5061.2987	-6.1	-3.8	-0.9343	-0.0557	0.0006	-0.1221	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:13:14	5061.6102	1	0.0067	0.0009	5061.2992	-5.2	-4.1	-0.9394	-0.0554	0.0006	-0.1219	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:14:14	5061.6095	1	0.0093	0.0012	5061.2984	-5.3	-4.2	-0.9304	-0.0552	0.0006	-0.1220	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:15:14	5061.6101	1	0.0093	0.0012	5061.2989	-6.8	-2.3	-0.9428	-0.0550	0.0006	-0.1221	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:16:14	5061.6077	1	0.0084	0.0011	5061.2963	-7.0	-3.6	-0.9382	-0.0548	0.0006	-0.1223	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:17:14	5061.6107	1	0.0089	0.0012	5061.2988	-6.8	-4.8	-0.9424	-0.0546	0.0008	-0.1222	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
1	2024-04-20	13:18:14	5061.6092	1	0.0081	0.0010	5061.2970	-6.5	-4.4	-0.9398	-0.0544	0.0008	-0.1221	0.4878	60	0.212	47.901783	67.502335	460.60	47.901539	67.502220	426.3	11011
2	2024-04-20	06:52:43	5061.4554	1	0.0055	0.0007	5061.0682	-1.6	1.9	-0.9019	0.0162	0.0001	-0.1168	0.4876	60	0.701	47.901783	67.502335	460.60	47.901577	67.502052	428.8	11011
2	2024-04-20	07:27:04	5061.4541	1	0.0182	0.0023	5061.0728	1.7	3.6	-0.8968	0.0096	0.0002	-0.1162	0.4876	60	0.700	47.901783	67.502335	460.60	47.901566	67.502090	427.0	11011
2	2024-04-20	06:53:43	5061.4563	1	0.0088	0.0011	5061.0694	-1.0	1.7	-0.8984	0.0161	0.0001	-0.1168	0.4876	60	0.701	47.901783	67.502335	460.60	47.901566	67.502037	428.7	11011
2	2024-04-20	06:54:43	5061.4563	1	0.0081	0.0010	5061.0694	1.0	0.7	-0.8948	0.0159	0.0001	-0.1167	0.4876	60	0.701	47.901783	67.502335	460.60	47.901554	67.502029	428.9	11011
2	2024-04-20	06:56:43	5061.4559	1	0.0075	0.0010	5061.0693	0.6	0.7	-0.8924	0.0156	0.0000	-0.1167	0.4876	60	0.701	47.901783	67.502335	460.60	47.901585	67.502052	427.2	11011
2	2024-04-20	06:57:43	5061.4564	1	0.0097	0.0013	5061.0697	1.7	0.6	-0.9009	0.0155	0.0001	-0.1165	0.4876	60	0.701	47.901783	67.502335	460.60	47.901573	67.502037	427.6	11011
1	2024-04-20	07:00:50	5061.6088	1	0.0070	0.0009	5061.2222	0.3	1.5	-0.8880	0.0149	0.0001	-0.1161	0.4876	60	0.215	47.901783	67.502335	460.60	47.901596	67.502129	430.0	11011
1	2024-04-20	07:01:50	5061.6099	1	0.0076	0.0010	5061.2234	1.1	0.9	-0.8939	0.0148	0.0000	-0.1159	0.4876	60	0.215	47.901783	67.502335	460.60	47.901566	67.502106	429.2	11011
1	2024-04-20	07:02:50	5061.6089	1	0.0061	0.0008	5061.2228	0.7	1.4	-0.8948	0.0146	0.0001	-0.1162	0.4876	60	0.215	47.901783	67.502335	460.60	47.901596	67.502113	428.5	11011
1	2024-04-20	07:03:50	5061.6104	1	0.0082	0.0011	5061.2245	-0.2	1.6	-0.8920	0.0144	0.0001	-0.1163	0.4876	60	0.215	47.901783	67.502335	460.60	--	--	--	11011
1	2024-04-20	07:04:50	5061.6094	1	0.0074	0.0010	5061.2238	-1.2	2.5	-0.8954	0.0142	0.0001	-0.1164	0.4876	60	0.215	47.901783	67.502335	460.60	47.901615	67.502228	426.4	11011
1	2024-04-20	07:05:50	5061.6076	1	0.0071	0.0009	5061.2224	-1.5	1.6	-0.9003	0.0141	0.0001	-0.1166	0.4876	60	0.215	47.901783	67.502335	460.60	--	--	--	11011
1	2024-04-20	07:06:50	5061.6083	1	0.0086	0.0011	5061.2233	-0.6	1.3	-0.8951	0.0139	0.0001	-0.1166	0.4876	60	0.215	47.901783	67.502335	460.60	47.901508	67.501961	427.4	11011
2	2024-04-20	07:09:40	5061.4549	1	0.0077	0.0010	5061.0700	-1.6	-2.4	-0.8913	0.0133	0.0001	-0.1163	0.4876	60	0.701	47.901783	67.502335	460.60	47.901573	67.502090	426.5	11011
2	2024-04-20	07:10:40	5061.4556	1	0.0074	0.0009	5061.0711	-0.4	-0.7	-0.8984	0.0131	0.0000	-0.1163	0.4876	60	0.701	47.901783	67.502335	460.60	47.901554	67.502075	426.6	11011
