/		CG-6 Survey
/		Survey Name:	VG_992_20240420_01
/		Instrument Serial Number:	000000022090450
/		Created:	2024-04-20 03:18:41
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	7779.194000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031039
/		Y Scale [arc-sec/ADU]:	0.030659
/		X Offset [ADU]:	-142226.657183
/		Y Offset [ADU]:	-246627.263079
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.000786
/		Drift Zero Time:	2022-08-08 18:34:51
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
2	2024-04-20	03:18:41	5061.4476	1	0.0363	0.0047	5061.1051	1.7	3.8	-0.9595	-0.0206	0.0003	-0.1247	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.7	11011
2	2024-04-20	03:19:41	5061.4570	1	0.0066	0.0009	5061.1143	2.1	4.2	-0.9611	-0.0202	0.0002	-0.1248	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.7	11011
2	2024-04-20	03:20:41	5061.4560	1	0.0071	0.0009	5061.1129	2.5	3.4	-0.9617	-0.0198	0.0003	-0.1249	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.6	11011
2	2024-04-20	03:21:41	5061.4545	1	0.0081	0.0010	5061.1111	2.4	3.4	-0.9611	-0.0194	0.0002	-0.1249	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.6	11011
2	2024-04-20	03:22:41	5061.4564	1	0.0080	0.0010	5061.1125	3.4	4.3	-0.9617	-0.0190	0.0004	-0.1251	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.7	11011
2	2024-04-20	03:23:41	5061.4575	1	0.0076	0.0010	5061.1133	3.3	5.0	-0.9626	-0.0186	0.0005	-0.1251	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.7	11011
2	2024-04-20	03:24:41	5061.4553	1	0.0094	0.0012	5061.1106	4.6	4.9	-0.9680	-0.0182	0.0005	-0.1252	0.4875	60	0.701	47.901783	67.502335	460.60	47.901783	67.502335	460.7	11011
1	2024-04-20	03:27:35	5061.6111	1	0.0172	0.0022	5061.2656	-1.4	-1.2	-0.9718	-0.0170	0.0001	-0.1251	0.4875	60	0.210	47.901783	67.502335	460.60	47.901756	67.502304	456.8	11011
1	2024-04-20	03:28:35	5061.6103	1	0.0085	0.0011	5061.2646	-1.3	-1.5	-0.9688	-0.0166	0.0001	-0.1252	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	457.0	11011
1	2024-04-20	03:29:35	5061.6105	1	0.0086	0.0011	5061.2645	-1.1	-0.8	-0.9711	-0.0162	0.0000	-0.1253	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	456.9	11011
1	2024-04-20	03:30:35	5061.6104	1	0.0065	0.0008	5061.2641	-1.4	-2.0	-0.9636	-0.0158	0.0001	-0.1255	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	456.9	11011
1	2024-04-20	03:31:35	5061.6095	1	0.0081	0.0010	5061.2628	-3.0	-2.0	-0.9650	-0.0155	0.0002	-0.1255	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	457.0	11011
1	2024-04-20	03:32:35	5061.6117	1	0.0083	0.0011	5061.2648	-1.5	-2.4	-0.9678	-0.0151	0.0001	-0.1257	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	457.0	11011
1	2024-04-20	03:33:35	5061.6100	1	0.0065	0.0008	5061.2626	-3.5	-1.7	-0.9688	-0.0147	0.0003	-0.1257	0.4875	60	0.210	47.901783	67.502335	460.60	47.901749	67.502304	457.0	11011
