/		CG-6 Survey
/		Survey Name:	486-XXXX-1010
/		Instrument Serial Number:	000000022090457
/		Created:	2023-08-01 05:51:41
/
/		CG-6 Calibration
/		Operator:	BIZAK
/		Gcal1 [mGal]:	8129.961000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030517
/		Y Scale [arc-sec/ADU]:	0.030894
/		X Offset [ADU]:	-181093.299981
/		Y Offset [ADU]:	-246478.303346
/		Temperature Coefficient [mGal/mK]:	-0.133000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.005364
/		Drift Zero Time:	2022-08-15 19:04:54
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
486	2023-08-01	05:51:41	5181.3944	1	0.0128	0.0016	5179.4991	-5.6	-2.8	-0.5126	0.0833	0.0005	-0.0685	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.6	11011
486	2023-08-01	05:52:41	5181.3937	1	0.0123	0.0016	5179.4975	-6.6	-3.3	-0.5114	0.0840	0.0006	-0.0684	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.8	11011
486	2023-08-01	05:53:41	5181.3944	1	0.0126	0.0016	5179.4976	-6.0	-4.6	-0.5119	0.0847	0.0006	-0.0684	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.8	11011
486	2023-08-01	05:54:41	5181.3927	1	0.0146	0.0019	5179.4951	-5.7	-4.3	-0.5086	0.0853	0.0005	-0.0682	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.8	11011
486	2023-08-01	05:55:41	5181.3936	1	0.0146	0.0019	5179.4949	-5.4	-4.8	-0.5098	0.0860	0.0007	-0.0680	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.8	11011
486	2023-08-01	05:56:41	5181.3937	1	0.0103	0.0013	5179.4942	-5.0	-4.7	-0.5032	0.0866	0.0006	-0.0677	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017128	55.8	11011
486	2023-08-01	05:57:41	5181.3934	1	0.0111	0.0014	5179.4929	-5.3	-6.6	-0.5050	0.0873	0.0007	-0.0675	1.8800	60	0.211	51.153053	53.017128	56.40	51.153019	53.017139	55.5	11011
486	2023-08-01	05:58:41	5181.3924	1	0.0143	0.0018	5179.4907	-4.3	-7.5	-0.5007	0.0879	0.0008	-0.0671	1.8800	60	0.211	51.153053	53.017128	56.40	51.153027	53.017139	55.1	11011
486	2023-08-01	05:59:41	5181.3927	1	0.0114	0.0015	5179.4900	-6.5	-7.3	-0.4982	0.0886	0.0012	-0.0671	1.8800	60	0.211	51.153053	53.017128	56.40	51.153027	53.017139	54.9	11011
486	2023-08-01	06:00:41	5181.3920	1	0.0109	0.0014	5179.4882	-5.3	-8.8	-0.4939	0.0892	0.0012	-0.0666	1.8800	60	0.211	51.153053	53.017128	56.40	51.153027	53.017128	54.8	11011
498	2023-08-01	07:14:59	5160.7305	1	0.0156	0.0020	5158.7891	-1.0	3.7	-0.4996	0.1271	0.0002	-0.0662	1.8803	60	0.208	51.138500	53.260708	159.20	51.138485	53.260735	158.9	11011
498	2023-08-01	07:15:59	5160.7299	1	0.0138	0.0018	5158.7881	-1.4	4.8	-0.5079	0.1274	0.0003	-0.0662	1.8803	60	0.208	51.138500	53.260708	159.20	51.138485	53.260735	158.9	11011
498	2023-08-01	07:16:59	5160.7312	1	0.0179	0.0023	5158.7893	-1.4	4.0	-0.4985	0.1277	0.0002	-0.0663	1.8803	60	0.208	51.138500	53.260708	159.20	51.138485	53.260735	158.9	11011
498	2023-08-01	07:17:59	5160.7295	1	0.0153	0.0020	5158.7876	0.3	3.2	-0.4987	0.1280	0.0001	-0.0666	1.8803	60	0.208	51.138500	53.260708	159.20	51.138485	53.260735	158.9	11011
498	2023-08-01	07:18:59	5160.7296	1	0.0137	0.0018	5158.7873	0.3	4.9	-0.5013	0.1284	0.0003	-0.0666	1.8803	60	0.208	51.138500	53.260708	159.20	51.138485	53.260727	159.0	11011
498	2023-08-01	07:19:59	5160.7295	1	0.0165	0.0021	5158.7869	2.8	4.8	-0.5079	0.1287	0.0004	-0.0668	1.8803	60	0.208	51.138500	53.260708	159.20	51.138474	53.260735	159.0	11011
498	2023-08-01	07:20:59	5160.7287	1	0.0113	0.0015	5158.7857	3.5	4.6	-0.5045	0.1290	0.0005	-0.0668	1.8803	60	0.208	51.138500	53.260708	159.20	51.138474	53.260735	159.0	11011
498	2023-08-01	07:21:59	5160.7282	1	0.0127	0.0016	5158.7851	3.5	4.7	-0.5034	0.1293	0.0005	-0.0669	1.8803	60	0.208	51.138500	53.260708	159.20	51.138474	53.260735	159.1	11011
498	2023-08-01	07:22:59	5160.7290	1	0.0132	0.0017	5158.7852	4.9	4.0	-0.5096	0.1296	0.0005	-0.0667	1.8803	60	0.208	51.138500	53.260708	159.20	51.138474	53.260735	159.0	11011
498	2023-08-01	07:23:59	5160.7285	1	0.0163	0.0021	5158.7842	5.7	4.7	-0.5000	0.1299	0.0007	-0.0666	1.8803	60	0.208	51.138500	53.260708	159.20	51.138474	53.260735	159.0	11011
486	2023-08-01	08:22:13	5181.3930	1	0.0165	0.0021	5179.4376	5.4	-1.5	-0.4766	0.1377	0.0004	-0.0632	1.8805	60	0.213	51.153053	53.017128	58.30	51.153053	53.017120	58.5	11011
486	2023-08-01	08:23:13	5181.3935	1	0.0147	0.0019	5179.4379	6.0	-4.1	-0.4791	0.1376	0.0006	-0.0632	1.8805	60	0.213	51.153053	53.017128	58.30	51.153057	53.017128	58.7	11011
486	2023-08-01	08:24:13	5181.3930	1	0.0123	0.0016	5179.4376	5.6	-3.7	-0.4737	0.1376	0.0005	-0.0633	1.8805	60	0.213	51.153053	53.017128	58.30	51.153084	53.017155	57.7	11011
486	2023-08-01	08:25:13	5181.3937	1	0.0154	0.0020	5179.4384	4.8	-4.1	-0.4699	0.1376	0.0004	-0.0632	1.8806	60	0.213	51.153053	53.017128	58.30	51.153034	53.017174	57.6	11011
486	2023-08-01	08:26:13	5181.3940	1	0.0102	0.0013	5179.4379	6.5	-6.0	-0.4708	0.1375	0.0010	-0.0630	1.8806	60	0.213	51.153053	53.017128	58.30	51.153034	53.017185	55.5	11011
486	2023-08-01	08:27:13	5181.3934	1	0.0151	0.0019	5179.4368	7.9	-7.8	-0.4713	0.1375	0.0015	-0.0630	1.8806	60	0.213	51.153053	53.017128	58.30	51.153057	53.017166	52.7	11011
486	2023-08-01	08:28:13	5181.3928	1	0.0160	0.0021	5179.4361	7.2	-8.9	-0.4709	0.1374	0.0016	-0.0629	1.8806	60	0.213	51.153053	53.017128	58.30	51.153046	53.017155	53.3	11011
486	2023-08-01	08:29:13	5181.3925	1	0.0099	0.0013	5179.4351	7.6	-10.1	-0.4707	0.1374	0.0020	-0.0626	1.8806	60	0.213	51.153053	53.017128	58.30	51.153034	53.017147	54.2	11011
486	2023-08-01	08:30:13	5181.3940	1	0.0119	0.0015	5179.4369	8.2	-9.8	-0.4703	0.1373	0.0017	-0.0625	1.8806	60	0.213	51.153053	53.017128	58.30	51.153034	53.017139	53.7	11011
486	2023-08-01	08:31:13	5181.3933	1	0.0125	0.0016	5179.4356	7.1	-11.7	-0.4694	0.1373	0.0021	-0.0623	1.8806	60	0.213	51.153053	53.017128	58.30	51.153046	53.017139	53.5	11011
498	2023-08-01	09:31:40	5160.7320	1	0.0119	0.0015	5158.7903	-0.6	6.8	-0.4693	0.1228	0.0006	-0.0625	1.8808	60	0.208	51.138577	53.260494	153.40	51.138577	53.260601	152.8	11011
498	2023-08-01	09:32:40	5160.7307	1	0.0160	0.0021	5158.7893	1.3	8.5	-0.4760	0.1224	0.0008	-0.0626	1.8808	60	0.208	51.138577	53.260494	153.40	51.138580	53.260639	153.2	11011
498	2023-08-01	09:33:40	5160.7315	1	0.0135	0.0017	5158.7906	0.9	8.8	-0.4678	0.1220	0.0010	-0.0629	1.8808	60	0.208	51.138577	53.260494	153.40	51.138580	53.260670	154.5	11011
498	2023-08-01	09:34:40	5160.7300	1	0.0162	0.0021	5158.7904	1.7	7.6	-0.4705	0.1216	0.0006	-0.0634	1.8808	60	0.208	51.138577	53.260494	153.40	51.138569	53.260704	154.7	11011
498	2023-08-01	09:35:40	5160.7290	1	0.0144	0.0019	5158.7892	2.7	10.0	-0.4812	0.1212	0.0013	-0.0634	1.8808	60	0.208	51.138577	53.260494	153.40	51.138557	53.260735	155.5	11011
498	2023-08-01	09:36:40	5160.7312	1	0.0140	0.0018	5158.7912	4.9	10.9	-0.4780	0.1208	0.0019	-0.0635	1.8808	60	0.208	51.138577	53.260494	153.40	51.138557	53.260765	156.0	11011
498	2023-08-01	09:37:40	5160.7306	1	0.0154	0.0020	5158.7915	4.7	11.0	-0.4781	0.1204	0.0017	-0.0637	1.8808	60	0.208	51.138577	53.260494	153.40	51.138542	53.260792	156.6	11011
498	2023-08-01	09:38:40	5160.7307	1	0.0189	0.0024	5158.7928	3.9	6.5	-0.4777	0.1199	0.0006	-0.0635	1.8808	60	0.208	51.138577	53.260494	153.40	51.138531	53.260822	156.8	11011
498	2023-08-01	09:39:40	5160.7294	1	0.0115	0.0015	5158.7920	3.5	5.8	-0.4802	0.1195	0.0006	-0.0635	1.8808	60	0.208	51.138577	53.260494	153.40	51.138542	53.260841	157.4	11011
498	2023-08-01	09:40:40	5160.7307	1	0.0145	0.0019	5158.7937	2.8	5.7	-0.4782	0.1191	0.0005	-0.0634	1.8808	60	0.208	51.138577	53.260494	153.40	51.138542	53.260849	157.3	11011
498	2023-08-02	05:14:11	5160.7091	2	0.0130	0.0017	5158.8881	3.4	-5.2	-0.5591	0.0103	0.0005	-0.0749	1.8852	60	0.209	51.138588	53.260506	168.00	51.138634	53.260498	163.3	11011
498	2023-08-02	05:15:11	5160.7079	2	0.0143	0.0018	5158.8856	3.8	-5.9	-0.5592	0.0111	0.0007	-0.0747	1.8852	60	0.209	51.138588	53.260506	168.00	51.138638	53.260506	163.3	11011
498	2023-08-02	05:16:11	5160.7083	2	0.0132	0.0017	5158.8847	5.5	-6.7	-0.5548	0.0118	0.0010	-0.0745	1.8852	60	0.209	51.138588	53.260506	168.00	51.138645	53.260506	163.6	11011
498	2023-08-02	05:17:11	5160.7100	2	0.0174	0.0023	5158.8857	5.3	-6.5	-0.5584	0.0126	0.0009	-0.0744	1.8852	60	0.209	51.138588	53.260506	168.00	51.138657	53.260498	165.9	11011
498	2023-08-02	05:18:11	5160.7087	2	0.0157	0.0020	5158.8836	5.6	-5.5	-0.5592	0.0134	0.0006	-0.0742	1.8852	60	0.209	51.138588	53.260506	168.00	51.138645	53.260494	166.9	11011
