/		CG-6 Survey
/		Survey Name:	486-498-bere
/		Instrument Serial Number:	000000022090461
/		Created:	2023-08-01 05:51:37
/
/		CG-6 Calibration
/		Operator:	BIZAK
/		Gcal1 [mGal]:	8131.321000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031054
/		Y Scale [arc-sec/ADU]:	0.031701
/		X Offset [ADU]:	-103473.418574
/		Y Offset [ADU]:	-165601.918762
/		Temperature Coefficient [mGal/mK]:	-0.136000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.029503
/		Drift Zero Time:	2022-08-19 17:21:23
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
486	2023-08-01	05:51:37	5435.5638	1	0.0125	0.0016	5425.4931	3.1	-2.3	-1.7347	0.0833	0.0002	-0.2363	10.2235	60	0.213	51.153191	53.017212	65.60	51.153122	53.017235	66.5	11011
486	2023-08-01	05:52:37	5435.5638	1	0.0117	0.0015	5425.4925	1.2	-1.9	-1.7317	0.0839	0.0001	-0.2362	10.2235	60	0.213	51.153191	53.017212	65.60	51.153111	53.017235	64.3	11011
486	2023-08-01	05:53:37	5435.5626	1	0.0137	0.0018	5425.4905	0.7	-2.2	-1.7326	0.0846	0.0001	-0.2361	10.2235	60	0.213	51.153191	53.017212	65.60	51.153111	53.017231	62.3	11011
486	2023-08-01	05:54:37	5435.5631	1	0.0133	0.0017	5425.4901	0.4	-1.0	-1.7388	0.0853	0.0001	-0.2359	10.2235	60	0.213	51.153191	53.017212	65.60	51.153076	53.017242	59.8	11011
486	2023-08-01	05:55:37	5435.5644	1	0.0132	0.0017	5425.4906	2.6	1.0	-1.7289	0.0859	0.0002	-0.2358	10.2235	60	0.213	51.153191	53.017212	65.60	51.153084	53.017212	57.8	11011
486	2023-08-01	05:56:37	5435.5640	1	0.0103	0.0013	5425.4894	2.6	1.2	-1.7337	0.0866	0.0002	-0.2357	10.2236	60	0.213	51.153191	53.017212	65.60	51.153091	53.017216	57.6	11011
486	2023-08-01	05:57:37	5435.5649	1	0.0109	0.0014	5425.4892	2.1	3.8	-1.7369	0.0872	0.0003	-0.2354	10.2236	60	0.213	51.153191	53.017212	65.60	51.153103	53.017212	58.4	11011
486	2023-08-01	05:58:37	5435.5646	1	0.0150	0.0019	5425.4883	1.6	4.6	-1.7317	0.0879	0.0003	-0.2355	10.2236	60	0.213	51.153191	53.017212	65.60	51.153103	53.017216	58.2	11011
486	2023-08-01	05:59:37	5435.5650	1	0.0116	0.0015	5425.4879	4.1	4.9	-1.7351	0.0885	0.0005	-0.2357	10.2236	60	0.213	51.153191	53.017212	65.60	51.153091	53.017216	53.4	11011
486	2023-08-01	06:00:37	5435.5635	1	0.0113	0.0015	5425.4859	4.1	5.4	-1.7320	0.0892	0.0005	-0.2358	10.2236	60	0.213	51.153191	53.017212	65.60	51.153091	53.017216	53.6	11011
498	2023-08-01	07:14:57	5414.9065	1	0.0163	0.0021	5404.7863	-3.8	-4.3	-1.7054	0.1270	0.0004	-0.2325	10.2252	60	0.209	51.138580	53.260468	167.40	51.138523	53.260448	162.3	11011
498	2023-08-01	07:15:57	5414.9057	1	0.0138	0.0018	5404.7854	-3.5	-4.6	-1.7134	0.1274	0.0003	-0.2326	10.2252	60	0.209	51.138580	53.260468	167.40	51.138523	53.260456	163.7	11011
498	2023-08-01	07:16:57	5414.9071	1	0.0185	0.0024	5404.7863	-2.7	-5.9	-1.7182	0.1277	0.0005	-0.2326	10.2252	60	0.209	51.138580	53.260468	167.40	51.138531	53.260448	164.4	11011
498	2023-08-01	07:17:57	5414.9056	1	0.0147	0.0019	5404.7840	-3.4	-7.6	-1.7154	0.1280	0.0009	-0.2325	10.2252	60	0.209	51.138580	53.260468	167.40	51.138500	53.260422	167.8	11011
498	2023-08-01	07:18:57	5414.9062	1	0.0135	0.0017	5404.7840	-4.4	-8.2	-1.7099	0.1284	0.0011	-0.2325	10.2252	60	0.209	51.138580	53.260468	167.40	51.138512	53.260468	167.4	11011
498	2023-08-01	07:19:57	5414.9044	1	0.0160	0.0021	5404.7819	-1.9	-9.3	-1.7068	0.1287	0.0012	-0.2326	10.2253	60	0.209	51.138580	53.260468	167.40	51.138531	53.260437	167.8	11011
498	2023-08-01	07:20:57	5414.9057	1	0.0111	0.0014	5404.7831	0.5	-9.6	-1.7077	0.1290	0.0010	-0.2327	10.2253	60	0.209	51.138580	53.260468	167.40	51.138550	53.260418	168.1	11011
498	2023-08-01	07:21:57	5414.9060	1	0.0128	0.0017	5404.7829	0.0	-10.1	-1.7118	0.1293	0.0011	-0.2326	10.2253	60	0.209	51.138580	53.260468	167.40	51.138550	53.260418	168.1	11011
498	2023-08-01	07:22:57	5414.9055	1	0.0130	0.0017	5404.7817	-0.1	-10.7	-1.7082	0.1296	0.0015	-0.2325	10.2253	60	0.209	51.138580	53.260468	167.40	51.138550	53.260418	168.1	11011
498	2023-08-01	07:23:57	5414.9047	1	0.0168	0.0022	5404.7799	-0.6	-12.7	-1.7087	0.1299	0.0019	-0.2324	10.2253	60	0.209	51.138580	53.260468	167.40	51.138550	53.260418	168.1	11011
486	2023-08-01	08:22:13	5435.5659	1	0.0172	0.0022	5425.4310	3.1	2.7	-1.6924	0.1377	0.0002	-0.2296	10.2265	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:23:13	5435.5663	1	0.0147	0.0019	5425.4313	5.2	4.4	-1.6908	0.1376	0.0007	-0.2299	10.2266	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:24:13	5435.5652	1	0.0123	0.0016	5425.4308	4.7	2.4	-1.6951	0.1376	0.0004	-0.2301	10.2266	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:25:13	5435.5666	1	0.0147	0.0019	5425.4325	2.8	1.5	-1.6926	0.1376	0.0001	-0.2303	10.2266	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:26:13	5435.5649	1	0.0119	0.0015	5425.4308	3.5	3.9	-1.6979	0.1375	0.0004	-0.2305	10.2266	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:27:13	5435.5670	1	0.0157	0.0020	5425.4330	3.6	5.1	-1.6993	0.1375	0.0006	-0.2308	10.2266	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:28:13	5435.5673	1	0.0160	0.0021	5425.4335	4.1	6.2	-1.6949	0.1374	0.0007	-0.2310	10.2267	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:29:13	5435.5655	1	0.0101	0.0013	5425.4321	5.4	7.2	-1.6989	0.1374	0.0007	-0.2313	10.2267	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:30:13	5435.5659	1	0.0120	0.0015	5425.4320	5.3	8.7	-1.7081	0.1373	0.0012	-0.2314	10.2267	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
486	2023-08-01	08:31:13	5435.5657	1	0.0131	0.0017	5425.4319	5.5	8.3	-1.7013	0.1373	0.0014	-0.2315	10.2267	60	0.213	51.153019	53.016994	61.90	51.153019	53.016994	62.0	11011
498	2023-08-01	09:31:39	5414.9065	1	0.0129	0.0017	5404.7862	-1.2	0.2	-1.6964	0.1228	0.0001	-0.2305	10.2280	60	0.207	51.138599	53.260506	165.10	51.138599	53.260494	164.0	11011
498	2023-08-01	09:32:39	5414.9042	1	0.0150	0.0019	5404.7842	-1.8	-1.0	-1.6989	0.1224	0.0002	-0.2306	10.2280	60	0.207	51.138599	53.260506	165.10	51.138599	53.260494	164.0	11011
498	2023-08-01	09:33:39	5414.9058	1	0.0147	0.0019	5404.7860	-1.9	-3.0	-1.6917	0.1220	0.0003	-0.2305	10.2280	60	0.207	51.138599	53.260506	165.10	51.138599	53.260494	164.0	11011
498	2023-08-01	09:34:39	5414.9052	1	0.0158	0.0020	5404.7859	-1.9	-4.3	-1.6952	0.1216	0.0003	-0.2306	10.2280	60	0.207	51.138599	53.260506	165.10	51.138599	53.260494	164.0	11011
