/		CG-6 Survey
/		Survey Name:	1327-1253
/		Instrument Serial Number:	000000022090457
/		Created:	2023-02-22 04:32:45
/
/		CG-6 Calibration
/		Operator:	DIDAR
/		Gcal1 [mGal]:	8129.961000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031057
/		Y Scale [arc-sec/ADU]:	0.030761
/		X Offset [ADU]:	-185273.000000
/		Y Offset [ADU]:	-250815.000000
/		Temperature Coefficient [mGal/mK]:	-0.133000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.070884
/		Drift Zero Time:	2022-08-15 19:04:54
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1327	2023-02-22	04:32:45	4215.3554	3	0.0238	0.0031	4202.0176	-6.6	-2.0	-0.6665	-0.0700	0.0006	-0.0886	13.4958	60	0.214	43.367191	77.051486	674.00	43.367222	77.051537	683.3	11011
1327	2023-02-22	04:33:45	4215.3558	3	0.0136	0.0018	4202.0178	-5.4	-2.7	-0.6654	-0.0695	0.0003	-0.0887	13.4959	60	0.214	43.367191	77.051486	674.00	43.367229	77.051537	684.5	11011
1327	2023-02-22	04:34:45	4215.3544	3	0.0120	0.0015	4202.0162	-6.3	-4.0	-0.6790	-0.0690	0.0008	-0.0895	13.4959	60	0.214	43.367191	77.051486	674.00	43.367229	77.051521	684.6	11011
1327	2023-02-22	04:35:45	4215.3556	3	0.0153	0.0020	4202.0172	-8.2	-3.0	-0.6801	-0.0685	0.0010	-0.0901	13.4960	60	0.214	43.367191	77.051486	674.00	43.367229	77.051521	684.6	11011
1327	2023-02-22	04:36:45	4215.3543	3	0.0179	0.0023	4202.0160	-7.7	-4.0	-0.6820	-0.0680	0.0009	-0.0906	13.4960	60	0.214	43.367191	77.051486	674.00	43.367229	77.051521	684.7	11011
1327	2023-02-22	04:37:45	4215.3553	3	0.0192	0.0025	4202.0168	-7.3	-5.1	-0.6898	-0.0675	0.0010	-0.0910	13.4960	60	0.214	43.367191	77.051486	674.00	43.367229	77.051521	684.7	11011
1327	2023-02-22	04:38:45	4215.3550	3	0.0151	0.0020	4202.0164	-6.1	-5.4	-0.6876	-0.0670	0.0009	-0.0914	13.4961	60	0.214	43.367191	77.051486	674.00	43.367229	77.051521	684.7	11011
1327	2023-02-22	04:39:45	4215.3542	3	0.0156	0.0020	4202.0159	-4.7	-5.7	-0.6927	-0.0665	0.0007	-0.0921	13.4961	60	0.214	43.367191	77.051486	674.00	43.367222	77.051514	685.0	11011
1327	2023-02-22	04:40:45	4215.3529	3	0.0174	0.0022	4202.0142	-5.1	-7.0	-0.6863	-0.0660	0.0008	-0.0923	13.4962	60	0.214	43.367191	77.051486	674.00	43.367229	77.051514	684.9	11011
1327	2023-02-22	04:41:45	4215.3520	3	0.0158	0.0020	4202.0127	-5.3	-7.3	-0.6991	-0.0654	0.0010	-0.0925	13.4962	60	0.214	43.367191	77.051486	674.00	43.367229	77.051514	683.3	11011
1253	2023-02-22	06:14:47	4066.8731	3	0.0116	0.0015	4053.4812	-3.0	3.0	-0.7316	-0.0122	0.0002	-0.0970	13.5008	60	0.214	43.290495	77.326297	1380.00	43.290287	77.326027	1415.6	11011
1253	2023-02-22	06:15:47	4066.8739	3	0.0085	0.0011	4053.4817	-2.4	3.3	-0.7332	-0.0116	0.0002	-0.0972	13.5009	60	0.214	43.290495	77.326297	1380.00	43.290234	77.326065	1431.8	11011
1253	2023-02-22	06:16:47	4066.8737	3	0.0134	0.0017	4053.4815	-3.0	4.2	-0.7448	-0.0111	0.0003	-0.0979	13.5009	60	0.214	43.290495	77.326297	1380.00	43.290268	77.325905	1442.3	11011
1253	2023-02-22	06:17:47	4066.8752	3	0.0093	0.0012	4053.4828	-3.3	4.1	-0.7404	-0.0106	0.0003	-0.0984	13.5010	60	0.214	43.290495	77.326297	1380.00	43.290298	77.326096	1427.8	11011
1253	2023-02-22	06:18:47	4066.8774	3	0.0085	0.0011	4053.4849	-1.3	4.0	-0.7465	-0.0100	0.0002	-0.0987	13.5010	60	0.214	43.290495	77.326297	1380.00	43.290230	77.325905	1429.3	11011
1253	2023-02-22	06:19:47	4066.8785	3	0.0091	0.0012	4053.4859	-1.1	3.8	-0.7587	-0.0095	0.0002	-0.0992	13.5011	60	0.214	43.290495	77.326297	1380.00	43.290215	77.325508	1431.2	11011
1253	2023-02-22	06:20:47	4066.8796	3	0.0107	0.0014	4053.4872	-0.9	3.1	-0.7547	-0.0090	0.0001	-0.0999	13.5011	60	0.214	43.290495	77.326297	1380.00	43.290062	77.325775	1435.5	11011
1253	2023-02-22	06:21:47	4066.8803	3	0.0087	0.0011	4053.4881	0.3	2.3	-0.7621	-0.0084	0.0001	-0.1006	13.5012	60	0.214	43.290495	77.326297	1380.00	43.290195	77.326118	1438.5	11011
1253	2023-02-22	06:22:47	4066.8815	3	0.0104	0.0013	4053.4888	1.0	2.9	-0.7642	-0.0079	0.0001	-0.1007	13.5012	60	0.214	43.290495	77.326297	1380.00	43.290138	77.325981	1439.6	11011
1253	2023-02-22	06:23:47	4066.8827	3	0.0127	0.0016	4053.4900	-0.0	3.0	-0.7666	-0.0074	0.0001	-0.1014	13.5013	60	0.214	43.290495	77.326297	1380.00	43.290298	77.326210	1440.2	11011
1327	2023-02-22	08:22:52	4215.3525	3	0.0473	0.0061	4201.9013	-3.6	-3.3	-0.6438	0.0295	0.0003	-0.0857	13.5071	60	0.213	43.367191	77.051486	674.00	43.367176	77.051537	670.8	11011
1327	2023-02-22	08:23:52	4215.3592	3	0.0150	0.0019	4201.9081	-4.2	-4.0	-0.6459	0.0295	0.0005	-0.0860	13.5072	60	0.213	43.367191	77.051486	674.00	43.367195	77.051521	671.7	11011
1327	2023-02-22	08:24:52	4215.3569	3	0.0176	0.0023	4201.9055	-4.7	-5.1	-0.6481	0.0296	0.0007	-0.0861	13.5072	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	671.7	11011
1327	2023-02-22	08:25:52	4215.3541	3	0.0157	0.0020	4201.9025	-5.4	-4.7	-0.6461	0.0296	0.0007	-0.0861	13.5073	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.2	11011
1327	2023-02-22	08:26:52	4215.3514	3	0.0197	0.0025	4201.9001	-5.5	-4.2	-0.6481	0.0296	0.0005	-0.0861	13.5073	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1327	2023-02-22	08:27:52	4215.3479	3	0.0125	0.0016	4201.8964	-7.4	-3.2	-0.6497	0.0297	0.0008	-0.0863	13.5074	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1327	2023-02-22	08:28:52	4215.3460	3	0.0212	0.0027	4201.8946	-7.6	-3.6	-0.6549	0.0297	0.0008	-0.0865	13.5074	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1327	2023-02-22	08:29:52	4215.3453	3	0.0099	0.0013	4201.8932	-9.8	-3.1	-0.6547	0.0297	0.0013	-0.0865	13.5075	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1327	2023-02-22	08:30:52	4215.3416	3	0.0133	0.0017	4201.8898	-9.6	-3.9	-0.6542	0.0297	0.0012	-0.0867	13.5075	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1327	2023-02-22	08:31:52	4215.3412	3	0.0165	0.0021	4201.8891	-11.4	-5.0	-0.6521	0.0297	0.0017	-0.0869	13.5076	60	0.213	43.367191	77.051486	674.00	43.367195	77.051514	672.1	11011
1253	2023-02-22	09:58:19	4066.8822	3	0.0369	0.0048	4053.4525	3.8	-6.4	-0.7221	0.0126	0.0007	-0.0954	13.5118	60	0.213	43.290495	77.326297	1380.00	43.290462	77.326286	1369.4	11011
