/		CG-6 Survey
/		Survey Name:	1089-1253
/		Instrument Serial Number:	000000022090458
/		Created:	2023-05-17 05:14:13
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.058275
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-05-17	05:14:13	4038.1451	1	0.0185	0.0024	4021.9261	1.3	2.9	-0.5540	0.1056	0.0002	-0.0710	16.1842	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:15:13	4038.1456	1	0.0128	0.0017	4021.9268	1.6	1.3	-0.5570	0.1057	0.0001	-0.0712	16.1843	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:16:13	4038.1463	1	0.0164	0.0021	4021.9278	1.2	3.3	-0.5653	0.1057	0.0001	-0.0716	16.1843	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:17:13	4038.1462	1	0.0124	0.0016	4021.9279	0.8	3.5	-0.5576	0.1058	0.0002	-0.0721	16.1843	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:18:13	4038.1476	1	0.0159	0.0020	4021.9296	2.1	2.5	-0.5705	0.1059	0.0001	-0.0724	16.1844	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:19:13	4038.1466	1	0.0130	0.0017	4021.9285	2.8	2.2	-0.5711	0.1060	0.0002	-0.0725	16.1844	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:20:13	4038.1472	1	0.0123	0.0016	4021.9294	3.1	3.1	-0.5784	0.1060	0.0002	-0.0729	16.1845	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:21:13	4038.1469	1	0.0142	0.0018	4021.9295	1.7	2.3	-0.5751	0.1061	0.0001	-0.0732	16.1845	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:22:13	4038.1459	1	0.0143	0.0018	4021.9286	2.2	2.5	-0.5827	0.1061	0.0002	-0.0736	16.1845	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
1089	2023-05-17	05:23:13	4038.1465	1	0.0184	0.0024	4021.9293	1.4	3.7	-0.5816	0.1062	0.0002	-0.0738	16.1846	60	0.211	43.355862	76.936928	680.80	--	--	--	11011
