/		CG-6 Survey
/		Survey Name:	1089-1327
/		Instrument Serial Number:	000000022090460
/		Created:	2023-02-21 04:02:31
/
/		CG-6 Calibration
/		Operator:	SAMAT
/		Gcal1 [mGal]:	8008.163000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030855
/		Y Scale [arc-sec/ADU]:	0.031483
/		X Offset [ADU]:	-190283.000000
/		Y Offset [ADU]:	-147195.000000
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.033788
/		Drift Zero Time:	2022-08-22 14:00:27
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-02-21	04:02:31	4096.5649	2	0.0224	0.0029	4090.7996	5.4	2.0	-2.4862	-0.0808	0.0004	-0.3235	6.1692	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:03:31	4096.5664	2	0.0253	0.0033	4090.8004	5.9	2.6	-2.4890	-0.0804	0.0006	-0.3235	6.1692	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:04:31	4096.5684	2	0.0212	0.0027	4090.8020	5.3	2.8	-2.4908	-0.0799	0.0005	-0.3235	6.1692	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:05:31	4096.5664	2	0.0255	0.0033	4090.7996	5.6	3.0	-2.4906	-0.0795	0.0005	-0.3235	6.1693	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:06:31	4096.5658	2	0.0253	0.0033	4090.7986	5.4	3.6	-2.4885	-0.0790	0.0005	-0.3235	6.1693	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:07:31	4096.5665	2	0.0255	0.0033	4090.7987	5.8	4.5	-2.4838	-0.0786	0.0007	-0.3237	6.1693	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:08:31	4096.5667	2	0.0202	0.0026	4090.7985	4.7	3.5	-2.4894	-0.0781	0.0004	-0.3234	6.1693	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:09:31	4096.5678	2	0.0297	0.0038	4090.7990	6.8	3.6	-2.4883	-0.0777	0.0007	-0.3235	6.1693	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:10:31	4096.5660	2	0.0276	0.0036	4090.7968	6.0	4.2	-2.4900	-0.0772	0.0006	-0.3237	6.1694	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	04:11:31	4096.5684	2	0.0252	0.0033	4090.7983	6.1	5.2	-2.4836	-0.0767	0.0008	-0.3234	6.1694	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1327	2023-02-21	06:02:34	4093.8135	2	0.0276	0.0036	4087.9905	0.9	-1.2	-2.5338	-0.0201	0.0001	-0.3290	6.1720	60	0.210	43.367191	77.051537	666.30	43.367191	77.051537	666.3	11011
1327	2023-02-21	06:03:34	4093.8149	2	0.0210	0.0027	4087.9919	-1.5	-0.7	-2.5379	-0.0196	0.0001	-0.3295	6.1720	60	0.210	43.367191	77.051537	666.30	43.367191	77.051537	666.3	11011
1327	2023-02-21	06:04:34	4093.8154	2	0.0212	0.0027	4087.9925	-2.7	-2.0	-2.5362	-0.0192	0.0003	-0.3303	6.1720	60	0.210	43.367191	77.051537	666.30	43.367107	77.051598	676.3	11011
1327	2023-02-21	06:05:34	4093.8152	2	0.0197	0.0025	4087.9925	-1.9	-2.1	-2.5423	-0.0187	0.0001	-0.3307	6.1721	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:06:34	4093.8144	2	0.0217	0.0028	4087.9916	-1.1	-4.1	-2.5525	-0.0183	0.0003	-0.3313	6.1721	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:07:34	4093.8144	2	0.0255	0.0033	4087.9917	-1.8	-3.4	-2.5573	-0.0179	0.0002	-0.3318	6.1721	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:08:34	4093.8153	2	0.0326	0.0042	4087.9927	-2.2	-3.5	-2.5634	-0.0174	0.0003	-0.3324	6.1721	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:09:34	4093.8161	2	0.0231	0.0030	4087.9934	-2.9	-4.2	-2.5631	-0.0170	0.0005	-0.3330	6.1722	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:10:34	4093.8145	2	0.0207	0.0027	4087.9921	-3.0	-2.5	-2.5636	-0.0165	0.0002	-0.3335	6.1722	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1327	2023-02-21	06:11:34	4093.8140	2	0.0474	0.0061	4087.9910	-6.0	-3.6	-2.5658	-0.0161	0.0007	-0.3338	6.1722	60	0.210	43.367191	77.051537	666.30	43.367100	77.051598	676.4	11011
1089	2023-02-21	07:00:23	4096.5620	2	0.0225	0.0029	4090.7214	1.3	3.6	-2.5684	0.0008	0.0002	-0.3337	6.1734	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:01:23	4096.5613	2	0.0208	0.0027	4090.7203	0.4	1.5	-2.5662	0.0010	0.0001	-0.3335	6.1734	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:02:23	4096.5619	2	0.0225	0.0029	4090.7203	2.8	2.9	-2.5615	0.0013	0.0003	-0.3333	6.1734	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:03:23	4096.5628	2	0.0268	0.0035	4090.7209	1.9	1.7	-2.5608	0.0015	0.0001	-0.3331	6.1734	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:04:23	4096.5622	2	0.0268	0.0035	4090.7197	1.4	1.4	-2.5623	0.0018	0.0002	-0.3329	6.1735	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:05:23	4096.5615	2	0.0209	0.0027	4090.7187	0.6	3.3	-2.5539	0.0020	0.0002	-0.3328	6.1735	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:06:23	4096.5628	2	0.0211	0.0027	4090.7196	1.1	3.4	-2.5532	0.0022	0.0003	-0.3327	6.1735	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:07:23	4096.5627	2	0.0226	0.0029	4090.7186	3.8	4.1	-2.5576	0.0024	0.0006	-0.3324	6.1735	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:08:23	4096.5614	2	0.0269	0.0035	4090.7170	3.3	3.7	-2.5481	0.0027	0.0004	-0.3322	6.1735	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	07:09:23	4096.5618	2	0.0247	0.0032	4090.7171	4.7	3.5	-2.5467	0.0029	0.0004	-0.3321	6.1736	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1327	2023-02-21	08:39:48	4093.8136	2	0.0233	0.0030	4087.9610	-2.3	0.6	-2.5149	0.0026	0.0001	-0.3258	6.1757	60	0.210	43.367249	77.051514	666.20	43.367249	77.051514	666.2	11011
1327	2023-02-21	08:40:48	4093.8145	2	0.0240	0.0031	4087.9623	-5.1	-0.5	-2.5149	0.0024	0.0004	-0.3263	6.1757	60	0.210	43.367249	77.051514	666.20	43.367249	77.051514	666.2	11011
1327	2023-02-21	08:41:48	4093.8133	2	0.0260	0.0034	4087.9621	-5.6	-0.2	-2.5149	0.0022	0.0003	-0.3270	6.1757	60	0.210	43.367249	77.051514	666.20	43.367249	77.051514	666.2	11011
1327	2023-02-21	08:42:48	4093.8140	2	0.0210	0.0027	4087.9632	-6.0	-0.7	-2.5190	0.0019	0.0006	-0.3275	6.1758	60	0.210	43.367249	77.051514	666.20	43.367249	77.051514	666.2	11011
1327	2023-02-21	08:43:48	4093.8148	2	0.0201	0.0026	4087.9649	-4.8	-2.1	-2.5187	0.0017	0.0003	-0.3279	6.1758	60	0.210	43.367249	77.051514	666.20	43.367249	77.051514	666.2	11011
1327	2023-02-21	08:44:48	4093.8134	2	0.0196	0.0025	4087.9643	-2.4	-2.1	-2.5303	0.0015	0.0002	-0.3283	6.1758	60	0.210	43.367249	77.051514	666.20	43.367290	77.051384	669.8	11011
1327	2023-02-21	08:45:48	4093.8146	2	0.0319	0.0041	4087.9660	-3.2	-2.8	-2.5338	0.0012	0.0003	-0.3287	6.1758	60	0.210	43.367249	77.051514	666.20	43.367290	77.051384	669.8	11011
1327	2023-02-21	08:46:48	4093.8129	2	0.0268	0.0035	4087.9649	-4.0	-1.4	-2.5337	0.0010	0.0002	-0.3291	6.1759	60	0.210	43.367249	77.051514	666.20	43.367290	77.051384	669.8	11011
1327	2023-02-21	08:47:48	4093.8140	2	0.0233	0.0030	4087.9662	-5.5	-2.8	-2.5321	0.0007	0.0007	-0.3295	6.1759	60	0.210	43.367249	77.051514	666.20	43.367290	77.051384	669.8	11011
1327	2023-02-21	08:48:48	4093.8132	2	0.0196	0.0025	4087.9663	-4.9	-2.2	-2.5336	0.0005	0.0003	-0.3298	6.1759	60	0.210	43.367249	77.051514	666.20	43.367233	77.051483	673.4	11011
1089	2023-02-21	09:32:37	4096.5656	2	0.0301	0.0039	4090.7306	1.1	-1.2	-2.5228	-0.0142	0.0001	-0.3279	6.1769	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:33:37	4096.5644	2	0.0208	0.0027	4090.7301	1.8	-1.2	-2.5221	-0.0146	0.0001	-0.3281	6.1770	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:34:37	4096.5663	2	0.0225	0.0029	4090.7320	0.4	-0.7	-2.5231	-0.0150	0.0001	-0.3277	6.1770	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:35:37	4096.5652	2	0.0195	0.0025	4090.7313	1.0	-0.6	-2.5161	-0.0154	0.0001	-0.3277	6.1770	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:36:37	4096.5649	2	0.0200	0.0026	4090.7312	2.3	-1.0	-2.5168	-0.0158	0.0001	-0.3276	6.1770	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:37:37	4096.5650	2	0.0223	0.0029	4090.7316	2.8	-1.0	-2.5145	-0.0163	0.0002	-0.3276	6.1770	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:38:37	4096.5644	2	0.0236	0.0030	4090.7314	2.7	-3.1	-2.5116	-0.0167	0.0002	-0.3276	6.1771	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:39:37	4096.5647	2	0.0216	0.0028	4090.7319	0.9	-1.8	-2.5139	-0.0171	0.0001	-0.3273	6.1771	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:40:37	4096.5656	2	0.0256	0.0033	4090.7333	0.2	-2.9	-2.5240	-0.0176	0.0001	-0.3273	6.1771	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-02-21	09:41:37	4096.5650	2	0.0164	0.0021	4090.7329	1.4	-3.1	-2.5109	-0.0180	0.0002	-0.3272	6.1771	60	0.210	43.356075	76.936699	677.67	--	--	--	11011
