/		CG-6 Survey
/		Survey Name:	110A-KPRE-ZVEB
/		Instrument Serial Number:	000000021080368
/		Created:	2022-04-14 05:29:03
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030913
/		Y Scale [arc-sec/ADU]:	0.031179
/		X Offset [ADU]:	-198388.746919
/		Y Offset [ADU]:	-94188.153940
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.021437
/		Drift Zero Time:	2021-08-16 18:07:31
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
13	2022-04-14	05:29:03	5490.6746	132	0.0256	0.0033	5485.5004	4.6	-1.3	0.5485	-0.0521	0.0003	0.0708	5.1551	60	0.000	55.800000	37.500000	0.00	55.854988	37.515949	147.5	11011
13	2022-04-14	05:30:03	5490.6739	132	0.0142	0.0018	5485.4995	4.0	-1.1	0.5476	-0.0517	0.0002	0.0708	5.1551	60	0.000	55.800000	37.500000	0.00	55.855015	37.515854	147.4	11011
13	2022-04-14	05:31:03	5490.6714	132	0.0155	0.0020	5485.4968	3.4	-0.5	0.5491	-0.0514	0.0002	0.0706	5.1551	60	0.000	55.800000	37.500000	0.00	55.855026	37.516060	147.3	11011
13	2022-04-14	05:32:03	5490.6716	132	0.0137	0.0018	5485.4967	3.7	1.1	0.5426	-0.0511	0.0002	0.0706	5.1552	60	0.000	55.800000	37.500000	0.00	55.855026	37.516136	147.4	11011
13	2022-04-14	05:33:03	5490.6727	132	0.0131	0.0017	5485.4972	5.0	-0.9	0.5523	-0.0507	0.0003	0.0707	5.1552	60	0.000	55.800000	37.500000	0.00	55.855186	37.516712	147.4	11011
13	2022-04-14	05:34:03	5490.6733	132	0.0127	0.0016	5485.4977	4.6	-0.3	0.5456	-0.0504	0.0003	0.0706	5.1552	60	0.000	55.800000	37.500000	0.00	55.855209	37.516556	147.6	11011
13	2022-04-14	05:35:03	5490.6719	132	0.0112	0.0014	5485.4960	5.1	-0.1	0.5469	-0.0500	0.0003	0.0705	5.1552	60	0.000	55.800000	37.500000	0.00	55.855038	37.516060	147.7	11011
13	2022-04-14	05:36:03	5490.6729	132	0.0127	0.0016	5485.4964	4.8	-0.5	0.5469	-0.0497	0.0003	0.0706	5.1552	60	0.000	55.800000	37.500000	0.00	55.855026	37.515945	147.3	11011
13	2022-04-14	05:37:03	5490.6720	132	0.0109	0.0014	5485.4952	5.5	-0.9	0.5495	-0.0494	0.0004	0.0706	5.1552	60	0.000	55.800000	37.500000	0.00	55.855083	37.516064	147.6	11011
13	2022-04-14	05:38:03	5490.6722	132	0.0134	0.0017	5485.4950	5.4	-1.8	0.5520	-0.0490	0.0005	0.0706	5.1552	60	0.000	55.800000	37.500000	0.00	55.855133	37.516121	147.9	11011
13	2022-04-14	05:39:03	5490.6722	132	0.0117	0.0015	5485.4949	4.2	-1.2	0.5456	-0.0487	0.0002	0.0706	5.1553	60	0.000	55.800000	37.500000	0.00	55.855122	37.516071	148.2	11011
13	2022-04-14	05:40:03	5490.6732	132	0.0115	0.0015	5485.4953	4.4	-3.5	0.5497	-0.0484	0.0004	0.0706	5.1553	60	0.000	55.800000	37.500000	0.00	55.855110	37.516060	148.3	11011
13	2022-04-14	05:41:03	5490.6727	132	0.0132	0.0017	5485.4943	4.4	-2.4	0.5496	-0.0480	0.0004	0.0708	5.1553	60	0.000	55.800000	37.500000	0.00	55.855110	37.516064	148.0	11011
13	2022-04-14	05:42:03	5490.6723	132	0.0113	0.0015	5485.4938	4.8	-2.4	0.5505	-0.0477	0.0004	0.0705	5.1553	60	0.000	55.800000	37.500000	0.00	55.855015	37.515881	148.1	11011
13	2022-04-14	05:43:03	5490.6718	132	0.0132	0.0017	5485.4927	4.7	-2.2	0.5475	-0.0474	0.0003	0.0709	5.1553	60	0.000	55.800000	37.500000	0.00	55.855122	37.516071	148.8	11011
13	2022-04-14	05:44:03	5490.6711	132	0.0135	0.0017	5485.4915	5.8	-1.1	0.5434	-0.0470	0.0005	0.0708	5.1553	60	0.000	55.800000	37.500000	0.00	55.855072	37.516079	148.9	11011
13	2022-04-14	05:45:03	5490.6732	132	0.0141	0.0018	5485.4935	5.2	-2.2	0.5424	-0.0467	0.0004	0.0706	5.1554	60	0.000	55.800000	37.500000	0.00	55.855064	37.516041	149.1	11011
13	2022-04-14	05:46:03	5490.6720	132	0.0120	0.0016	5485.4922	5.1	-1.5	0.5486	-0.0464	0.0004	0.0705	5.1554	60	0.000	55.800000	37.500000	0.00	55.855053	37.516033	148.7	11011
13	2022-04-14	05:47:03	5490.6731	132	0.0163	0.0021	5485.4927	6.5	-1.8	0.5475	-0.0461	0.0005	0.0706	5.1554	60	0.000	55.800000	37.500000	0.00	55.855076	37.516167	148.7	11011
13	2022-04-14	05:48:03	5490.6727	132	0.0137	0.0018	5485.4917	7.1	-0.7	0.5523	-0.0457	0.0005	0.0708	5.1554	60	0.000	55.800000	37.500000	0.00	55.855076	37.516102	149.0	11011
13	2022-04-14	05:49:03	5490.6730	132	0.0114	0.0015	5485.4918	7.2	-2.2	0.5446	-0.0454	0.0006	0.0706	5.1554	60	0.000	55.800000	37.500000	0.00	55.855015	37.515835	148.1	11011
13	2022-04-14	05:50:03	5490.6728	132	0.0151	0.0020	5485.4909	7.7	-3.1	0.5504	-0.0451	0.0008	0.0707	5.1554	60	0.000	55.800000	37.500000	0.00	55.855038	37.515835	147.9	11011
13	2022-04-14	05:51:03	5490.6734	132	0.0133	0.0017	5485.4913	6.5	-3.5	0.5445	-0.0447	0.0007	0.0707	5.1554	60	0.000	55.800000	37.500000	0.00	55.855133	37.516079	147.7	11011
13	2022-04-14	05:52:03	5490.6720	132	0.0146	0.0019	5485.4898	5.7	-3.0	0.5481	-0.0444	0.0006	0.0706	5.1555	60	0.000	55.800000	37.500000	0.00	55.855160	37.516174	147.6	11011
13	2022-04-14	05:53:03	5490.6730	132	0.0114	0.0015	5485.4902	6.3	-3.5	0.5507	-0.0441	0.0006	0.0708	5.1555	60	0.000	55.800000	37.500000	0.00	55.855083	37.516365	148.0	11011
13	2022-04-14	05:54:03	5490.6727	132	0.0117	0.0015	5485.4899	4.5	-3.8	0.5440	-0.0438	0.0005	0.0707	5.1555	60	0.000	55.800000	37.500000	0.00	55.855095	37.516243	148.1	11011
13	2022-04-14	05:55:03	5490.6725	132	0.0120	0.0015	5485.4894	4.6	-2.8	0.5488	-0.0434	0.0004	0.0707	5.1555	60	0.000	55.800000	37.500000	0.00	55.855083	37.516426	148.0	11011
13	2022-04-14	05:56:03	5490.6722	132	0.0135	0.0017	5485.4888	3.2	-2.9	0.5426	-0.0431	0.0002	0.0707	5.1555	60	0.000	55.800000	37.500000	0.00	55.855083	37.516365	148.9	11011
13	2022-04-14	05:57:03	5490.6726	132	0.0118	0.0015	5485.4887	4.2	-2.5	0.5425	-0.0428	0.0004	0.0708	5.1555	60	0.000	55.800000	37.500000	0.00	55.855103	37.516186	149.2	11011
13	2022-04-14	05:58:03	5490.6723	132	0.0115	0.0015	5485.4883	3.4	-3.4	0.5487	-0.0425	0.0003	0.0706	5.1555	60	0.000	55.800000	37.500000	0.00	55.854904	37.516331	149.7	11011
13	2022-04-14	05:59:03	5490.6716	132	0.0117	0.0015	5485.4872	3.3	-2.3	0.5488	-0.0421	0.0003	0.0707	5.1556	60	0.000	55.800000	37.500000	0.00	55.855141	37.516308	151.6	11011
13	2022-04-14	06:00:03	5490.6721	132	0.0125	0.0016	5485.4873	3.8	-1.6	0.5477	-0.0418	0.0003	0.0708	5.1556	60	0.000	55.800000	37.500000	0.00	55.855110	37.516041	151.7	11011
13	2022-04-14	06:01:03	5490.6722	132	0.0134	0.0017	5485.4872	2.1	-3.0	0.5488	-0.0415	0.0002	0.0707	5.1556	60	0.000	55.800000	37.500000	0.00	55.855019	37.516197	152.0	11011
13	2022-04-14	06:02:03	5490.6727	132	0.0103	0.0013	5485.4872	3.5	-2.6	0.5526	-0.0412	0.0003	0.0708	5.1556	60	0.000	55.800000	37.500000	0.00	55.855103	37.516148	152.2	11011
13	2022-04-14	06:03:03	5490.6723	132	0.0127	0.0016	5485.4867	3.9	-1.0	0.5566	-0.0409	0.0002	0.0706	5.1556	60	0.000	55.800000	37.500000	0.00	55.855007	37.516174	150.7	11011
13	2022-04-14	06:04:03	5490.6724	132	0.0110	0.0014	5485.4863	3.7	-1.0	0.5457	-0.0406	0.0002	0.0708	5.1556	60	0.000	55.800000	37.500000	0.00	55.855064	37.516159	152.0	11011
13	2022-04-14	06:05:03	5490.6721	132	0.0108	0.0014	5485.4857	5.1	-0.4	0.5476	-0.0402	0.0003	0.0707	5.1556	60	0.000	55.800000	37.500000	0.00	55.855053	37.516243	152.4	11011
13	2022-04-14	06:06:03	5490.6735	132	0.0144	0.0019	5485.4869	4.4	-1.8	0.5417	-0.0399	0.0003	0.0706	5.1557	60	0.000	55.800000	37.500000	0.00	55.855053	37.516273	152.7	11011
13	2022-04-14	06:07:03	5490.6731	132	0.0134	0.0017	5485.4860	5.3	-1.7	0.5524	-0.0396	0.0004	0.0707	5.1557	60	0.000	55.800000	37.500000	0.00	55.855110	37.516121	152.2	11011
13	2022-04-14	06:08:03	5490.6729	132	0.0136	0.0018	5485.4856	4.9	-1.3	0.5438	-0.0393	0.0003	0.0707	5.1557	60	0.000	55.800000	37.500000	0.00	55.854950	37.516262	152.7	11011
13	2022-04-14	06:09:03	5490.6718	132	0.0127	0.0016	5485.4841	4.9	-1.5	0.5441	-0.0390	0.0003	0.0707	5.1557	60	0.000	55.800000	37.500000	0.00	55.855095	37.516293	153.7	11011
13	2022-04-14	06:10:03	5490.6712	132	0.0141	0.0018	5485.4830	5.0	-2.9	0.5509	-0.0387	0.0005	0.0707	5.1557	60	0.000	55.800000	37.500000	0.00	55.855103	37.516178	153.1	11011
13	2022-04-14	06:11:03	5490.6723	132	0.0123	0.0016	5485.4835	5.6	-1.5	0.5488	-0.0384	0.0005	0.0709	5.1557	60	0.000	55.800000	37.500000	0.00	55.855026	37.516453	152.7	11011
13	2022-04-14	06:12:03	5490.6715	132	0.0140	0.0018	5485.4828	5.2	-1.3	0.5504	-0.0381	0.0003	0.0708	5.1558	60	0.000	55.800000	37.500000	0.00	55.855019	37.516235	154.1	11011
13	2022-04-14	06:13:03	5490.6723	132	0.0144	0.0019	5485.4830	5.3	-2.1	0.5523	-0.0377	0.0005	0.0708	5.1558	60	0.000	55.800000	37.500000	0.00	55.855045	37.516136	154.0	11011
13	2022-04-14	06:14:03	5490.6713	132	0.0108	0.0014	5485.4819	4.9	-1.8	0.5506	-0.0374	0.0004	0.0707	5.1558	60	0.000	55.800000	37.500000	0.00	55.855026	37.516224	155.5	11011
13	2022-04-14	06:15:03	5490.6737	132	0.0124	0.0016	5485.4836	6.2	-2.1	0.5463	-0.0371	0.0006	0.0708	5.1558	60	0.000	55.800000	37.500000	0.00	55.854988	37.516216	155.9	11011
13	2022-04-14	06:16:03	5490.6721	132	0.0128	0.0017	5485.4817	6.3	-2.4	0.5477	-0.0368	0.0006	0.0707	5.1558	60	0.000	55.800000	37.500000	0.00	55.854996	37.516232	156.7	11011
13	2022-04-14	06:17:03	5490.6721	132	0.0108	0.0014	5485.4817	5.1	-2.2	0.5476	-0.0365	0.0004	0.0708	5.1558	60	0.000	55.800000	37.500000	0.00	55.854980	37.516060	157.2	11011
13	2022-04-14	06:18:03	5490.6720	132	0.0146	0.0019	5485.4811	5.4	-3.6	0.5509	-0.0362	0.0004	0.0707	5.1558	60	0.000	55.800000	37.500000	0.00	55.855026	37.516197	158.3	11011
13	2022-04-14	06:19:03	5490.6715	132	0.0135	0.0017	5485.4802	5.8	-4.8	0.5491	-0.0359	0.0008	0.0706	5.1559	60	0.000	55.800000	37.500000	0.00	55.854988	37.516346	160.9	11011
13	2022-04-14	06:20:03	5490.6726	132	0.0113	0.0015	5485.4808	6.1	-3.7	0.5544	-0.0356	0.0007	0.0709	5.1559	60	0.000	55.800000	37.500000	0.00	55.854874	37.516891	166.1	11011
13	2022-04-14	06:21:03	5490.6725	132	0.0123	0.0016	5485.4805	6.6	-3.0	0.5504	-0.0353	0.0007	0.0707	5.1559	60	0.000	55.800000	37.500000	0.00	55.855026	37.516262	166.5	11011
13	2022-04-14	06:22:03	5490.6720	132	0.0131	0.0017	5485.4798	6.2	-2.5	0.5432	-0.0350	0.0006	0.0707	5.1559	60	0.000	55.800000	37.500000	0.00	55.855122	37.516026	166.6	11011
13	2022-04-14	06:23:03	5490.6722	132	0.0126	0.0016	5485.4797	5.2	-2.1	0.5458	-0.0347	0.0004	0.0709	5.1559	60	0.000	55.800000	37.500000	0.00	55.855129	37.516117	170.2	11011
13	2022-04-14	06:24:03	5490.6728	132	0.0130	0.0017	5485.4801	5.6	-1.4	0.5537	-0.0344	0.0004	0.0708	5.1559	60	0.000	55.800000	37.500000	0.00	55.855133	37.515907	170.9	11011
13	2022-04-14	06:25:03	5490.6726	132	0.0121	0.0016	5485.4796	5.5	-2.3	0.5589	-0.0342	0.0004	0.0708	5.1559	60	0.000	55.800000	37.500000	0.00	55.855129	37.515984	169.5	11011
13	2022-04-14	06:26:03	5490.6729	132	0.0139	0.0018	5485.4797	4.8	-1.2	0.5472	-0.0339	0.0003	0.0709	5.1560	60	0.000	55.800000	37.500000	0.00	55.855053	37.516148	171.6	11011
13	2022-04-14	06:27:03	5490.6710	132	0.0120	0.0015	5485.4774	4.2	-1.9	0.5528	-0.0336	0.0003	0.0708	5.1560	60	0.000	55.800000	37.500000	0.00	55.855053	37.516319	175.2	11011
13	2022-04-14	06:28:03	5490.6724	132	0.0134	0.0017	5485.4786	4.6	-2.6	0.5432	-0.0333	0.0004	0.0707	5.1560	60	0.000	55.800000	37.500000	0.00	55.855026	37.516121	173.1	11011
33	2022-04-14	07:46:08	5464.1523	132	0.0122	0.0016	5458.9390	1.1	-0.6	0.5629	-0.0168	0.0001	0.0729	5.1572	60	0.000	55.800000	37.500000	0.00	55.758202	37.568207	142.9	11011
33	2022-04-14	07:47:08	5464.1497	132	0.0129	0.0017	5458.9365	1.7	0.9	0.5658	-0.0167	0.0001	0.0727	5.1572	60	0.000	55.800000	37.500000	0.00	55.757950	37.568378	143.1	11011
33	2022-04-14	07:48:08	5464.1503	132	0.0130	0.0017	5458.9371	0.8	1.2	0.5612	-0.0166	0.0000	0.0725	5.1572	60	0.000	55.800000	37.500000	0.00	55.758076	37.568230	143.0	11011
33	2022-04-14	07:49:08	5464.1515	132	0.0140	0.0018	5458.9385	-0.1	1.3	0.5566	-0.0165	0.0000	0.0722	5.1572	60	0.000	55.800000	37.500000	0.00	55.758049	37.568333	143.2	11011
33	2022-04-14	07:50:08	5464.1509	132	0.0148	0.0019	5458.9381	-0.3	0.6	0.5482	-0.0164	0.0000	0.0720	5.1572	60	0.000	55.800000	37.500000	0.00	55.758286	37.568115	145.2	11011
33	2022-04-14	07:51:08	5464.1519	132	0.0144	0.0019	5458.9390	0.6	1.4	0.5599	-0.0163	0.0001	0.0719	5.1572	60	0.000	55.800000	37.500000	0.00	55.758083	37.568161	145.2	11011
33	2022-04-14	07:52:08	5464.1519	132	0.0129	0.0017	5458.9391	0.5	1.5	0.5606	-0.0161	0.0001	0.0716	5.1572	60	0.000	55.800000	37.500000	0.00	55.758133	37.568153	145.1	11011
33	2022-04-14	07:53:08	5464.1526	132	0.0140	0.0018	5458.9396	0.5	1.1	0.5594	-0.0160	0.0000	0.0717	5.1573	60	0.000	55.800000	37.500000	0.00	55.758198	37.568161	145.5	11011
33	2022-04-14	07:54:08	5464.1509	132	0.0130	0.0017	5458.9380	0.9	1.2	0.5522	-0.0159	0.0001	0.0715	5.1573	60	0.000	55.800000	37.500000	0.00	55.758488	37.568077	146.7	11011
33	2022-04-14	07:55:08	5464.1513	132	0.0124	0.0016	5458.9386	1.3	0.7	0.5580	-0.0158	0.0000	0.0712	5.1573	60	0.000	55.800000	37.500000	0.00	55.758312	37.568245	147.5	11011
33	2022-04-14	07:56:08	5464.1513	132	0.0136	0.0018	5458.9386	0.8	-0.2	0.5446	-0.0158	0.0000	0.0712	5.1573	60	0.000	55.800000	37.500000	0.00	55.758106	37.568245	147.4	11011
33	2022-04-14	07:57:08	5464.1502	132	0.0101	0.0013	5458.9374	0.7	1.4	0.5486	-0.0157	0.0001	0.0711	5.1573	60	0.000	55.800000	37.500000	0.00	55.758163	37.568169	147.3	11011
33	2022-04-14	07:58:08	5464.1518	132	0.0130	0.0017	5458.9388	2.0	2.1	0.5494	-0.0156	0.0002	0.0710	5.1573	60	0.000	55.800000	37.500000	0.00	55.757942	37.568390	147.8	11011
33	2022-04-14	07:59:08	5464.1519	132	0.0144	0.0019	5458.9390	2.5	2.3	0.5422	-0.0155	0.0002	0.0708	5.1573	60	0.000	55.800000	37.500000	0.00	--	--	--	11011
33	2022-04-14	08:00:08	5464.1512	132	0.0140	0.0018	5458.9381	2.8	2.2	0.5481	-0.0154	0.0002	0.0709	5.1574	60	0.000	55.800000	37.500000	0.00	55.757992	37.568722	146.5	11011
