/		CG-6 Survey
/		Survey Name:	110A-KPRE-ZVEB
/		Instrument Serial Number:	000000021090374
/		Created:	2022-04-14 05:29:05
/
/		CG-6 Calibration
/		Operator:	MSG
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030951
/		Y Scale [arc-sec/ADU]:	0.030982
/		X Offset [ADU]:	-210247.717363
/		Y Offset [ADU]:	-244020.956834
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.015550
/		Drift Zero Time:	2021-08-25 15:22:03
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
11	2022-04-14	05:29:05	5646.8225	132	0.0186	0.0024	5643.2894	-0.8	0.1	-0.1234	-0.0522	0.0000	-0.0160	3.6012	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:30:05	5646.8230	132	0.0141	0.0018	5643.2897	-0.4	0.1	-0.1271	-0.0518	0.0000	-0.0161	3.6012	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:31:05	5646.8223	132	0.0154	0.0020	5643.2888	-1.3	-0.6	-0.1268	-0.0515	0.0001	-0.0163	3.6012	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:32:05	5646.8223	132	0.0148	0.0019	5643.2887	-0.7	0.9	-0.1251	-0.0511	0.0001	-0.0165	3.6012	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:33:05	5646.8237	132	0.0120	0.0015	5643.2898	-0.9	-0.2	-0.1327	-0.0508	0.0000	-0.0165	3.6012	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:34:05	5646.8232	132	0.0120	0.0015	5643.2889	-2.4	0.5	-0.1236	-0.0505	0.0001	-0.0166	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:35:05	5646.8235	132	0.0097	0.0013	5643.2887	-3.1	-0.3	-0.1353	-0.0501	0.0001	-0.0165	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:36:05	5646.8225	132	0.0123	0.0016	5643.2875	-2.3	0.3	-0.1362	-0.0498	0.0001	-0.0166	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:37:05	5646.8222	132	0.0114	0.0015	5643.2870	-2.3	0.3	-0.1312	-0.0495	0.0001	-0.0167	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:38:05	5646.8208	132	0.0119	0.0015	5643.2852	-2.7	-0.5	-0.1367	-0.0491	0.0001	-0.0167	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:39:05	5646.8218	132	0.0122	0.0016	5643.2858	-2.1	0.4	-0.1367	-0.0488	0.0001	-0.0166	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:40:05	5646.8213	132	0.0111	0.0014	5643.2851	-1.8	-0.3	-0.1310	-0.0485	0.0001	-0.0167	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:41:05	5646.8223	132	0.0136	0.0018	5643.2857	-1.4	-0.5	-0.1326	-0.0481	0.0001	-0.0166	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:42:05	5646.8221	132	0.0111	0.0014	5643.2854	-1.7	-1.3	-0.1375	-0.0478	0.0001	-0.0168	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:43:05	5646.8222	132	0.0128	0.0016	5643.2848	-2.6	-0.8	-0.1331	-0.0475	0.0001	-0.0166	3.6013	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:44:05	5646.8227	132	0.0131	0.0017	5643.2850	-1.8	-0.9	-0.1251	-0.0472	0.0001	-0.0166	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:45:05	5646.8221	132	0.0132	0.0017	5643.2841	-1.8	-2.1	-0.1342	-0.0468	0.0001	-0.0166	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:46:05	5646.8229	132	0.0121	0.0016	5643.2844	-3.3	-1.7	-0.1352	-0.0465	0.0002	-0.0165	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:47:05	5646.8223	132	0.0162	0.0021	5643.2833	-3.2	-2.5	-0.1314	-0.0462	0.0002	-0.0165	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:48:05	5646.8220	132	0.0126	0.0016	5643.2825	-2.7	-3.0	-0.1376	-0.0458	0.0003	-0.0163	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:49:05	5646.8221	132	0.0116	0.0015	5643.2825	-2.2	-2.4	-0.1387	-0.0455	0.0002	-0.0165	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:50:05	5646.8225	132	0.0147	0.0019	5643.2828	-0.3	-1.4	-0.1306	-0.0452	0.0001	-0.0165	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:51:05	5646.8218	132	0.0126	0.0016	5643.2817	-0.5	-2.5	-0.1289	-0.0449	0.0001	-0.0166	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:52:05	5646.8221	132	0.0143	0.0019	5643.2816	0.3	-1.9	-0.1352	-0.0445	0.0001	-0.0165	3.6014	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:53:05	5646.8224	132	0.0120	0.0016	5643.2814	-0.2	-2.8	-0.1349	-0.0442	0.0001	-0.0163	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:54:05	5646.8222	132	0.0121	0.0016	5643.2809	-0.7	-1.4	-0.1283	-0.0439	0.0001	-0.0163	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:55:05	5646.8222	132	0.0124	0.0016	5643.2806	-0.6	-0.5	-0.1254	-0.0436	0.0001	-0.0164	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:56:05	5646.8238	132	0.0146	0.0019	5643.2817	-1.1	0.2	-0.1260	-0.0432	0.0001	-0.0162	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:57:05	5646.8231	132	0.0109	0.0014	5643.2808	-1.6	0.2	-0.1290	-0.0429	0.0001	-0.0164	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:58:05	5646.8235	132	0.0107	0.0014	5643.2808	-1.8	0.3	-0.1374	-0.0426	0.0001	-0.0163	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	05:59:05	5646.8231	132	0.0121	0.0016	5643.2802	-0.6	-0.0	-0.1283	-0.0423	0.0000	-0.0164	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:00:05	5646.8232	132	0.0124	0.0016	5643.2798	-1.7	-0.9	-0.1293	-0.0419	0.0001	-0.0163	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:01:05	5646.8218	132	0.0139	0.0018	5643.2778	-3.0	-1.9	-0.1337	-0.0416	0.0002	-0.0161	3.6015	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:02:05	5646.8233	132	0.0106	0.0014	5643.2792	-2.0	-1.9	-0.1275	-0.0413	0.0002	-0.0163	3.6016	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:03:05	5646.8227	132	0.0127	0.0016	5643.2782	-3.3	-1.3	-0.1233	-0.0410	0.0002	-0.0163	3.6016	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:04:05	5646.8210	132	0.0110	0.0014	5643.2763	-2.5	-1.1	-0.1361	-0.0407	0.0001	-0.0163	3.6016	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-14	06:05:05	5646.8225	132	0.0116	0.0015	5643.2773	-4.0	-0.5	-0.1299	-0.0404	0.0002	-0.0162	3.6016	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
