/		CG-6 Survey
/		Survey Name:	110A-KPRE
/		Instrument Serial Number:	000000021080368
/		Created:	2022-04-11 07:04:26
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030913
/		Y Scale [arc-sec/ADU]:	0.031179
/		X Offset [ADU]:	-198388.746919
/		Y Offset [ADU]:	-94188.153940
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.021437
/		Drift Zero Time:	2021-08-16 18:07:31
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
110A3	2022-04-11	07:04:26	5490.6693	13	0.0544	0.0070	5485.5579	2.7	-4.4	0.5611	-0.0533	0.0003	0.0721	5.0922	60	0.000	55.800000	37.500000	0.00	55.855045	37.516384	163.1	11011
110A3	2022-04-11	07:05:26	5490.6686	13	0.0621	0.0080	5485.5572	3.1	-4.2	0.5570	-0.0532	0.0004	0.0720	5.0922	60	0.000	55.800000	37.500000	0.00	55.855072	37.516293	163.0	11011
110A3	2022-04-11	07:06:26	5490.6696	13	0.0584	0.0075	5485.5585	1.4	-3.5	0.5541	-0.0531	0.0002	0.0719	5.0922	60	0.000	55.800000	37.500000	0.00	55.855007	37.516338	163.3	11011
110A3	2022-04-11	07:07:26	5490.6703	13	0.0697	0.0090	5485.5589	0.8	-4.5	0.5525	-0.0530	0.0002	0.0719	5.0923	60	0.000	55.800000	37.500000	0.00	55.855007	37.516319	162.9	11011
110A3	2022-04-11	07:08:26	5490.6696	13	0.0719	0.0093	5485.5583	1.5	-5.1	0.5592	-0.0529	0.0003	0.0717	5.0923	60	0.000	55.800000	37.500000	0.00	55.855007	37.516251	162.1	11011
110A3	2022-04-11	07:09:26	5490.6719	13	0.0753	0.0097	5485.5603	2.0	-5.5	0.5558	-0.0529	0.0005	0.0717	5.0923	60	0.000	55.800000	37.500000	0.00	55.854988	37.516254	162.5	11011
110A3	2022-04-11	07:10:26	5490.6700	13	0.0654	0.0084	5485.5584	1.6	-5.0	0.5573	-0.0528	0.0003	0.0717	5.0923	60	0.000	55.800000	37.500000	0.00	55.855019	37.516422	162.0	11011
110A3	2022-04-11	07:11:26	5490.6689	13	0.0494	0.0064	5485.5576	2.2	-4.2	0.5556	-0.0527	0.0002	0.0714	5.0923	60	0.000	55.800000	37.500000	0.00	55.854988	37.516365	161.5	11011
110A3	2022-04-11	07:12:26	5490.6717	13	0.0599	0.0077	5485.5599	3.3	-6.2	0.5620	-0.0526	0.0006	0.0714	5.0923	60	0.000	55.800000	37.500000	0.00	55.854977	37.516407	161.5	11011
110A3	2022-04-11	07:13:26	5490.6710	13	0.0502	0.0065	5485.5591	2.8	-7.3	0.5496	-0.0525	0.0007	0.0714	5.0924	60	0.000	55.800000	37.500000	0.00	55.854980	37.516338	160.9	11011
110A3	2022-04-11	07:14:26	5490.6707	13	0.0616	0.0080	5485.5588	1.6	-5.7	0.5598	-0.0525	0.0004	0.0715	5.0924	60	0.000	55.800000	37.500000	0.00	55.854950	37.516308	160.5	11011
110A3	2022-04-11	07:15:26	5490.6697	13	0.0666	0.0086	5485.5580	1.8	-6.0	0.5483	-0.0524	0.0004	0.0712	5.0924	60	0.000	55.800000	37.500000	0.00	55.854958	37.516407	160.7	11011
110A3	2022-04-11	07:16:26	5490.6712	13	0.0606	0.0078	5485.5595	1.7	-5.6	0.5493	-0.0523	0.0004	0.0712	5.0924	60	0.000	55.800000	37.500000	0.00	55.855019	37.516472	157.8	11011
