/		CG-6 Survey
/		Survey Name:	110A-LEDV
/		Instrument Serial Number:	000000021080368
/		Created:	2022-04-12 05:54:52
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030913
/		Y Scale [arc-sec/ADU]:	0.031179
/		X Offset [ADU]:	-198388.746919
/		Y Offset [ADU]:	-94188.153940
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.021437
/		Drift Zero Time:	2021-08-16 18:07:31
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
13	2022-04-12	05:54:52	5490.6730	14	0.0724	0.0093	5485.5453	0.1	-2.6	0.5527	-0.0558	0.0001	0.0708	5.1126	60	0.000	55.800000	37.500000	0.00	55.854961	37.515831	150.1	11011
13	2022-04-12	05:55:52	5490.6722	14	0.0241	0.0031	5485.5442	1.3	-3.2	0.5450	-0.0556	0.0002	0.0708	5.1126	60	0.000	55.800000	37.500000	0.00	55.855141	37.516376	152.4	11011
13	2022-04-12	05:56:52	5490.6724	14	0.0233	0.0030	5485.5444	1.2	-3.7	0.5423	-0.0554	0.0002	0.0706	5.1127	60	0.000	55.800000	37.500000	0.00	55.855103	37.516117	153.1	11011
13	2022-04-12	05:57:52	5490.6732	14	0.0210	0.0027	5485.5450	0.8	-3.5	0.5487	-0.0553	0.0002	0.0706	5.1127	60	0.000	55.800000	37.500000	0.00	55.855053	37.516102	153.1	11011
13	2022-04-12	05:58:52	5490.6736	14	0.0241	0.0031	5485.5455	-0.4	-2.8	0.5475	-0.0551	0.0001	0.0705	5.1127	60	0.000	55.800000	37.500000	0.00	55.855186	37.516300	152.7	11011
13	2022-04-12	05:59:52	5490.6731	14	0.0201	0.0026	5485.5447	-0.6	-2.7	0.5489	-0.0549	0.0001	0.0705	5.1127	60	0.000	55.800000	37.500000	0.00	55.855186	37.516159	153.2	11011
13	2022-04-12	06:00:52	5490.6741	14	0.0233	0.0030	5485.5457	0.1	-3.1	0.5467	-0.0548	0.0001	0.0703	5.1127	60	0.000	55.800000	37.500000	0.00	55.855076	37.516026	152.1	11011
13	2022-04-12	06:01:52	5490.6734	14	0.0247	0.0032	5485.5448	-0.1	-3.0	0.5488	-0.0546	0.0001	0.0704	5.1127	60	0.000	55.800000	37.500000	0.00	55.855133	37.516117	151.8	11011
13	2022-04-12	06:02:52	5490.6733	14	0.0344	0.0044	5485.5443	-0.3	-4.0	0.5421	-0.0544	0.0002	0.0704	5.1127	60	0.000	55.800000	37.500000	0.00	55.855045	37.516251	152.0	11011
13	2022-04-12	06:03:52	5490.6735	14	0.0262	0.0034	5485.5444	0.8	-4.8	0.5423	-0.0543	0.0004	0.0702	5.1128	60	0.000	55.800000	37.500000	0.00	55.855015	37.516674	153.1	11011
13	2022-04-12	06:04:52	5490.6741	14	0.0277	0.0036	5485.5450	0.2	-3.9	0.5474	-0.0541	0.0003	0.0701	5.1128	60	0.000	55.800000	37.500000	0.00	55.855053	37.516193	154.2	11011
13	2022-04-12	06:05:52	5490.6739	14	0.0283	0.0036	5485.5444	0.4	-4.3	0.5391	-0.0539	0.0003	0.0704	5.1128	60	0.000	55.800000	37.500000	0.00	55.855141	37.516388	158.7	11011
13	2022-04-12	06:06:52	5490.6730	14	0.0219	0.0028	5485.5435	0.4	-4.7	0.5548	-0.0538	0.0003	0.0702	5.1128	60	0.000	55.800000	37.500000	0.00	55.855217	37.516415	162.6	11011
13	2022-04-12	06:07:52	5490.6728	14	0.0175	0.0023	5485.5430	0.3	-4.2	0.5471	-0.0536	0.0003	0.0703	5.1128	60	0.000	55.800000	37.500000	0.00	55.855129	37.516083	166.0	11011
13	2022-04-12	06:08:52	5490.6728	14	0.0271	0.0035	5485.5428	0.5	-3.9	0.5452	-0.0534	0.0002	0.0704	5.1128	60	0.000	55.800000	37.500000	0.00	55.855045	37.516174	166.1	11011
13	2022-04-12	06:09:52	5490.6732	14	0.0280	0.0036	5485.5429	1.2	-4.2	0.5364	-0.0533	0.0003	0.0703	5.1128	60	0.000	55.800000	37.500000	0.00	55.855110	37.516384	164.3	11011
13	2022-04-12	06:10:52	5490.6732	14	0.0308	0.0040	5485.5428	0.3	-4.7	0.5459	-0.0531	0.0004	0.0704	5.1129	60	0.000	55.800000	37.500000	0.00	55.855160	37.516136	164.8	11011
13	2022-04-12	06:11:52	5490.6728	14	0.0208	0.0027	5485.5424	-0.2	-3.2	0.5475	-0.0530	0.0001	0.0703	5.1129	60	0.000	55.800000	37.500000	0.00	55.855167	37.516098	165.1	11011
13	2022-04-12	06:12:52	5490.6728	14	0.0262	0.0034	5485.5421	0.5	-3.2	0.5455	-0.0528	0.0002	0.0704	5.1129	60	0.000	55.800000	37.500000	0.00	55.855072	37.516079	164.7	11011
13	2022-04-12	06:13:52	5490.6731	14	0.0261	0.0034	5485.5424	0.3	-1.8	0.5508	-0.0526	0.0000	0.0704	5.1129	60	0.000	55.800000	37.500000	0.00	55.855064	37.515968	164.3	11011
13	2022-04-12	06:14:52	5490.6735	14	0.0319	0.0041	5485.5427	-0.3	-2.3	0.5422	-0.0525	0.0001	0.0704	5.1129	60	0.000	55.800000	37.500000	0.00	55.855083	37.516331	164.0	11011
13	2022-04-12	06:15:52	5490.6730	14	0.0283	0.0037	5485.5418	-2.4	-3.3	0.5459	-0.0523	0.0002	0.0704	5.1129	60	0.000	55.800000	37.500000	0.00	55.855133	37.516155	163.9	11011
13	2022-04-12	06:16:52	5490.6730	14	0.0275	0.0035	5485.5416	-2.0	-2.6	0.5535	-0.0522	0.0002	0.0705	5.1129	60	0.000	55.800000	37.500000	0.00	55.854950	37.516613	166.2	11011
13	2022-04-12	06:17:52	5490.6726	14	0.0291	0.0038	5485.5411	-1.4	-1.4	0.5438	-0.0520	0.0001	0.0704	5.1130	60	0.000	55.800000	37.500000	0.00	55.854977	37.516445	166.4	11011
13	2022-04-12	06:18:52	5490.6733	14	0.0321	0.0041	5485.5418	-1.5	-1.8	0.5468	-0.0519	0.0001	0.0704	5.1130	60	0.000	55.800000	37.500000	0.00	55.855129	37.516006	165.5	11011
13	2022-04-12	06:19:52	5490.6733	14	0.0229	0.0030	5485.5416	-1.9	-3.3	0.5416	-0.0517	0.0001	0.0703	5.1130	60	0.000	55.800000	37.500000	0.00	55.855045	37.516396	165.9	11011
13	2022-04-12	06:20:52	5490.6725	14	0.0210	0.0027	5485.5404	-1.2	-3.3	0.5451	-0.0516	0.0002	0.0705	5.1130	60	0.000	55.800000	37.500000	0.00	55.855103	37.516117	165.6	11011
13	2022-04-12	06:21:52	5490.6736	14	0.0365	0.0047	5485.5413	0.5	-3.6	0.5413	-0.0514	0.0002	0.0705	5.1130	60	0.000	55.800000	37.500000	0.00	55.855160	37.515945	165.0	11011
13	2022-04-12	06:22:52	5490.6736	14	0.0383	0.0049	5485.5411	-0.4	-3.2	0.5504	-0.0513	0.0002	0.0706	5.1130	60	0.000	55.800000	37.500000	0.00	55.855045	37.516216	165.0	11011
13	2022-04-12	06:23:52	5490.6720	14	0.0224	0.0029	5485.5394	0.7	-3.2	0.5497	-0.0511	0.0001	0.0705	5.1131	60	0.000	55.800000	37.500000	0.00	55.855045	37.515900	164.7	11011
13	2022-04-12	06:24:52	5490.6728	14	0.0386	0.0050	5485.5401	1.0	-2.5	0.5444	-0.0510	0.0001	0.0705	5.1131	60	0.000	55.800000	37.500000	0.00	55.855083	37.515606	161.8	11011
13	2022-04-12	06:25:52	5490.6732	14	0.0451	0.0058	5485.5405	1.2	-2.0	0.5422	-0.0508	0.0001	0.0704	5.1131	60	0.000	55.800000	37.500000	0.00	55.855095	37.515678	161.6	11011
13	2022-04-12	06:26:52	5490.6733	14	0.0295	0.0038	5485.5402	0.9	-3.4	0.5477	-0.0507	0.0002	0.0705	5.1131	60	0.000	55.800000	37.500000	0.00	55.855072	37.515976	161.8	11011
13	2022-04-12	06:27:52	5490.6730	14	0.0285	0.0037	5485.5400	-0.4	-3.5	0.5443	-0.0506	0.0001	0.0704	5.1131	60	0.000	55.800000	37.500000	0.00	55.855064	37.516293	163.0	11011
13	2022-04-12	06:28:52	5490.6724	14	0.0258	0.0033	5485.5390	0.1	-3.9	0.5474	-0.0504	0.0002	0.0704	5.1131	60	0.000	55.800000	37.500000	0.00	55.855064	37.516205	163.7	11011
13	2022-04-12	06:29:52	5490.6722	14	0.0254	0.0033	5485.5387	-0.4	-3.7	0.5438	-0.0503	0.0002	0.0704	5.1131	60	0.000	55.800000	37.500000	0.00	55.855095	37.516148	165.0	11011
13	2022-04-12	06:30:52	5490.6735	14	0.0266	0.0034	5485.5397	0.8	-3.6	0.5425	-0.0501	0.0002	0.0706	5.1132	60	0.000	55.800000	37.500000	0.00	55.855133	37.515945	165.3	11011
13	2022-04-12	06:31:52	5490.6736	14	0.0287	0.0037	5485.5397	-0.5	-3.8	0.5438	-0.0500	0.0002	0.0705	5.1132	60	0.000	55.800000	37.500000	0.00	55.855072	37.515945	167.0	11011
13	2022-04-12	06:32:52	5490.6739	14	0.0372	0.0048	5485.5397	0.3	-4.1	0.5503	-0.0499	0.0003	0.0706	5.1132	60	0.000	55.800000	37.500000	0.00	55.855160	37.515907	167.5	11011
13	2022-04-12	06:33:52	5490.6732	14	0.0280	0.0036	5485.5391	0.1	-3.8	0.5445	-0.0497	0.0002	0.0704	5.1132	60	0.000	55.800000	37.500000	0.00	55.855190	37.516205	170.4	11011
13	2022-04-12	06:34:52	5490.6742	14	0.0268	0.0035	5485.5399	1.1	-2.2	0.5402	-0.0496	0.0001	0.0706	5.1132	60	0.000	55.800000	37.500000	0.00	55.855072	37.516052	171.1	11011
13	2022-04-12	06:35:52	5490.6742	14	0.0279	0.0036	5485.5397	0.2	-2.6	0.5534	-0.0495	0.0001	0.0706	5.1132	60	0.000	55.800000	37.500000	0.00	55.855015	37.516186	171.2	11011
