/		CG-6 Survey
/		Survey Name:	B1-B2-B3-B4_0_UR1
/		Instrument Serial Number:	000000021080368
/		Created:	2023-04-10 07:20:33
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030843
/		Y Scale [arc-sec/ADU]:	0.031310
/		X Offset [ADU]:	-197296.861841
/		Y Offset [ADU]:	-93397.213352
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.018590
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-10	07:20:33	5454.6452	0	0.0122	0.0016	5455.6491	1.9	2.2	0.4963	-0.0302	0.0001	0.0637	-1.0374	60	0.000	55.781509	37.638790	237.60	55.781086	37.639294	232.8	11011
1	2023-04-10	07:21:33	5454.6449	0	0.0151	0.0020	5455.6482	2.7	4.2	0.4878	-0.0297	0.0003	0.0635	-1.0374	60	0.000	55.781509	37.638790	237.60	55.781281	37.639236	232.4	11011
1	2023-04-10	07:22:33	5454.6461	0	0.0176	0.0023	5455.6490	1.6	3.7	0.4880	-0.0292	0.0003	0.0635	-1.0375	60	0.000	55.781509	37.638790	237.60	55.781067	37.639439	232.6	11011
1	2023-04-10	07:23:33	5454.6448	0	0.0148	0.0019	5455.6474	1.1	2.7	0.4893	-0.0287	0.0001	0.0634	-1.0375	60	0.000	55.781509	37.638790	237.60	55.780861	37.639420	230.5	11011
1	2023-04-10	07:24:33	5454.6441	0	0.0131	0.0017	5455.6462	1.3	4.1	0.4943	-0.0282	0.0003	0.0633	-1.0375	60	0.000	55.781509	37.638790	237.60	55.780899	37.639278	230.2	11011
1	2023-04-10	07:25:33	5454.6448	0	0.0185	0.0024	5455.6465	1.3	4.0	0.4831	-0.0277	0.0003	0.0633	-1.0375	60	0.000	55.781509	37.638790	237.60	55.781097	37.638981	232.5	11011
1	2023-04-10	07:26:33	5454.6453	0	0.0140	0.0018	5455.6464	2.1	3.2	0.4908	-0.0272	0.0002	0.0634	-1.0375	60	0.000	55.781509	37.638790	237.60	55.780861	37.639191	215.7	11011
1	2023-04-10	07:27:33	5454.6433	0	0.0135	0.0017	5455.6442	2.4	3.4	0.4925	-0.0267	0.0002	0.0631	-1.0375	60	0.000	55.781509	37.638790	237.60	55.780991	37.639164	213.9	11011
1	2023-04-10	07:28:33	5454.6456	0	0.0167	0.0022	5455.6460	1.7	3.9	0.4905	-0.0262	0.0002	0.0630	-1.0375	60	0.000	55.781509	37.638790	237.60	55.781052	37.639057	204.8	11011
1	2023-04-10	07:29:33	5454.6439	0	0.0138	0.0018	5455.6438	1.6	2.5	0.4918	-0.0257	0.0002	0.0631	-1.0375	60	0.000	55.781509	37.638790	237.60	55.780785	37.639313	188.9	11011
2	2023-04-10	07:35:53	5454.6542	0	0.0124	0.0016	5455.6508	-2.8	-1.4	0.4923	-0.0224	0.0001	0.0634	-1.0376	60	0.000	55.781509	37.638790	237.60	55.780983	37.639065	216.5	11011
2	2023-04-10	07:36:53	5454.6548	0	0.0128	0.0016	5455.6511	-2.5	-1.3	0.4878	-0.0219	0.0001	0.0632	-1.0376	60	0.000	55.781509	37.638790	237.60	55.781010	37.639030	229.8	11011
2	2023-04-10	07:37:53	5454.6542	0	0.0135	0.0017	5455.6501	-3.0	-0.6	0.4991	-0.0214	0.0002	0.0630	-1.0376	60	0.000	55.781509	37.638790	237.60	55.781040	37.639103	235.8	11011
2	2023-04-10	07:38:53	5454.6552	0	0.0143	0.0018	5455.6506	-2.8	-0.5	0.4883	-0.0209	0.0001	0.0630	-1.0377	60	0.000	55.781509	37.638790	237.60	55.781052	37.639126	246.8	11011
