/		CG-6 Survey
/		Survey Name:	B4-B1-B2-B3_0_UR7
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-10 11:53:11
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.012490
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
4	2023-04-10	11:53:11	5900.0371	0	0.0150	0.0019	5899.2371	-0.8	1.7	0.2951	0.0751	0.0001	0.0379	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:54:11	5900.0372	0	0.0203	0.0026	5899.2372	-1.5	0.5	0.2889	0.0751	0.0000	0.0379	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:55:11	5900.0369	0	0.0178	0.0023	5899.2367	-2.2	3.2	0.2883	0.0752	0.0002	0.0379	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:56:11	5900.0375	0	0.0180	0.0023	5899.2374	-2.1	0.8	0.2890	0.0753	0.0001	0.0379	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:57:11	5900.0369	0	0.0134	0.0017	5899.2367	-1.7	2.0	0.2890	0.0753	0.0001	0.0378	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:58:11	5900.0377	0	0.0150	0.0019	5899.2377	-1.5	1.3	0.2906	0.0754	0.0001	0.0376	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	11:59:11	5900.0361	0	0.0145	0.0019	5899.2361	-1.4	2.6	0.2869	0.0754	0.0001	0.0375	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:00:11	5900.0374	0	0.0134	0.0017	5899.2373	-1.6	1.6	0.2995	0.0755	0.0001	0.0376	0.6869	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:01:11	5900.0361	0	0.0186	0.0024	5899.2361	-1.2	1.8	0.2913	0.0755	0.0001	0.0375	0.6870	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:02:11	5900.0356	0	0.0140	0.0018	5899.2354	0.0	1.7	0.2891	0.0756	0.0001	0.0376	0.6870	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:10:47	5900.0162	0	0.0165	0.0021	5899.2150	-0.9	0.9	0.2946	0.0758	0.0001	0.0384	0.6870	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:11:47	5900.0171	0	0.0147	0.0019	5899.2155	-1.0	2.9	0.2975	0.0758	0.0002	0.0386	0.6870	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:12:47	5900.0186	0	0.0165	0.0021	5899.2171	-1.3	3.3	0.2990	0.0758	0.0002	0.0384	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:13:47	5900.0179	0	0.0137	0.0018	5899.2164	-1.7	3.0	0.3020	0.0758	0.0002	0.0384	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:14:47	5900.0177	0	0.0141	0.0018	5899.2162	-0.3	2.2	0.2936	0.0758	0.0001	0.0385	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:15:47	5900.0189	0	0.0153	0.0020	5899.2176	0.1	1.8	0.3008	0.0758	0.0001	0.0383	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:16:47	5900.0187	0	0.0157	0.0020	5899.2172	-1.1	2.4	0.2967	0.0758	0.0001	0.0384	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:17:47	5900.0188	0	0.0134	0.0017	5899.2175	-1.5	3.2	0.2923	0.0758	0.0002	0.0382	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:18:47	5900.0182	0	0.0155	0.0020	5899.2168	-2.0	1.8	0.2984	0.0758	0.0002	0.0383	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	12:19:47	5900.0172	0	0.0147	0.0019	5899.2158	-1.8	2.4	0.2952	0.0758	0.0002	0.0384	0.6871	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:24:52	5900.0246	0	0.0152	0.0020	5899.2231	-1.0	-2.0	0.3001	0.0757	0.0001	0.0386	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:25:52	5900.0252	0	0.0214	0.0028	5899.2236	-0.4	-1.6	0.3026	0.0756	0.0001	0.0387	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:26:52	5900.0257	0	0.0135	0.0017	5899.2241	-0.7	-2.0	0.3013	0.0756	0.0001	0.0388	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:27:52	5900.0266	0	0.0184	0.0024	5899.2250	-1.9	-1.2	0.2971	0.0755	0.0001	0.0388	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:28:52	5900.0246	0	0.0134	0.0017	5899.2230	-3.2	-0.7	0.3006	0.0755	0.0002	0.0387	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:29:52	5900.0265	0	0.0146	0.0019	5899.2252	-1.7	-0.6	0.3006	0.0755	0.0001	0.0386	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:30:52	5900.0265	0	0.0140	0.0018	5899.2251	-2.1	0.0	0.2985	0.0754	0.0001	0.0387	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:31:52	5900.0265	0	0.0162	0.0021	5899.2253	-1.5	-1.5	0.3001	0.0753	0.0001	0.0386	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:32:52	5900.0260	0	0.0161	0.0021	5899.2249	-1.7	-1.9	0.3003	0.0753	0.0001	0.0385	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-10	12:33:52	5900.0284	0	0.0147	0.0019	5899.2272	-0.9	-3.0	0.3025	0.0752	0.0002	0.0386	0.6872	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:38:04	5900.0300	0	0.0141	0.0018	5899.2288	-1.2	1.5	0.3020	0.0750	0.0001	0.0389	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:39:04	5900.0301	0	0.0165	0.0021	5899.2289	-0.8	3.0	0.2960	0.0749	0.0001	0.0389	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:40:04	5900.0302	0	0.0190	0.0025	5899.2292	-0.0	2.2	0.2986	0.0748	0.0001	0.0389	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:41:04	5900.0314	0	0.0179	0.0023	5899.2303	-0.8	2.9	0.3077	0.0747	0.0002	0.0389	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:42:04	5900.0328	0	0.0162	0.0021	5899.2317	-0.3	2.9	0.2994	0.0746	0.0001	0.0390	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:43:04	5900.0306	0	0.0201	0.0026	5899.2300	0.1	1.9	0.3022	0.0746	0.0001	0.0387	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:44:04	5900.0307	0	0.0173	0.0022	5899.2298	0.4	4.4	0.3063	0.0745	0.0002	0.0388	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:45:04	5900.0306	0	0.0184	0.0024	5899.2299	1.2	3.3	0.2986	0.0744	0.0002	0.0388	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:46:04	5900.0316	0	0.0139	0.0018	5899.2309	-0.0	3.1	0.2964	0.0743	0.0002	0.0389	0.6873	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
3	2023-04-10	12:47:04	5900.0309	0	0.0177	0.0023	5899.2303	-0.3	2.9	0.2962	0.0742	0.0001	0.0390	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:53:53	5900.0358	0	0.0146	0.0019	5899.2352	-3.0	2.2	0.3070	0.0734	0.0002	0.0395	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:54:53	5900.0362	0	0.0173	0.0022	5899.2356	-3.2	2.2	0.3065	0.0733	0.0003	0.0396	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:55:53	5900.0352	0	0.0166	0.0021	5899.2351	-1.2	1.2	0.3066	0.0732	0.0001	0.0394	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:56:53	5900.0361	0	0.0164	0.0021	5899.2361	-1.1	3.1	0.3055	0.0730	0.0002	0.0394	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:57:53	5900.0361	0	0.0167	0.0022	5899.2361	-0.5	3.0	0.3027	0.0729	0.0002	0.0394	0.6874	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:58:53	5900.0359	0	0.0183	0.0024	5899.2362	-1.4	4.0	0.3047	0.0728	0.0002	0.0392	0.6875	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	12:59:53	5900.0374	0	0.0189	0.0024	5899.2379	-0.7	4.8	0.2995	0.0726	0.0003	0.0391	0.6875	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	13:00:53	5900.0384	0	0.0196	0.0025	5899.2387	-1.2	5.1	0.3036	0.0725	0.0004	0.0393	0.6875	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	13:01:53	5900.0364	0	0.0145	0.0019	5899.2370	-1.9	5.1	0.3076	0.0724	0.0004	0.0391	0.6875	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
4	2023-04-10	13:02:53	5900.0378	0	0.0165	0.0021	5899.2381	-2.3	6.2	0.3041	0.0722	0.0006	0.0393	0.6875	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:14:09	5900.0180	0	0.0135	0.0017	5899.2201	-1.7	-0.1	0.3092	0.0704	0.0001	0.0399	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:15:09	5900.0188	0	0.0114	0.0015	5899.2212	-2.4	-0.3	0.3082	0.0702	0.0001	0.0398	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:16:09	5900.0192	0	0.0166	0.0021	5899.2215	-2.9	1.1	0.3069	0.0700	0.0001	0.0400	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:17:09	5900.0194	0	0.0151	0.0020	5899.2220	-2.2	1.9	0.3083	0.0698	0.0001	0.0398	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:18:09	5900.0188	0	0.0165	0.0021	5899.2219	-0.6	0.8	0.3077	0.0696	0.0001	0.0397	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:19:09	5900.0177	0	0.0167	0.0022	5899.2209	-2.1	1.2	0.3015	0.0694	0.0001	0.0396	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:20:09	5900.0186	0	0.0181	0.0023	5899.2219	-2.7	-0.4	0.3039	0.0692	0.0001	0.0397	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:21:09	5900.0201	0	0.0148	0.0019	5899.2237	-4.6	0.3	0.2994	0.0691	0.0003	0.0394	0.6876	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
1	2023-04-10	13:22:09	5900.0189	0	0.0135	0.0017	5899.2226	-3.9	0.8	0.3041	0.0689	0.0002	0.0395	0.6877	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
