/		CG-6 Survey
/		Survey Name:	MAIN-110A
/		Instrument Serial Number:	000000021080368
/		Created:	2023-04-21 06:38:44
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030843
/		Y Scale [arc-sec/ADU]:	0.031310
/		X Offset [ADU]:	-197296.861841
/		Y Offset [ADU]:	-93397.213352
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.014150
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-21	06:38:44	5456.6404	1	0.0179	0.0023	5455.6389	2.0	0.3	0.4981	-0.0088	0.0001	0.0653	0.9449	60	0.000	55.800000	37.600000	183.80	55.781288	37.639088	210.1	11011
3	2023-04-21	06:39:44	5456.6391	1	0.0192	0.0025	5455.6371	0.8	0.7	0.5087	-0.0082	0.0000	0.0652	0.9449	60	0.000	55.800000	37.600000	183.80	55.780792	37.639389	209.1	11011
3	2023-04-21	06:40:44	5456.6405	1	0.0123	0.0016	5455.6379	1.1	-0.1	0.5005	-0.0076	0.0000	0.0653	0.9449	60	0.000	55.800000	37.600000	183.80	55.781269	37.639191	209.8	11011
3	2023-04-21	06:41:44	5456.6407	1	0.0158	0.0020	5455.6378	0.6	-0.4	0.5010	-0.0071	0.0000	0.0650	0.9449	60	0.000	55.800000	37.600000	183.80	55.781097	37.639278	207.4	11011
3	2023-04-21	06:42:44	5456.6404	1	0.0161	0.0021	5455.6370	1.3	0.8	0.5018	-0.0065	0.0001	0.0649	0.9449	60	0.000	55.800000	37.600000	183.80	55.781086	37.639160	209.9	11011
3	2023-04-21	06:43:44	5456.6407	1	0.0108	0.0014	5455.6366	3.0	-0.4	0.5038	-0.0059	0.0002	0.0649	0.9449	60	0.000	55.800000	37.600000	183.80	55.780647	37.639313	209.7	11011
3	2023-04-21	06:44:44	5456.6409	1	0.0158	0.0020	5455.6364	2.5	0.0	0.5076	-0.0053	0.0001	0.0648	0.9449	60	0.000	55.800000	37.600000	183.80	55.780933	37.639217	209.6	11011
3	2023-04-21	06:45:44	5456.6406	1	0.0144	0.0019	5455.6356	0.9	-0.1	0.5018	-0.0047	0.0000	0.0647	0.9450	60	0.000	55.800000	37.600000	183.80	55.781174	37.639000	208.5	11011
3	2023-04-21	06:46:44	5456.6398	1	0.0109	0.0014	5455.6344	2.2	-0.2	0.5004	-0.0042	0.0001	0.0645	0.9450	60	0.000	55.800000	37.600000	183.80	55.781689	37.639122	201.8	11011
3	2023-04-21	06:47:44	5456.6405	1	0.0138	0.0018	5455.6345	2.6	0.0	0.4933	-0.0036	0.0001	0.0645	0.9450	60	0.000	55.800000	37.600000	183.80	55.781219	37.639248	204.6	11011
3	2023-04-21	06:48:44	5456.6398	1	0.0177	0.0023	5455.6333	2.0	-1.2	0.5013	-0.0030	0.0001	0.0645	0.9450	60	0.000	55.800000	37.600000	183.80	55.780289	37.639317	203.6	11011
3	2023-04-21	06:49:44	5456.6400	1	0.0158	0.0020	5455.6331	0.5	-1.6	0.4999	-0.0024	0.0001	0.0643	0.9450	60	0.000	55.800000	37.600000	183.80	55.780670	37.639446	195.1	11011
3	2023-04-21	06:50:44	5456.6408	1	0.0135	0.0017	5455.6333	0.8	-1.8	0.4900	-0.0019	0.0001	0.0643	0.9450	60	0.000	55.800000	37.600000	183.80	55.781040	37.639400	198.1	11011
3	2023-04-21	06:51:44	5456.6415	1	0.0121	0.0016	5455.6333	1.4	-0.7	0.5037	-0.0013	0.0001	0.0644	0.9450	60	0.000	55.800000	37.600000	183.80	55.780972	37.639011	196.9	11011
3	2023-04-21	06:52:44	5456.6411	1	0.0142	0.0018	5455.6325	2.0	-1.2	0.4986	-0.0007	0.0001	0.0641	0.9450	60	0.000	55.800000	37.600000	183.80	55.781105	37.639294	193.3	11011
3	2023-04-21	06:53:44	5456.6408	1	0.0110	0.0014	5455.6317	2.7	-0.4	0.4954	-0.0001	0.0001	0.0641	0.9450	60	0.000	55.800000	37.600000	183.80	55.780582	37.639145	190.5	11011
3	2023-04-21	06:54:44	5456.6412	1	0.0139	0.0018	5455.6315	3.5	-0.6	0.4952	0.0004	0.0002	0.0641	0.9450	60	0.000	55.800000	37.600000	183.80	55.780735	37.638878	194.0	11011
3	2023-04-21	06:55:44	5456.6409	1	0.0152	0.0020	5455.6307	3.0	0.1	0.4973	0.0010	0.0002	0.0640	0.9451	60	0.000	55.800000	37.600000	183.80	55.780926	37.639191	193.8	11011
3	2023-04-21	06:56:44	5456.6409	1	0.0105	0.0014	5455.6301	2.0	-0.2	0.5042	0.0016	0.0001	0.0641	0.9451	60	0.000	55.800000	37.600000	183.80	55.781136	37.639160	197.5	11011
3	2023-04-21	06:57:44	5456.6402	1	0.0180	0.0023	5455.6286	2.2	-1.4	0.4977	0.0022	0.0001	0.0642	0.9451	60	0.000	55.800000	37.600000	183.80	55.781185	37.639229	208.9	11011
3	2023-04-21	06:58:44	5456.6395	1	0.0178	0.0023	5455.6274	1.7	-0.5	0.5017	0.0027	0.0001	0.0642	0.9451	60	0.000	55.800000	37.600000	183.80	55.780647	37.639221	211.1	11011
3	2023-04-21	06:59:44	5456.6408	1	0.0119	0.0015	5455.6282	1.3	-1.1	0.4962	0.0033	0.0000	0.0641	0.9451	60	0.000	55.800000	37.600000	183.80	55.780212	37.639179	207.8	11011
3	2023-04-21	07:00:44	5456.6409	1	0.0139	0.0018	5455.6278	2.0	-1.5	0.4913	0.0039	0.0001	0.0640	0.9451	60	0.000	55.800000	37.600000	183.80	55.781013	37.639221	213.2	11011
