/		CG-6 Survey
/		Survey Name:	MAIN-110A
/		Instrument Serial Number:	000000021090374
/		Created:	2023-04-21 06:38:43
/
/		CG-6 Calibration
/		Operator:	IASK
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030819
/		Y Scale [arc-sec/ADU]:	0.030822
/		X Offset [ADU]:	-209699.758131
/		Y Offset [ADU]:	-243152.772818
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.008170
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-21	06:38:43	5613.5275	1	0.0185	0.0024	5614.0715	-0.4	1.3	0.0195	-0.0090	0.0001	0.0024	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:39:43	5613.5272	1	0.0184	0.0024	5614.0706	0.1	1.6	0.0143	-0.0084	0.0001	0.0024	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:40:43	5613.5270	1	0.0125	0.0016	5614.0702	1.2	1.2	0.0175	-0.0079	0.0001	0.0020	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:41:43	5613.5280	1	0.0150	0.0019	5614.0705	0.2	2.6	0.0089	-0.0073	0.0001	0.0021	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:42:43	5613.5274	1	0.0163	0.0021	5614.0695	1.8	3.0	0.0113	-0.0067	0.0002	0.0019	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:43:43	5613.5276	1	0.0115	0.0015	5614.0693	1.8	2.2	0.0141	-0.0061	0.0001	0.0018	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:44:43	5613.5280	1	0.0140	0.0018	5614.0693	2.7	0.0	0.0090	-0.0056	0.0001	0.0015	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:45:43	5613.5279	1	0.0158	0.0020	5614.0688	2.6	1.6	0.0071	-0.0050	0.0001	0.0014	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:46:43	5613.5291	1	0.0106	0.0014	5614.0695	1.5	2.0	0.0045	-0.0044	0.0001	0.0014	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-21	06:47:43	5613.5276	1	0.0128	0.0017	5614.0673	2.4	2.5	0.0104	-0.0038	0.0001	0.0015	-0.5374	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
