/		CG-6 Survey
/		Survey Name:	MAIN-110A
/		Instrument Serial Number:	000000022090468
/		Created:	2023-04-17 06:40:34
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	8009.604000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030806
/		Y Scale [arc-sec/ADU]:	0.030639
/		X Offset [ADU]:	-161936.653023
/		Y Offset [ADU]:	-219406.324612
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.006250
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-17	06:40:34	5743.0330	1	0.0256	0.0033	5743.1000	0.9	-2.4	2.8669	-0.0332	0.0001	0.3584	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781517	37.638428	220.1	11011
1	2023-04-17	06:41:34	5743.0341	1	0.0086	0.0011	5743.1007	1.9	-2.0	2.8665	-0.0329	0.0001	0.3585	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781315	37.639008	221.2	11011
1	2023-04-17	06:42:34	5743.0357	1	0.0102	0.0013	5743.1022	0.6	-1.7	2.8608	-0.0327	0.0001	0.3584	-0.3924	60	0.000	55.780838	37.639160	185.10	55.780994	37.639622	221.5	11011
1	2023-04-17	06:43:34	5743.0321	1	0.0092	0.0012	5743.0985	2.2	-2.0	2.8697	-0.0324	0.0001	0.3583	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781403	37.639103	221.2	11011
1	2023-04-17	06:44:34	5743.0336	1	0.0080	0.0010	5743.0999	2.3	-2.5	2.8647	-0.0322	0.0002	0.3581	-0.3924	60	0.000	55.780838	37.639160	185.10	55.780918	37.639523	221.1	11011
1	2023-04-17	06:45:34	5743.0355	1	0.0085	0.0011	5743.1015	0.2	-2.3	2.8631	-0.0320	0.0001	0.3582	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781124	37.639248	221.5	11011
1	2023-04-17	06:46:34	5743.0354	1	0.0129	0.0017	5743.1015	0.3	-1.4	2.8603	-0.0317	0.0001	0.3580	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781078	37.639114	222.1	11011
1	2023-04-17	06:47:34	5743.0342	1	0.0078	0.0010	5743.1002	1.3	-1.1	2.8572	-0.0315	0.0000	0.3578	-0.3924	60	0.000	55.780838	37.639160	185.10	55.781300	37.638931	222.4	11011
1	2023-04-17	06:48:34	5743.0340	1	0.0081	0.0011	5743.0996	2.1	-1.1	2.8667	-0.0313	0.0001	0.3579	-0.3924	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-17	06:49:34	5743.0321	1	0.0107	0.0014	5743.0976	1.8	-1.8	2.8615	-0.0310	0.0001	0.3578	-0.3924	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
