/		CG-6 Survey
/		Survey Name:	MAIN-110A
/		Instrument Serial Number:	000000022090470
/		Created:	2023-04-17 06:40:37
/
/		CG-6 Calibration
/		Operator:	IASK
/		Gcal1 [mGal]:	7941.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031193
/		Y Scale [arc-sec/ADU]:	0.030978
/		X Offset [ADU]:	-38727.250535
/		Y Offset [ADU]:	-43473.881294
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2022-09-14 11:11:53
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-17	06:40:37	5589.9969	1	0.9946	0.1284	5592.3706	-2.6	0.4	1.0449	-0.0333	0.0001	0.1299	-2.4703	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:41:37	5589.8711	1	0.0085	0.0011	5592.2442	-2.9	1.4	1.0416	-0.0331	0.0002	0.1301	-2.4703	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:42:37	5589.8732	1	0.0102	0.0013	5592.2454	-1.6	1.2	1.0526	-0.0329	0.0002	0.1308	-2.4703	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:43:37	5589.8730	1	0.0089	0.0011	5592.2441	-1.0	0.4	1.0525	-0.0326	0.0001	0.1318	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:44:37	5589.8738	1	0.0068	0.0009	5592.2441	-0.9	0.5	1.0644	-0.0324	0.0001	0.1324	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:45:37	5589.8719	1	0.0076	0.0010	5592.2411	-1.3	2.9	1.0697	-0.0321	0.0002	0.1331	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:46:37	5589.8729	1	0.0118	0.0015	5592.2415	-0.8	2.8	1.0786	-0.0319	0.0002	0.1335	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:47:37	5589.8741	1	0.0069	0.0009	5592.2418	1.5	2.7	1.0763	-0.0317	0.0001	0.1342	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:48:37	5589.8740	1	0.0067	0.0009	5592.2412	1.4	2.0	1.0748	-0.0314	0.0001	0.1345	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:49:37	5589.8735	1	0.0095	0.0012	5592.2401	1.3	3.4	1.0802	-0.0312	0.0002	0.1347	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:50:37	5589.8731	1	0.0104	0.0013	5592.2394	-0.5	3.9	1.0796	-0.0310	0.0003	0.1348	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:51:37	5589.8718	1	0.0094	0.0012	5592.2378	2.0	2.4	1.0761	-0.0308	0.0002	0.1350	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:52:37	5589.8723	1	0.0089	0.0011	5592.2382	1.1	2.1	1.0789	-0.0305	0.0002	0.1349	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:53:37	5589.8730	1	0.0128	0.0017	5592.2388	-0.6	0.7	1.0792	-0.0303	0.0001	0.1350	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:54:37	5589.8733	1	0.0093	0.0012	5592.2386	1.1	0.5	1.0840	-0.0301	0.0001	0.1352	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:55:37	5589.8722	1	0.0077	0.0010	5592.2374	2.1	1.5	1.0859	-0.0299	0.0001	0.1350	-2.4704	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:56:37	5589.8729	1	0.0078	0.0010	5592.2377	2.5	2.9	1.0844	-0.0297	0.0003	0.1351	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:57:37	5589.8726	1	0.0147	0.0019	5592.2376	1.1	1.0	1.0794	-0.0295	0.0001	0.1348	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:58:37	5589.8705	1	0.0079	0.0010	5592.2354	-0.4	0.5	1.0778	-0.0293	0.0001	0.1348	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	06:59:37	5589.8717	1	0.0090	0.0012	5592.2361	0.6	-0.7	1.0817	-0.0291	0.0001	0.1350	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:00:37	5589.8708	1	0.0077	0.0010	5592.2350	-0.7	2.0	1.0810	-0.0289	0.0001	0.1350	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:01:37	5589.8724	1	0.0087	0.0011	5592.2363	-1.4	2.4	1.0788	-0.0287	0.0002	0.1351	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:02:37	5589.8715	1	0.0077	0.0010	5592.2356	-0.1	1.7	1.0766	-0.0285	0.0001	0.1349	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:03:37	5589.8712	1	0.0089	0.0012	5592.2350	-0.0	-0.1	1.0862	-0.0283	0.0001	0.1350	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:04:37	5589.8717	1	0.0117	0.0015	5592.2353	0.4	0.2	1.0711	-0.0281	0.0000	0.1349	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:05:37	5589.8718	1	0.0072	0.0009	5592.2352	0.1	0.1	1.0756	-0.0279	0.0001	0.1349	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:06:37	5589.8715	1	0.0105	0.0014	5592.2347	-0.2	0.4	1.0793	-0.0277	0.0001	0.1349	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:07:37	5589.8700	1	0.0096	0.0012	5592.2333	-0.1	0.5	1.0786	-0.0275	0.0001	0.1347	-2.4705	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:08:37	5589.8719	1	0.0089	0.0011	5592.2350	-0.1	-0.2	1.0790	-0.0273	0.0001	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:09:37	5589.8709	1	0.0077	0.0010	5592.2337	0.7	2.0	1.0747	-0.0271	0.0001	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:10:37	5589.8702	1	0.0082	0.0011	5592.2329	0.8	1.5	1.0735	-0.0270	0.0001	0.1348	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:11:37	5589.8719	1	0.0099	0.0013	5592.2345	0.8	1.9	1.0809	-0.0268	0.0001	0.1346	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:12:37	5589.8709	1	0.0087	0.0011	5592.2332	1.6	2.1	1.0771	-0.0266	0.0002	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:13:37	5589.8715	1	0.0091	0.0012	5592.2336	1.1	2.6	1.0782	-0.0264	0.0002	0.1348	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:14:37	5589.8704	1	0.0088	0.0011	5592.2325	-1.1	2.5	1.0823	-0.0263	0.0001	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:15:37	5589.8721	1	0.0084	0.0011	5592.2338	0.4	2.5	1.0813	-0.0261	0.0002	0.1348	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:16:37	5589.8711	1	0.0108	0.0014	5592.2328	1.2	0.9	1.0777	-0.0260	0.0001	0.1348	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:17:37	5589.8713	1	0.0090	0.0012	5592.2327	0.4	0.2	1.0800	-0.0258	0.0001	0.1349	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:18:37	5589.8715	1	0.0083	0.0011	5592.2330	0.2	0.8	1.0826	-0.0256	0.0001	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:19:37	5589.8700	1	0.0136	0.0018	5592.2314	-0.7	0.7	1.0868	-0.0255	0.0001	0.1347	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:20:37	5589.8710	1	0.0122	0.0016	5592.2320	0.5	2.1	1.0682	-0.0253	0.0001	0.1349	-2.4706	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:21:37	5589.8703	1	0.0092	0.0012	5592.2313	0.2	3.1	1.0823	-0.0252	0.0002	0.1346	-2.4707	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:22:37	5589.8704	1	0.0071	0.0009	5592.2314	0.2	1.0	1.0728	-0.0250	0.0001	0.1346	-2.4707	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:23:37	5589.8692	1	0.0083	0.0011	5592.2299	-0.6	2.1	1.0799	-0.0249	0.0001	0.1347	-2.4707	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-17	07:24:37	5589.8697	1	0.0084	0.0011	5592.2303	0.0	1.4	1.0755	-0.0247	0.0001	0.1347	-2.4707	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
13	2023-04-17	08:14:44	5613.0626	1	0.0532	0.0069	5615.4154	3.9	-2.8	1.1132	-0.0212	0.0004	0.1391	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855076	37.516098	133.5	11011
13	2023-04-17	08:15:44	5613.0607	1	0.0085	0.0011	5615.4136	2.5	-3.6	1.1121	-0.0212	0.0003	0.1391	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855072	37.515911	134.5	11011
13	2023-04-17	08:16:44	5613.0604	1	0.0084	0.0011	5615.4134	1.4	-3.2	1.1140	-0.0212	0.0002	0.1390	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855152	37.515766	132.0	11011
13	2023-04-17	08:17:44	5613.0605	1	0.0092	0.0012	5615.4135	-0.1	-1.8	1.1132	-0.0212	0.0001	0.1391	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855015	37.516281	129.2	11011
13	2023-04-17	08:18:44	5613.0598	1	0.0087	0.0011	5615.4126	1.9	-2.6	1.1169	-0.0212	0.0002	0.1392	-2.4711	60	0.000	55.800000	37.500000	179.70	55.854988	37.516136	121.0	11011
13	2023-04-17	08:19:44	5613.0602	1	0.0073	0.0009	5615.4132	0.3	-1.6	1.1093	-0.0212	0.0001	0.1392	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855110	37.516312	123.1	11011
13	2023-04-17	08:20:44	5613.0619	1	0.0094	0.0012	5615.4149	0.5	-1.7	1.1162	-0.0212	0.0001	0.1392	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855110	37.516140	129.7	11011
13	2023-04-17	08:21:44	5613.0616	1	0.0076	0.0010	5615.4146	0.6	-2.4	1.1171	-0.0212	0.0002	0.1393	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855244	37.516502	136.5	11011
13	2023-04-17	08:22:44	5613.0603	1	0.0083	0.0011	5615.4134	0.7	-2.4	1.1204	-0.0213	0.0001	0.1392	-2.4711	60	0.000	55.800000	37.500000	179.70	55.855064	37.516117	126.2	11011
13	2023-04-17	08:23:44	5613.0583	1	0.0083	0.0011	5615.4111	1.0	-4.3	1.1203	-0.0213	0.0003	0.1393	-2.4712	60	0.000	55.800000	37.500000	179.70	55.855015	37.516232	122.3	11011
