/		CG-6 Survey
/		Survey Name:	MAIN-110A
/		Instrument Serial Number:	000000022090471
/		Created:	2023-04-17 06:40:37
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	8025.847000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030956
/		Y Scale [arc-sec/ADU]:	0.030508
/		X Offset [ADU]:	-220356.544981
/		Y Offset [ADU]:	-134316.557988
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.019270
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
4	2023-04-17	06:40:37	5619.9965	1	0.0243	0.0031	5621.1824	0.8	-3.1	0.4336	-0.0333	0.0002	0.0570	-1.2097	60	0.000	55.800000	37.500000	181.80	55.781250	37.638943	218.0	11011
4	2023-04-17	06:41:37	5619.9955	1	0.0086	0.0011	5621.1813	-0.1	-4.5	0.4367	-0.0331	0.0003	0.0568	-1.2097	60	0.000	55.800000	37.500000	181.80	55.781212	37.639069	218.2	11011
4	2023-04-17	06:42:37	5619.9960	1	0.0097	0.0013	5621.1818	0.2	-4.9	0.4354	-0.0329	0.0003	0.0565	-1.2098	60	0.000	55.800000	37.500000	181.80	55.781620	37.639000	220.5	11011
4	2023-04-17	06:43:37	5619.9958	1	0.0080	0.0010	5621.1813	-0.4	-5.7	0.4306	-0.0326	0.0004	0.0565	-1.2098	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
4	2023-04-17	06:44:37	5619.9955	1	0.0075	0.0010	5621.1805	1.1	-6.5	0.4358	-0.0324	0.0006	0.0566	-1.2098	60	0.000	55.800000	37.500000	181.80	55.781662	37.638607	221.7	11011
4	2023-04-17	06:45:37	5619.9961	1	0.0083	0.0011	5621.1812	2.0	-7.2	0.4347	-0.0321	0.0007	0.0562	-1.2098	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
4	2023-04-17	06:46:37	5619.9960	1	0.0121	0.0016	5621.1808	3.1	-8.2	0.4331	-0.0319	0.0009	0.0560	-1.2098	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
4	2023-04-17	06:47:37	5619.9963	1	0.0076	0.0010	5621.1806	2.5	-9.0	0.4292	-0.0317	0.0010	0.0561	-1.2098	60	0.000	55.800000	37.500000	181.80	55.781658	37.639019	218.3	11011
4	2023-04-17	06:48:37	5619.9954	1	0.0075	0.0010	5621.1793	2.9	-9.6	0.4324	-0.0314	0.0011	0.0562	-1.2098	60	0.000	55.800000	37.500000	181.80	55.781364	37.639488	220.3	11011
4	2023-04-17	06:49:37	5619.9974	1	0.0099	0.0013	5621.1806	2.2	-10.9	0.4303	-0.0312	0.0016	0.0563	-1.2098	60	0.000	55.800000	37.500000	181.80	55.781326	37.639267	225.0	11011
