/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000021080368
/		Created:	2023-04-25 05:18:57
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030843
/		Y Scale [arc-sec/ADU]:	0.031310
/		X Offset [ADU]:	-197296.861841
/		Y Offset [ADU]:	-93397.213352
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.014150
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-25	05:18:57	5456.7020	3	0.0137	0.0018	5455.7026	-2.3	0.4	0.5133	-0.0677	0.0001	0.0664	1.0007	60	0.000	55.800000	37.600000	183.80	55.780632	37.639240	245.4	11011
3	2023-04-25	05:19:57	5456.7020	3	0.0137	0.0018	5455.7026	-0.4	0.7	0.5068	-0.0675	0.0000	0.0662	1.0007	60	0.000	55.800000	37.600000	183.80	55.780918	37.639515	256.6	11011
3	2023-04-25	05:20:57	5456.7010	3	0.0147	0.0019	5455.7014	-1.1	0.9	0.5050	-0.0673	0.0000	0.0661	1.0007	60	0.000	55.800000	37.600000	183.80	55.781128	37.639744	258.3	11011
3	2023-04-25	05:21:57	5456.7030	3	0.0166	0.0021	5455.7034	-1.4	0.4	0.5054	-0.0671	0.0000	0.0658	1.0007	60	0.000	55.800000	37.600000	183.80	55.780689	37.639248	247.0	11011
3	2023-04-25	05:22:57	5456.7018	3	0.0157	0.0020	5455.7022	-0.8	0.8	0.5083	-0.0669	0.0000	0.0657	1.0007	60	0.000	55.800000	37.600000	183.80	55.780437	37.639179	254.1	11011
3	2023-04-25	05:23:57	5456.7023	3	0.0163	0.0021	5455.7023	-1.8	-0.0	0.5127	-0.0667	0.0000	0.0659	1.0008	60	0.000	55.800000	37.600000	183.80	55.780632	37.639317	262.5	11011
3	2023-04-25	05:24:57	5456.7014	3	0.0145	0.0019	5455.7013	-2.5	0.5	0.5051	-0.0664	0.0001	0.0658	1.0008	60	0.000	55.800000	37.600000	183.80	55.780590	37.638916	269.4	11011
3	2023-04-25	05:25:57	5456.7012	3	0.0144	0.0019	5455.7008	-3.5	0.5	0.5076	-0.0662	0.0001	0.0657	1.0008	60	0.000	55.800000	37.600000	183.80	55.780716	37.639103	243.4	11011
3	2023-04-25	05:26:57	5456.7018	3	0.0172	0.0022	5455.7011	-3.2	2.2	0.5116	-0.0660	0.0003	0.0656	1.0008	60	0.000	55.800000	37.600000	183.80	55.780972	37.639278	225.9	11011
3	2023-04-25	05:27:57	5456.7014	3	0.0148	0.0019	5455.7006	-1.3	1.1	0.5076	-0.0658	0.0001	0.0657	1.0008	60	0.000	55.800000	37.600000	183.80	55.780842	37.639393	193.2	11011
3	2023-04-25	05:28:57	5456.7032	3	0.0120	0.0016	5455.7020	-1.8	0.2	0.5108	-0.0656	0.0001	0.0659	1.0008	60	0.000	55.800000	37.600000	183.80	55.780842	37.639370	187.7	11011
3	2023-04-25	05:29:57	5456.7018	3	0.0155	0.0020	5455.7007	-1.6	0.6	0.5057	-0.0653	0.0001	0.0656	1.0008	60	0.000	55.800000	37.600000	183.80	55.780983	37.639275	186.4	11011
3	2023-04-25	05:30:57	5456.7022	3	0.0155	0.0020	5455.7009	-1.7	0.8	0.5122	-0.0651	0.0001	0.0655	1.0008	60	0.000	55.800000	37.600000	183.80	55.781174	37.639202	187.1	11011
3	2023-04-25	05:31:57	5456.7027	3	0.0164	0.0021	5455.7013	-0.9	-1.3	0.5089	-0.0649	0.0001	0.0653	1.0008	60	0.000	55.800000	37.600000	183.80	55.780880	37.639210	196.2	11011
3	2023-04-25	05:32:57	5456.7029	3	0.0141	0.0018	5455.7012	-1.7	-0.3	0.5127	-0.0646	0.0001	0.0655	1.0008	60	0.000	55.800000	37.600000	183.80	55.781109	37.639221	196.8	11011
3	2023-04-25	05:33:57	5456.7022	3	0.0164	0.0021	5455.7002	-0.8	-0.2	0.5056	-0.0644	0.0000	0.0656	1.0009	60	0.000	55.800000	37.600000	183.80	55.780899	37.639248	198.6	11011
3	2023-04-25	05:34:57	5456.7026	3	0.0167	0.0022	5455.7003	-1.0	1.0	0.5074	-0.0642	0.0001	0.0655	1.0009	60	0.000	55.800000	37.600000	183.80	55.781040	37.639095	193.8	11011
3	2023-04-25	05:35:57	5456.7038	3	0.0131	0.0017	5455.7015	-0.3	0.4	0.5079	-0.0639	0.0000	0.0654	1.0009	60	0.000	55.800000	37.600000	183.80	--	--	--	11011
3	2023-04-25	05:36:57	5456.7023	3	0.0121	0.0016	5455.6996	-0.3	-0.1	0.5056	-0.0637	0.0000	0.0655	1.0009	60	0.000	55.800000	37.600000	183.80	55.781143	37.639183	194.6	11011
3	2023-04-25	05:37:57	5456.7018	3	0.0130	0.0017	5455.6988	-0.6	0.4	0.5009	-0.0634	0.0000	0.0655	1.0009	60	0.000	55.800000	37.600000	183.80	55.781269	37.639160	192.1	11011
3	2023-04-25	05:38:57	5456.7049	3	0.0135	0.0017	5455.7017	-2.3	0.1	0.5115	-0.0632	0.0001	0.0654	1.0009	60	0.000	55.800000	37.600000	183.80	55.781326	37.639370	196.3	11011
3	2023-04-25	05:39:57	5456.7035	3	0.0193	0.0025	5455.7001	-0.4	-0.1	0.5032	-0.0630	0.0000	0.0653	1.0009	60	0.000	55.800000	37.600000	183.80	55.781563	37.639542	193.2	11011
3	2023-04-25	05:40:57	5456.7037	3	0.0190	0.0025	5455.6999	-0.3	1.3	0.5099	-0.0627	0.0000	0.0655	1.0009	60	0.000	55.800000	37.600000	183.80	55.780563	37.639458	193.7	11011
3	2023-04-25	05:41:57	5456.7029	3	0.0131	0.0017	5455.6992	-1.2	0.4	0.5047	-0.0625	0.0000	0.0652	1.0009	60	0.000	55.800000	37.600000	183.80	55.780762	37.639217	194.0	11011
3	2023-04-25	05:42:57	5456.7022	3	0.0131	0.0017	5455.6981	-1.9	0.9	0.5003	-0.0622	0.0001	0.0653	1.0009	60	0.000	55.800000	37.600000	183.80	55.780991	37.639164	195.2	11011
