/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000021090374
/		Created:	2023-04-25 05:18:58
/
/		CG-6 Calibration
/		Operator:	IIM
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030819
/		Y Scale [arc-sec/ADU]:	0.030822
/		X Offset [ADU]:	-209699.758131
/		Y Offset [ADU]:	-243152.772818
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.008170
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-25	05:18:58	5613.4500	3	0.0140	0.0018	5614.0831	2.2	-1.3	0.0332	-0.0678	0.0001	0.0042	-0.5696	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:19:58	5613.4525	3	0.0142	0.0018	5614.0853	2.5	-1.4	0.0276	-0.0676	0.0001	0.0043	-0.5696	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:20:58	5613.4526	3	0.0148	0.0019	5614.0855	2.2	-0.9	0.0355	-0.0674	0.0001	0.0041	-0.5696	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:21:58	5613.4528	3	0.0164	0.0021	5614.0856	2.2	-0.5	0.0317	-0.0672	0.0001	0.0039	-0.5696	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:22:58	5613.4520	3	0.0150	0.0019	5614.0849	1.0	-0.4	0.0296	-0.0670	0.0001	0.0037	-0.5696	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:23:58	5613.4513	3	0.0165	0.0021	5614.0839	0.5	0.3	0.0373	-0.0668	0.0000	0.0038	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:24:58	5613.4511	3	0.0153	0.0020	5614.0836	1.0	-0.2	0.0224	-0.0665	0.0001	0.0037	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:25:58	5613.4525	3	0.0142	0.0018	5614.0850	0.9	-0.6	0.0351	-0.0663	0.0000	0.0034	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:26:58	5613.4520	3	0.0170	0.0022	5614.0844	-0.2	-1.2	0.0262	-0.0661	0.0000	0.0034	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:27:58	5613.4524	3	0.0149	0.0019	5614.0846	-0.8	-0.6	0.0318	-0.0659	0.0000	0.0033	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:28:58	5613.4524	3	0.0115	0.0015	5614.0842	0.5	-1.7	0.0206	-0.0656	0.0001	0.0034	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:29:58	5613.4537	3	0.0150	0.0019	5614.0853	-0.1	-2.0	0.0339	-0.0654	0.0001	0.0034	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:30:58	5613.4526	3	0.0157	0.0020	5614.0840	-0.2	-2.3	0.0227	-0.0652	0.0001	0.0034	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:31:58	5613.4525	3	0.0168	0.0022	5614.0837	0.3	-1.6	0.0234	-0.0650	0.0001	0.0033	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:32:58	5613.4533	3	0.0143	0.0018	5614.0844	0.1	-2.6	0.0291	-0.0647	0.0001	0.0032	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:33:58	5613.4509	3	0.0151	0.0020	5614.0818	0.2	-2.1	0.0235	-0.0645	0.0001	0.0033	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:34:58	5613.4523	3	0.0169	0.0022	5614.0831	-0.3	-1.8	0.0266	-0.0643	0.0001	0.0031	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:35:58	5613.4513	3	0.0124	0.0016	5614.0817	1.1	-2.1	0.0290	-0.0640	0.0001	0.0032	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:36:58	5613.4529	3	0.0123	0.0016	5614.0834	-0.4	-1.1	0.0197	-0.0638	0.0000	0.0029	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:37:58	5613.4531	3	0.0125	0.0016	5614.0834	-0.6	-1.2	0.0206	-0.0635	0.0000	0.0030	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:38:58	5613.4534	3	0.0131	0.0017	5614.0835	-0.1	-2.1	0.0202	-0.0633	0.0001	0.0029	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:39:58	5613.4518	3	0.0195	0.0025	5614.0817	1.0	-1.6	0.0230	-0.0631	0.0001	0.0029	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:40:58	5613.4530	3	0.0185	0.0024	5614.0827	0.0	-0.9	0.0197	-0.0628	0.0000	0.0029	-0.5697	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:41:58	5613.4533	3	0.0139	0.0018	5614.0826	-0.2	-0.5	0.0206	-0.0626	0.0000	0.0031	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:42:58	5613.4519	3	0.0128	0.0017	5614.0812	-0.1	-0.7	0.0203	-0.0623	0.0000	0.0027	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:43:58	5613.4541	3	0.0170	0.0022	5614.0831	0.4	-2.0	0.0186	-0.0621	0.0001	0.0028	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:44:58	5613.4526	3	0.0172	0.0022	5614.0813	0.1	-0.9	0.0246	-0.0618	0.0000	0.0029	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:45:58	5613.4511	3	0.0154	0.0020	5614.0798	1.7	-0.4	0.0193	-0.0616	0.0001	0.0026	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:46:58	5613.4532	3	0.0162	0.0021	5614.0813	2.5	0.4	0.0212	-0.0613	0.0001	0.0028	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:47:58	5613.4523	3	0.0156	0.0020	5614.0804	1.7	0.1	0.0223	-0.0611	0.0001	0.0027	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-04-25	05:48:58	5613.4520	3	0.0142	0.0018	5614.0797	1.0	-0.1	0.0259	-0.0608	0.0000	0.0028	-0.5698	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
