/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-19 05:05:12
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.007000
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0	2023-04-19	05:05:12	5899.0559	3	0.0126	0.0016	5899.5168	-5.1	-7.6	0.3023	-0.0553	0.0010	0.0394	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:06:12	5899.0568	3	0.0136	0.0018	5899.5171	-5.0	-8.2	0.3057	-0.0549	0.0011	0.0394	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:07:12	5899.0559	3	0.0161	0.0021	5899.5163	-3.6	-7.1	0.3062	-0.0544	0.0008	0.0392	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:08:12	5899.0552	3	0.0113	0.0015	5899.5148	-3.6	-9.2	0.2985	-0.0539	0.0012	0.0391	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:09:12	5899.0564	3	0.0134	0.0017	5899.5157	-3.2	-9.1	0.3052	-0.0534	0.0011	0.0391	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:10:12	5899.0553	3	0.0164	0.0021	5899.5146	-2.6	-8.7	0.2964	-0.0529	0.0010	0.0386	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:11:12	5899.0566	3	0.0126	0.0016	5899.5154	-3.0	-8.8	0.3011	-0.0525	0.0009	0.0388	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:12:12	5899.0557	3	0.0126	0.0016	5899.5137	-1.8	-10.1	0.3013	-0.0520	0.0013	0.0386	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:13:12	5899.0561	3	0.0127	0.0016	5899.5135	-2.2	-11.6	0.3007	-0.0515	0.0016	0.0385	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-19	05:14:12	5899.0574	3	0.0138	0.0018	5899.5145	-3.1	-10.4	0.3000	-0.0510	0.0014	0.0385	-0.4460	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
