/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000022090468
/		Created:	2023-04-19 05:05:12
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	8009.604000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030806
/		Y Scale [arc-sec/ADU]:	0.030639
/		X Offset [ADU]:	-161936.653023
/		Y Offset [ADU]:	-219406.324612
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.006250
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-19	05:05:12	5742.9311	3	0.0136	0.0018	5743.0295	2.1	-1.8	2.8924	-0.0550	0.0001	0.3610	-0.4044	60	0.000	55.780838	37.639160	185.10	55.780632	37.639019	228.3	11011
1	2023-04-19	05:06:12	5742.9286	3	0.0142	0.0018	5743.0265	2.4	-3.6	2.8890	-0.0546	0.0002	0.3609	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780735	37.638950	231.8	11011
1	2023-04-19	05:07:12	5742.9293	3	0.0153	0.0020	5743.0269	2.4	-4.5	2.8804	-0.0541	0.0003	0.3606	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780735	37.639103	230.7	11011
1	2023-04-19	05:08:12	5742.9281	3	0.0107	0.0014	5743.0250	3.1	-5.5	2.8814	-0.0536	0.0006	0.3606	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780781	37.639141	229.2	11011
1	2023-04-19	05:09:12	5742.9293	3	0.0145	0.0019	5743.0260	2.9	-4.5	2.8826	-0.0531	0.0004	0.3605	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780899	37.639122	228.2	11011
1	2023-04-19	05:10:12	5742.9297	3	0.0165	0.0021	5743.0261	3.5	-3.5	2.8869	-0.0526	0.0004	0.3604	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780704	37.639584	227.1	11011
1	2023-04-19	05:11:12	5742.9285	3	0.0121	0.0016	5743.0244	3.7	-4.4	2.8777	-0.0522	0.0005	0.3603	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780781	37.639114	226.2	11011
1	2023-04-19	05:12:12	5742.9293	3	0.0137	0.0018	5743.0248	3.4	-3.6	2.8817	-0.0517	0.0003	0.3603	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780823	37.639591	223.9	11011
1	2023-04-19	05:13:12	5742.9302	3	0.0141	0.0018	5743.0250	4.8	-4.8	2.8780	-0.0512	0.0006	0.3603	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780876	37.639256	224.1	11011
1	2023-04-19	05:14:12	5742.9281	3	0.0146	0.0019	5743.0229	2.6	-3.8	2.8836	-0.0507	0.0003	0.3601	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780994	37.639164	221.5	11011
1	2023-04-19	05:15:12	5742.9283	3	0.0160	0.0021	5743.0224	3.4	-5.2	2.8893	-0.0502	0.0005	0.3601	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780689	37.639336	216.8	11011
1	2023-04-19	05:16:12	5742.9286	3	0.0140	0.0018	5743.0225	3.5	-4.2	2.8775	-0.0497	0.0003	0.3600	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780762	37.639275	212.1	11011
1	2023-04-19	05:17:12	5742.9285	3	0.0108	0.0014	5743.0219	2.1	-5.3	2.8809	-0.0492	0.0003	0.3600	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780766	37.639297	207.7	11011
1	2023-04-19	05:18:12	5742.9272	3	0.0145	0.0019	5743.0201	1.9	-5.2	2.8770	-0.0487	0.0003	0.3600	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780849	37.639370	205.3	11011
1	2023-04-19	05:19:12	5742.9277	3	0.0118	0.0015	5743.0200	2.6	-5.4	2.8836	-0.0483	0.0004	0.3600	-0.4045	60	0.000	55.780838	37.639160	185.10	55.781078	37.639408	210.1	11011
1	2023-04-19	05:20:12	5742.9272	3	0.0122	0.0016	5743.0191	3.2	-4.7	2.8751	-0.0478	0.0005	0.3599	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780907	37.639336	206.7	11011
1	2023-04-19	05:21:12	5742.9288	3	0.0127	0.0016	5743.0203	3.9	-4.9	2.8747	-0.0473	0.0005	0.3598	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780907	37.639297	206.1	11011
1	2023-04-19	05:22:12	5742.9300	3	0.0120	0.0015	5743.0211	3.7	-4.3	2.8824	-0.0468	0.0004	0.3598	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780994	37.639153	201.2	11011
1	2023-04-19	05:23:12	5742.9300	3	0.0130	0.0017	5743.0206	4.7	-4.5	2.8742	-0.0463	0.0005	0.3598	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780861	37.639133	195.9	11011
1	2023-04-19	05:24:12	5742.9300	3	0.0135	0.0017	5743.0199	4.7	-4.8	2.8751	-0.0458	0.0006	0.3597	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780766	37.639412	190.4	11011
1	2023-04-19	05:25:12	5742.9290	3	0.0151	0.0020	5743.0185	2.7	-4.9	2.8721	-0.0453	0.0005	0.3598	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780670	37.639351	186.3	11011
1	2023-04-19	05:26:12	5742.9300	3	0.0147	0.0019	5743.0190	3.1	-5.5	2.8734	-0.0448	0.0005	0.3598	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780861	37.639381	185.6	11011
1	2023-04-19	05:27:12	5742.9267	3	0.0147	0.0019	5743.0153	3.4	-6.2	2.8775	-0.0443	0.0007	0.3596	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780933	37.639229	183.0	11011
1	2023-04-19	05:28:12	5742.9313	3	0.0163	0.0021	5743.0192	3.8	-7.0	2.8727	-0.0438	0.0009	0.3595	-0.4045	60	0.000	55.780838	37.639160	185.10	55.780781	37.639370	177.9	11011
1	2023-04-19	05:29:12	5742.9279	3	0.0125	0.0016	5743.0154	4.5	-7.2	2.8809	-0.0433	0.0009	0.3594	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780785	37.639153	173.1	11011
1	2023-04-19	05:30:12	5742.9281	3	0.0152	0.0020	5743.0152	4.0	-6.5	2.8772	-0.0428	0.0008	0.3594	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780792	37.639164	167.4	11011
1	2023-04-19	05:31:12	5742.9270	3	0.0140	0.0018	5743.0137	4.0	-6.2	2.8867	-0.0423	0.0008	0.3594	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780704	37.639381	164.7	11011
1	2023-04-19	05:32:12	5742.9276	3	0.0135	0.0017	5743.0140	3.7	-5.0	2.8796	-0.0418	0.0005	0.3595	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780704	37.639427	161.9	11011
1	2023-04-19	05:33:12	5742.9261	3	0.0136	0.0018	5743.0121	3.6	-4.6	2.8798	-0.0413	0.0005	0.3594	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780792	37.639393	155.5	11011
1	2023-04-19	05:34:12	5742.9263	3	0.0153	0.0020	5743.0119	3.5	-6.0	2.8727	-0.0408	0.0006	0.3591	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780499	37.639572	150.8	11011
1	2023-04-19	05:35:12	5742.9289	3	0.0146	0.0019	5743.0137	4.0	-7.0	2.8739	-0.0403	0.0008	0.3593	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780754	37.639469	151.5	11011
1	2023-04-19	05:36:12	5742.9297	3	0.0145	0.0019	5743.0139	3.5	-7.5	2.8756	-0.0398	0.0008	0.3593	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780842	37.639469	153.5	11011
1	2023-04-19	05:37:12	5742.9281	3	0.0131	0.0017	5743.0117	5.2	-7.3	2.8789	-0.0392	0.0009	0.3593	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780972	37.639153	158.7	11011
1	2023-04-19	05:38:12	5742.9302	3	0.0131	0.0017	5743.0133	4.6	-8.2	2.8730	-0.0387	0.0011	0.3592	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780876	37.639294	161.0	11011
1	2023-04-19	05:39:12	5742.9271	3	0.0158	0.0020	5743.0102	3.9	-6.9	2.8748	-0.0382	0.0007	0.3591	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780716	37.639503	165.9	11011
1	2023-04-19	05:40:12	5742.9309	3	0.0152	0.0020	5743.0137	3.3	-5.6	2.8707	-0.0377	0.0004	0.3591	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780933	37.639256	172.0	11011
1	2023-04-19	05:41:12	5742.9253	3	0.0117	0.0015	5743.0072	4.8	-6.0	2.8660	-0.0372	0.0007	0.3592	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780899	37.639336	175.5	11011
1	2023-04-19	05:42:12	5742.9253	3	0.0174	0.0022	5743.0069	3.9	-5.7	2.8762	-0.0367	0.0005	0.3592	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780697	37.639572	176.4	11011
1	2023-04-19	05:43:12	5742.9260	3	0.0130	0.0017	5743.0071	3.5	-6.6	2.8680	-0.0362	0.0007	0.3590	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780952	37.639305	174.1	11011
1	2023-04-19	05:44:12	5742.9291	3	0.0132	0.0017	5743.0096	3.5	-6.1	2.8717	-0.0357	0.0006	0.3592	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780804	37.639351	176.4	11011
1	2023-04-19	05:45:12	5742.9266	3	0.0127	0.0016	5743.0070	2.2	-6.4	2.8709	-0.0352	0.0005	0.3588	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780823	37.639297	173.5	11011
1	2023-04-19	05:46:12	5742.9268	3	0.0149	0.0019	5743.0063	2.4	-7.0	2.8704	-0.0347	0.0008	0.3590	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780727	37.639484	174.6	11011
1	2023-04-19	05:47:12	5742.9261	3	0.0120	0.0016	5743.0053	2.7	-6.7	2.8720	-0.0342	0.0007	0.3589	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780609	37.639469	171.8	11011
1	2023-04-19	05:48:12	5742.9279	3	0.0138	0.0018	5743.0064	3.3	-7.1	2.8747	-0.0337	0.0008	0.3590	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780880	37.639446	171.0	11011
1	2023-04-19	05:49:12	5742.9285	3	0.0156	0.0020	5743.0063	4.2	-8.0	2.8686	-0.0332	0.0010	0.3589	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780804	37.639420	170.9	11011
1	2023-04-19	05:50:12	5742.9285	3	0.0144	0.0019	5743.0059	3.2	-8.1	2.8709	-0.0326	0.0010	0.3589	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780804	37.639496	175.2	11011
1	2023-04-19	05:51:12	5742.9260	3	0.0168	0.0022	5743.0031	3.4	-7.5	2.8737	-0.0321	0.0009	0.3588	-0.4046	60	0.000	55.780838	37.639160	185.10	55.780785	37.639351	174.4	11011
