/		CG-6 Survey
/		Survey Name:	MAIN-MEN3
/		Instrument Serial Number:	000000022090471
/		Created:	2023-04-19 05:05:11
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	8025.847000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030956
/		Y Scale [arc-sec/ADU]:	0.030508
/		X Offset [ADU]:	-220356.544981
/		Y Offset [ADU]:	-134316.557988
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.019270
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
4	2023-04-19	05:05:11	5619.8795	3	0.0128	0.0017	5621.1227	0.0	0.2	0.4546	-0.0553	0.0000	0.0591	-1.2470	60	0.000	55.800000	37.500000	181.80	55.780926	37.639103	169.4	11011
4	2023-04-19	05:06:11	5619.8788	3	0.0127	0.0016	5621.1216	0.6	-0.7	0.4526	-0.0549	0.0000	0.0590	-1.2470	60	0.000	55.800000	37.500000	181.80	55.780933	37.639133	156.8	11011
4	2023-04-19	05:07:11	5619.8785	3	0.0142	0.0018	5621.1209	-0.4	-0.4	0.4505	-0.0544	0.0001	0.0589	-1.2470	60	0.000	55.800000	37.500000	181.80	55.780724	37.639317	150.9	11011
4	2023-04-19	05:08:11	5619.8796	3	0.0106	0.0014	5621.1216	-0.4	-0.9	0.4505	-0.0539	0.0000	0.0589	-1.2470	60	0.000	55.800000	37.500000	181.80	55.780899	37.639019	150.7	11011
4	2023-04-19	05:09:11	5619.8800	3	0.0122	0.0016	5621.1216	-0.2	-1.6	0.4513	-0.0534	0.0000	0.0588	-1.2470	60	0.000	55.800000	37.500000	181.80	55.780880	37.639076	150.9	11011
4	2023-04-19	05:10:11	5619.8800	3	0.0153	0.0020	5621.1211	1.1	-1.1	0.4509	-0.0529	0.0001	0.0588	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780880	37.639076	150.9	11011
4	2023-04-19	05:11:11	5619.8795	3	0.0113	0.0015	5621.1205	0.6	-1.4	0.4436	-0.0525	0.0000	0.0586	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780907	37.639267	150.1	11011
4	2023-04-19	05:12:11	5619.8793	3	0.0129	0.0017	5621.1196	-0.6	-0.1	0.4570	-0.0520	0.0000	0.0587	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780575	37.639313	150.0	11011
4	2023-04-19	05:13:11	5619.8793	3	0.0118	0.0015	5621.1192	-0.7	-0.9	0.4510	-0.0515	0.0000	0.0586	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780804	37.639336	150.2	11011
4	2023-04-19	05:14:11	5619.8798	3	0.0139	0.0018	5621.1194	1.2	-1.7	0.4517	-0.0510	0.0001	0.0585	-1.2471	60	0.000	55.800000	37.500000	181.80	55.781097	37.639610	151.8	11011
4	2023-04-19	05:15:11	5619.8795	3	0.0154	0.0020	5621.1187	0.6	-2.1	0.4477	-0.0505	0.0001	0.0584	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780876	37.639286	155.2	11011
4	2023-04-19	05:16:11	5619.8792	3	0.0132	0.0017	5621.1179	-0.1	-1.5	0.4556	-0.0500	0.0001	0.0584	-1.2471	60	0.000	55.800000	37.500000	181.80	55.780907	37.639107	156.4	11011
4	2023-04-19	05:17:11	5619.8797	3	0.0100	0.0013	5621.1181	-0.1	-1.7	0.4502	-0.0495	0.0001	0.0583	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780876	37.639286	155.2	11011
4	2023-04-19	05:18:11	5619.8792	3	0.0126	0.0016	5621.1171	-0.0	-2.0	0.4483	-0.0491	0.0001	0.0583	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780762	37.639221	154.0	11011
4	2023-04-19	05:19:11	5619.8801	3	0.0101	0.0013	5621.1174	0.5	-2.0	0.4493	-0.0486	0.0001	0.0583	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780666	37.639248	153.4	11011
4	2023-04-19	05:20:11	5619.8799	3	0.0112	0.0014	5621.1167	2.0	-3.1	0.4471	-0.0481	0.0002	0.0583	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780849	37.639305	154.3	11011
4	2023-04-19	05:21:11	5619.8791	3	0.0121	0.0016	5621.1153	1.0	-3.2	0.4487	-0.0476	0.0001	0.0584	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780849	37.639305	154.3	11011
4	2023-04-19	05:22:11	5619.8794	3	0.0105	0.0014	5621.1153	1.1	-2.8	0.4550	-0.0471	0.0001	0.0583	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780533	37.639317	157.0	11011
4	2023-04-19	05:23:11	5619.8800	3	0.0124	0.0016	5621.1156	1.1	-2.6	0.4367	-0.0466	0.0001	0.0581	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780819	37.639256	159.5	11011
4	2023-04-19	05:24:11	5619.8787	3	0.0127	0.0016	5621.1139	1.3	-2.8	0.4479	-0.0461	0.0002	0.0579	-1.2472	60	0.000	55.800000	37.500000	181.80	55.780861	37.639217	161.3	11011
4	2023-04-19	05:25:11	5619.8799	3	0.0141	0.0018	5621.1144	2.4	-3.7	0.4542	-0.0456	0.0003	0.0580	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780861	37.639217	161.3	11011
4	2023-04-19	05:26:11	5619.8788	3	0.0140	0.0018	5621.1130	2.6	-3.3	0.4469	-0.0451	0.0003	0.0579	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780754	37.639160	164.4	11011
4	2023-04-19	05:27:11	5619.8782	3	0.0138	0.0018	5621.1120	1.6	-1.3	0.4505	-0.0446	0.0001	0.0580	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780724	37.639160	161.8	11011
4	2023-04-19	05:28:11	5619.8778	3	0.0139	0.0018	5621.1111	1.9	-1.2	0.4451	-0.0441	0.0001	0.0581	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780746	37.639317	161.6	11011
4	2023-04-19	05:29:11	5619.8802	3	0.0112	0.0014	5621.1130	1.8	-2.5	0.4487	-0.0436	0.0001	0.0579	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780762	37.639179	157.5	11011
4	2023-04-19	05:30:11	5619.8789	3	0.0137	0.0018	5621.1114	1.3	-2.8	0.4441	-0.0431	0.0002	0.0578	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780754	37.639324	152.6	11011
4	2023-04-19	05:31:11	5619.8785	3	0.0118	0.0015	5621.1106	2.2	-2.2	0.4456	-0.0426	0.0001	0.0577	-1.2473	60	0.000	55.800000	37.500000	181.80	55.780811	37.639446	148.5	11011
4	2023-04-19	05:32:11	5619.8786	3	0.0130	0.0017	5621.1100	1.8	-1.3	0.4471	-0.0421	0.0001	0.0580	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780766	37.639286	150.5	11011
4	2023-04-19	05:33:11	5619.8800	3	0.0120	0.0015	5621.1112	1.3	-1.7	0.4509	-0.0416	0.0001	0.0578	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780876	37.639305	159.0	11011
4	2023-04-19	05:34:11	5619.8794	3	0.0152	0.0020	5621.1101	1.4	-1.5	0.4476	-0.0411	0.0001	0.0577	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780876	37.639305	159.0	11011
4	2023-04-19	05:35:11	5619.8779	3	0.0134	0.0017	5621.1080	2.3	-1.5	0.4454	-0.0406	0.0001	0.0578	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780704	37.639389	159.3	11011
4	2023-04-19	05:36:11	5619.8800	3	0.0135	0.0017	5621.1096	2.6	-1.2	0.4379	-0.0401	0.0001	0.0578	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780640	37.639248	159.3	11011
4	2023-04-19	05:37:11	5619.8793	3	0.0130	0.0017	5621.1083	4.2	-1.5	0.4500	-0.0396	0.0003	0.0577	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780842	37.639324	158.2	11011
4	2023-04-19	05:38:11	5619.8791	3	0.0135	0.0017	5621.1077	3.3	-1.5	0.4437	-0.0391	0.0003	0.0576	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780876	37.639294	164.8	11011
4	2023-04-19	05:39:11	5619.8790	3	0.0134	0.0017	5621.1072	2.2	-2.7	0.4443	-0.0386	0.0002	0.0576	-1.2474	60	0.000	55.800000	37.500000	181.80	55.780876	37.639294	164.8	11011
4	2023-04-19	05:40:11	5619.8779	3	0.0135	0.0017	5621.1057	2.8	-2.4	0.4408	-0.0381	0.0001	0.0576	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780876	37.639294	164.8	11011
4	2023-04-19	05:41:11	5619.8767	3	0.0114	0.0015	5621.1041	3.4	-1.7	0.4426	-0.0376	0.0002	0.0575	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780876	37.639294	164.8	11011
4	2023-04-19	05:42:11	5619.8783	3	0.0149	0.0019	5621.1051	2.7	-1.8	0.4411	-0.0370	0.0002	0.0576	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780670	37.639145	175.0	11011
4	2023-04-19	05:43:11	5619.8771	3	0.0114	0.0015	5621.1035	1.8	-1.3	0.4458	-0.0365	0.0001	0.0576	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780838	37.639217	174.7	11011
4	2023-04-19	05:44:11	5619.8790	3	0.0116	0.0015	5621.1051	1.7	-1.3	0.4471	-0.0360	0.0001	0.0574	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780838	37.639217	174.7	11011
4	2023-04-19	05:45:11	5619.8777	3	0.0113	0.0015	5621.1032	1.2	-2.0	0.4442	-0.0355	0.0001	0.0575	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780964	37.639469	174.1	11011
4	2023-04-19	05:46:11	5619.8779	3	0.0139	0.0018	5621.1029	1.4	-1.2	0.4348	-0.0350	0.0001	0.0575	-1.2475	60	0.000	55.800000	37.500000	181.80	55.780754	37.639294	175.4	11011
4	2023-04-19	05:47:11	5619.8787	3	0.0111	0.0014	5621.1031	0.7	-2.5	0.4433	-0.0345	0.0001	0.0575	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780849	37.639305	176.8	11011
4	2023-04-19	05:48:11	5619.8787	3	0.0120	0.0015	5621.1027	-0.1	-2.3	0.4451	-0.0340	0.0001	0.0575	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780590	37.639523	178.2	11011
4	2023-04-19	05:49:11	5619.8782	3	0.0156	0.0020	5621.1018	0.3	-2.0	0.4375	-0.0335	0.0001	0.0575	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780666	37.639393	179.7	11011
4	2023-04-19	05:50:11	5619.8783	3	0.0128	0.0017	5621.1013	0.4	-2.9	0.4395	-0.0330	0.0002	0.0574	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780575	37.639374	181.7	11011
4	2023-04-19	05:51:11	5619.8779	3	0.0152	0.0020	5621.1005	-0.1	-1.3	0.4390	-0.0325	0.0000	0.0575	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780704	37.639362	181.6	11011
4	2023-04-19	05:52:11	5619.8789	3	0.0141	0.0018	5621.1011	0.6	-1.7	0.4442	-0.0320	0.0001	0.0573	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780804	37.639355	181.9	11011
4	2023-04-19	05:53:11	5619.8779	3	0.0150	0.0019	5621.0995	0.8	-1.6	0.4418	-0.0315	0.0001	0.0574	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780716	37.639370	181.3	11011
4	2023-04-19	05:54:11	5619.8786	3	0.0131	0.0017	5621.0999	0.9	-0.6	0.4444	-0.0309	0.0000	0.0573	-1.2476	60	0.000	55.800000	37.500000	181.80	55.780716	37.639370	181.3	11011
4	2023-04-19	05:55:11	5619.8792	3	0.0126	0.0016	5621.0998	0.4	-0.6	0.4443	-0.0304	0.0000	0.0574	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780819	37.639305	182.3	11011
4	2023-04-19	05:56:11	5619.8791	3	0.0138	0.0018	5621.0993	0.6	-2.8	0.4345	-0.0299	0.0001	0.0573	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780563	37.639305	183.1	11011
4	2023-04-19	05:57:11	5619.8772	3	0.0149	0.0019	5621.0969	1.8	-1.5	0.4426	-0.0294	0.0001	0.0573	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780613	37.639408	184.2	11011
4	2023-04-19	05:58:11	5619.8779	3	0.0147	0.0019	5621.0971	1.9	-1.4	0.4432	-0.0289	0.0001	0.0572	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780926	37.639221	184.7	11011
4	2023-04-19	05:59:11	5619.8771	3	0.0137	0.0018	5621.0957	2.0	-1.8	0.4387	-0.0284	0.0001	0.0573	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780937	37.639191	184.8	11011
4	2023-04-19	06:00:11	5619.8765	3	0.0132	0.0017	5621.0947	1.0	-2.4	0.4389	-0.0279	0.0001	0.0573	-1.2477	60	0.000	55.800000	37.500000	181.80	55.781013	37.639297	184.9	11011
4	2023-04-19	06:01:11	5619.8774	3	0.0131	0.0017	5621.0951	0.5	-2.9	0.4402	-0.0274	0.0001	0.0573	-1.2477	60	0.000	55.800000	37.500000	181.80	55.780983	37.639240	187.6	11011
4	2023-04-19	06:02:11	5619.8766	3	0.0141	0.0018	5621.0939	0.0	-2.4	0.4419	-0.0269	0.0002	0.0571	-1.2478	60	0.000	55.800000	37.500000	181.80	55.780933	37.639275	187.4	11011
4	2023-04-19	06:03:11	5619.8772	3	0.0122	0.0016	5621.0942	-1.2	-0.7	0.4447	-0.0264	0.0000	0.0571	-1.2478	60	0.000	55.800000	37.500000	181.80	55.780804	37.639294	187.3	11011
4	2023-04-19	06:04:11	5619.8767	3	0.0129	0.0017	5621.0931	-1.0	-1.2	0.4392	-0.0259	0.0000	0.0572	-1.2478	60	0.000	55.800000	37.500000	181.80	55.780895	37.639217	187.3	11011
64	2023-04-19	08:00:31	5651.4972	3	0.0286	0.0037	5652.6628	2.1	6.6	0.4673	0.0227	0.0006	0.0605	-1.2493	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:01:31	5651.4977	3	0.0129	0.0017	5652.6630	1.7	6.2	0.4665	0.0229	0.0006	0.0605	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:02:31	5651.4995	3	0.0156	0.0020	5652.6646	2.1	7.0	0.4608	0.0232	0.0007	0.0604	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:03:31	5651.4980	3	0.0165	0.0021	5652.6628	2.6	6.7	0.4640	0.0234	0.0007	0.0604	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:04:31	5651.4986	3	0.0132	0.0017	5652.6632	4.3	6.3	0.4646	0.0237	0.0008	0.0602	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:05:31	5651.4977	3	0.0164	0.0021	5652.6625	2.6	4.9	0.4640	0.0240	0.0004	0.0602	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:06:31	5651.4985	3	0.0157	0.0020	5652.6632	2.7	4.6	0.4641	0.0242	0.0003	0.0601	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:07:31	5651.4978	3	0.0192	0.0025	5652.6623	3.2	5.1	0.4633	0.0244	0.0005	0.0600	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:08:31	5651.4969	3	0.0140	0.0018	5652.6612	2.2	4.9	0.4618	0.0247	0.0003	0.0601	-1.2494	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:09:31	5651.4999	3	0.0196	0.0025	5652.6642	2.7	4.6	0.4627	0.0249	0.0003	0.0599	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:10:31	5651.4969	3	0.0124	0.0016	5652.6610	2.2	4.6	0.4647	0.0252	0.0003	0.0599	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:11:31	5651.4978	3	0.0143	0.0018	5652.6617	-0.2	4.6	0.4575	0.0254	0.0003	0.0599	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:12:31	5651.4975	3	0.0150	0.0019	5652.6614	0.3	5.2	0.4593	0.0256	0.0003	0.0597	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:13:31	5651.4976	3	0.0181	0.0023	5652.6612	1.6	6.1	0.4643	0.0258	0.0004	0.0597	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:14:31	5651.4978	3	0.0160	0.0021	5652.6607	1.7	7.6	0.4587	0.0261	0.0009	0.0596	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
64	2023-04-19	08:15:31	5651.4971	3	0.0126	0.0016	5652.6606	0.7	6.2	0.4574	0.0263	0.0004	0.0594	-1.2495	60	0.000	55.800000	37.500000	181.80	--	--	--	11011
