/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000021090374
/		Created:	2023-04-26 05:21:07
/
/		CG-6 Calibration
/		Operator:	IIM
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030819
/		Y Scale [arc-sec/ADU]:	0.030822
/		X Offset [ADU]:	-209699.758131
/		Y Offset [ADU]:	-243152.772818
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.008170
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-05-04	05:17:13	5613.2803	4	0.0150	0.0019	5613.9452	3.1	-0.2	-0.0216	-0.0192	0.0001	-0.0027	-0.6431	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:18:13	5613.2805	4	0.0188	0.0024	5613.9450	3.6	-0.1	-0.0228	-0.0187	0.0002	-0.0027	-0.6431	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:19:13	5613.2802	4	0.0151	0.0019	5613.9442	4.1	0.4	-0.0198	-0.0182	0.0002	-0.0029	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:20:13	5613.2796	4	0.0212	0.0027	5613.9431	5.1	0.6	-0.0269	-0.0177	0.0003	-0.0029	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:21:13	5613.2804	4	0.0163	0.0021	5613.9433	5.2	0.3	-0.0215	-0.0172	0.0004	-0.0030	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:22:13	5613.2806	4	0.0149	0.0019	5613.9432	5.5	-0.4	-0.0293	-0.0167	0.0004	-0.0031	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:23:13	5613.2790	4	0.0145	0.0019	5613.9412	6.7	0.1	-0.0281	-0.0162	0.0006	-0.0034	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:24:13	5613.2803	4	0.0147	0.0019	5613.9421	5.8	-1.2	-0.0250	-0.0157	0.0004	-0.0033	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:25:13	5613.2811	4	0.0158	0.0020	5613.9424	6.6	-0.3	-0.0236	-0.0152	0.0006	-0.0035	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:26:13	5613.2799	4	0.0175	0.0023	5613.9410	5.2	0.1	-0.0320	-0.0147	0.0003	-0.0036	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:27:13	5613.2804	4	0.0154	0.0020	5613.9405	6.1	-0.1	-0.0236	-0.0142	0.0005	-0.0032	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:28:13	5613.2801	4	0.0167	0.0021	5613.9400	5.8	-0.2	-0.0299	-0.0137	0.0004	-0.0034	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:29:13	5613.2800	4	0.0159	0.0021	5613.9391	7.0	-0.1	-0.0274	-0.0132	0.0007	-0.0034	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:30:13	5613.2802	4	0.0161	0.0021	5613.9386	7.4	1.0	-0.0297	-0.0127	0.0007	-0.0032	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:31:13	5613.2801	4	0.0188	0.0024	5613.9382	7.2	0.9	-0.0301	-0.0122	0.0007	-0.0034	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:32:13	5613.2808	4	0.0213	0.0027	5613.9382	8.1	0.4	-0.0244	-0.0117	0.0008	-0.0033	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:33:13	5613.2797	4	0.0220	0.0028	5613.9366	7.4	1.3	-0.0230	-0.0112	0.0008	-0.0032	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:34:13	5613.2809	4	0.0195	0.0025	5613.9374	8.0	1.9	-0.0326	-0.0107	0.0007	-0.0033	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:35:13	5613.2805	4	0.0190	0.0024	5613.9361	8.7	1.1	-0.0281	-0.0102	0.0011	-0.0033	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:36:13	5613.2798	4	0.0148	0.0019	5613.9354	7.7	0.2	-0.0260	-0.0097	0.0007	-0.0033	-0.6432	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:37:13	5613.2809	4	0.0144	0.0019	5613.9358	8.9	0.2	-0.0286	-0.0092	0.0009	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:38:13	5613.2789	4	0.0176	0.0023	5613.9334	8.1	1.2	-0.0207	-0.0087	0.0008	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:39:13	5613.2806	4	0.0183	0.0024	5613.9346	9.0	0.5	-0.0293	-0.0082	0.0010	-0.0034	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:40:13	5613.2777	4	0.0172	0.0022	5613.9313	8.2	0.4	-0.0229	-0.0077	0.0008	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:41:13	5613.2799	4	0.0179	0.0023	5613.9331	8.5	0.5	-0.0299	-0.0072	0.0008	-0.0035	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:42:13	5613.2795	4	0.0230	0.0030	5613.9321	8.6	0.4	-0.0285	-0.0068	0.0008	-0.0034	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:43:13	5613.2791	4	0.0190	0.0024	5613.9309	9.8	0.6	-0.0256	-0.0063	0.0010	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:44:13	5613.2797	4	0.0182	0.0023	5613.9311	9.2	0.1	-0.0233	-0.0058	0.0010	-0.0034	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:45:13	5613.2802	4	0.0148	0.0019	5613.9309	9.8	-0.7	-0.0287	-0.0053	0.0011	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:46:13	5613.2791	4	0.0172	0.0022	5613.9293	9.5	-0.2	-0.0301	-0.0048	0.0011	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:47:13	5613.2804	4	0.0179	0.0023	5613.9297	10.6	-0.9	-0.0254	-0.0043	0.0015	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:48:13	5613.2792	4	0.0149	0.0019	5613.9287	9.9	-1.1	-0.0246	-0.0038	0.0010	-0.0034	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:49:13	5613.2809	4	0.0174	0.0022	5613.9297	10.2	0.2	-0.0327	-0.0033	0.0012	-0.0034	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:50:13	5613.2788	4	0.0180	0.0023	5613.9272	9.6	0.2	-0.0219	-0.0028	0.0010	-0.0032	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:51:13	5613.2812	4	0.0178	0.0023	5613.9287	10.6	1.0	-0.0306	-0.0023	0.0015	-0.0033	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
1	2023-05-04	05:52:13	5613.2802	4	0.0183	0.0024	5613.9275	9.4	-0.6	-0.0294	-0.0018	0.0011	-0.0032	-0.6433	60	0.000	55.800000	37.500000	195.70	--	--	--	11011
