/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.007000
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0	2023-05-03	05:01:41	5898.7069	4	0.0231	0.0030	5899.2471	3.6	-3.6	0.2429	-0.0286	0.0003	0.0320	-0.5440	60	0.000	55.800000	37.500000	187.90	55.780647	37.639584	200.1	11011
0	2023-05-03	05:02:41	5898.7068	4	0.0276	0.0036	5899.2469	3.1	-1.6	0.2477	-0.0282	0.0003	0.0318	-0.5440	60	0.000	55.800000	37.500000	187.90	55.780727	37.639542	199.3	11011
0	2023-05-03	05:03:41	5898.7076	4	0.0286	0.0037	5899.2475	2.0	-1.6	0.2499	-0.0277	0.0002	0.0317	-0.5440	60	0.000	55.800000	37.500000	187.90	55.780785	37.639294	194.6	11011
0	2023-05-03	05:04:41	5898.7077	4	0.0182	0.0023	5899.2474	2.4	-1.2	0.2441	-0.0273	0.0002	0.0315	-0.5440	60	0.000	55.800000	37.500000	187.90	55.780918	37.639267	197.5	11011
0	2023-05-03	05:05:41	5898.7053	4	0.0321	0.0041	5899.2445	2.7	-2.7	0.2402	-0.0269	0.0002	0.0315	-0.5440	60	0.000	55.800000	37.500000	187.90	55.780849	37.639351	196.4	11011
0	2023-05-03	05:06:41	5898.7092	4	0.0271	0.0035	5899.2480	1.0	-3.1	0.2472	-0.0264	0.0002	0.0314	-0.5440	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-05-03	05:07:41	5898.7060	4	0.0209	0.0027	5899.2447	0.8	-3.0	0.2370	-0.0260	0.0002	0.0312	-0.5440	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-05-03	05:08:41	5898.7070	4	0.0232	0.0030	5899.2453	1.1	-3.3	0.2412	-0.0256	0.0002	0.0311	-0.5440	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-05-03	05:09:41	5898.7071	4	0.0297	0.0038	5899.2449	2.4	-2.3	0.2356	-0.0252	0.0002	0.0312	-0.5440	60	0.000	55.800000	37.500000	187.90	55.781048	37.639179	199.9	11011
0	2023-05-03	05:10:41	5898.7069	4	0.0204	0.0026	5899.2446	1.4	-2.6	0.2419	-0.0247	0.0001	0.0310	-0.5440	60	0.000	55.800000	37.500000	187.90	55.781071	37.639046	204.3	11011
