/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.007000
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0	2023-04-20	05:18:30	5899.0340	4	0.0233	0.0030	5899.4971	-0.4	3.2	0.3024	-0.0493	0.0002	0.0392	-0.4530	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:19:30	5899.0339	4	0.0197	0.0025	5899.4964	-0.6	3.5	0.3049	-0.0488	0.0002	0.0393	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:20:30	5899.0352	4	0.0204	0.0026	5899.4973	-0.6	4.2	0.2984	-0.0483	0.0003	0.0390	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:21:30	5899.0327	4	0.0170	0.0022	5899.4945	-1.3	2.7	0.3025	-0.0478	0.0001	0.0389	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:22:30	5899.0339	4	0.0158	0.0020	5899.4955	-1.2	3.7	0.3027	-0.0473	0.0002	0.0386	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:23:30	5899.0336	4	0.0149	0.0019	5899.4947	-1.3	3.0	0.2981	-0.0468	0.0001	0.0387	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:24:30	5899.0340	4	0.0132	0.0017	5899.4948	-0.9	1.9	0.2976	-0.0463	0.0001	0.0384	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:25:30	5899.0328	4	0.0196	0.0025	5899.4933	-1.2	3.4	0.2938	-0.0457	0.0002	0.0381	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:26:30	5899.0326	4	0.0190	0.0024	5899.4926	-1.2	2.7	0.2971	-0.0452	0.0001	0.0382	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:27:30	5899.0344	4	0.0135	0.0017	5899.4939	-1.7	3.4	0.2932	-0.0447	0.0002	0.0381	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:28:30	5899.0333	4	0.0150	0.0019	5899.4922	-1.9	1.4	0.2891	-0.0442	0.0001	0.0383	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:29:30	5899.0330	4	0.0186	0.0024	5899.4916	-1.3	1.7	0.2967	-0.0437	0.0001	0.0381	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:30:30	5899.0346	4	0.0247	0.0032	5899.4927	-1.9	1.3	0.2973	-0.0431	0.0001	0.0380	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:31:30	5899.0336	4	0.0185	0.0024	5899.4914	-1.7	1.5	0.2985	-0.0426	0.0001	0.0379	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:32:30	5899.0319	4	0.0159	0.0021	5899.4890	-0.6	2.2	0.2953	-0.0421	0.0001	0.0380	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:33:30	5899.0323	4	0.0153	0.0020	5899.4892	-0.7	1.8	0.2837	-0.0416	0.0001	0.0378	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:34:30	5899.0328	4	0.0144	0.0019	5899.4891	-0.8	2.4	0.2940	-0.0410	0.0001	0.0377	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:35:30	5899.0334	4	0.0171	0.0022	5899.4891	-0.5	3.6	0.2892	-0.0405	0.0002	0.0377	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:36:30	5899.0307	4	0.0153	0.0020	5899.4860	-0.4	2.4	0.2922	-0.0400	0.0001	0.0377	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:37:30	5899.0324	4	0.0144	0.0019	5899.4872	0.1	2.5	0.2901	-0.0394	0.0001	0.0377	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:38:30	5899.0351	4	0.0165	0.0021	5899.4894	1.0	2.3	0.2894	-0.0389	0.0001	0.0376	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:39:30	5899.0337	4	0.0176	0.0023	5899.4876	0.5	2.4	0.2913	-0.0384	0.0001	0.0375	-0.4531	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:40:30	5899.0327	4	0.0162	0.0021	5899.4862	0.5	1.0	0.2916	-0.0378	0.0000	0.0373	-0.4532	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:41:30	5899.0338	4	0.0169	0.0022	5899.4868	1.8	1.5	0.2953	-0.0373	0.0001	0.0374	-0.4532	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-20	05:42:30	5899.0333	4	0.0156	0.0020	5899.4857	1.4	2.4	0.2911	-0.0367	0.0002	0.0373	-0.4532	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
