/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090468
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	8009.604000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030806
/		Y Scale [arc-sec/ADU]:	0.030639
/		X Offset [ADU]:	-161936.653023
/		Y Offset [ADU]:	-219406.324612
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.006250
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-05-03	05:01:41	5742.2124	4	0.0227	0.0029	5742.3776	-0.5	-0.4	2.8452	-0.0283	0.0001	0.3550	-0.4919	60	0.000	55.780838	37.639160	185.10	55.780952	37.639294	210.6	11011
1	2023-05-03	05:02:41	5742.2120	4	0.0276	0.0036	5742.3767	-0.5	0.3	2.8463	-0.0279	0.0000	0.3550	-0.4919	60	0.000	55.780838	37.639160	185.10	55.780762	37.639256	212.1	11011
1	2023-05-03	05:03:41	5742.2109	4	0.0300	0.0039	5742.3755	0.7	1.0	2.8336	-0.0274	0.0000	0.3547	-0.4919	60	0.000	55.780838	37.639160	185.10	55.780762	37.639217	210.9	11011
1	2023-05-03	05:04:41	5742.2135	4	0.0183	0.0024	5742.3777	1.3	0.5	2.8365	-0.0270	0.0001	0.3547	-0.4919	60	0.000	55.780838	37.639160	185.10	55.780972	37.639114	208.5	11011
1	2023-05-03	05:05:41	5742.2121	4	0.0313	0.0040	5742.3760	1.4	0.6	2.8363	-0.0266	0.0001	0.3546	-0.4919	60	0.000	55.780838	37.639160	185.10	55.781429	37.639000	205.9	11011
1	2023-05-03	05:06:41	5742.2134	4	0.0280	0.0036	5742.3770	0.0	0.1	2.8309	-0.0262	0.0000	0.3545	-0.4920	60	0.000	55.780838	37.639160	185.10	55.780754	37.639202	210.7	11011
1	2023-05-03	05:07:41	5742.2114	4	0.0203	0.0026	5742.3746	0.0	0.1	2.8380	-0.0257	0.0000	0.3544	-0.4920	60	0.000	55.780838	37.639160	185.10	55.780640	37.639267	221.1	11011
1	2023-05-03	05:08:41	5742.2108	4	0.0233	0.0030	5742.3737	-0.6	0.2	2.8315	-0.0253	0.0000	0.3543	-0.4920	60	0.000	55.780838	37.639160	185.10	55.781071	37.639038	222.9	11011
1	2023-05-03	05:09:41	5742.2112	4	0.0296	0.0038	5742.3737	-0.1	0.5	2.8318	-0.0249	0.0000	0.3542	-0.4920	60	0.000	55.780838	37.639160	185.10	55.780907	37.639183	216.1	11011
1	2023-05-03	05:10:41	5742.2135	4	0.0202	0.0026	5742.3757	0.9	1.6	2.8271	-0.0244	0.0001	0.3542	-0.4920	60	0.000	55.780838	37.639160	185.10	55.780849	37.639278	212.5	11011
