/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090469
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	EPR
/		Gcal1 [mGal]:	8231.937000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031069
/		Y Scale [arc-sec/ADU]:	0.030920
/		X Offset [ADU]:	-230679.188987
/		Y Offset [ADU]:	-200835.621911
/		Temperature Coefficient [mGal/mK]:	-0.122000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
2	2023-05-03	05:01:41	5868.1691	4	0.0252	0.0033	5869.0610	-1.2	-1.0	0.3450	-0.0286	0.0001	0.0418	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780991	37.639236	206.0	11011
2	2023-05-03	05:02:41	5868.1689	4	0.0288	0.0037	5869.0606	-0.5	-0.4	0.3388	-0.0282	0.0001	0.0416	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780895	37.639267	197.4	11011
2	2023-05-03	05:03:41	5868.1683	4	0.0288	0.0037	5869.0596	-0.5	-1.3	0.3356	-0.0277	0.0001	0.0416	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780792	37.639259	199.9	11011
2	2023-05-03	05:04:41	5868.1690	4	0.0179	0.0023	5869.0598	-0.2	-0.8	0.3418	-0.0273	0.0001	0.0416	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780746	37.639427	196.0	11011
2	2023-05-03	05:05:41	5868.1685	4	0.0322	0.0042	5869.0591	-0.4	-0.1	0.3378	-0.0269	0.0001	0.0414	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780849	37.639336	197.3	11011
2	2023-05-03	05:06:41	5868.1689	4	0.0281	0.0036	5869.0591	-1.2	-0.1	0.3413	-0.0264	0.0001	0.0414	-0.9052	60	0.000	55.800000	37.500000	192.10	55.781013	37.639160	201.6	11011
2	2023-05-03	05:07:41	5868.1680	4	0.0217	0.0028	5869.0579	-0.9	-0.3	0.3388	-0.0260	0.0001	0.0413	-0.9052	60	0.000	55.800000	37.500000	192.10	55.781109	37.639145	199.4	11011
2	2023-05-03	05:08:41	5868.1688	4	0.0230	0.0030	5869.0582	0.5	-0.4	0.3392	-0.0256	0.0000	0.0413	-0.9052	60	0.000	55.800000	37.500000	192.10	55.781109	37.639145	199.4	11011
2	2023-05-03	05:09:41	5868.1694	4	0.0304	0.0039	5869.0585	2.5	-0.6	0.3386	-0.0252	0.0001	0.0412	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780933	37.639236	201.9	11011
2	2023-05-03	05:10:41	5868.1689	4	0.0203	0.0026	5869.0578	1.0	-1.7	0.3320	-0.0247	0.0001	0.0411	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780861	37.639229	204.4	11011
2	2023-05-03	05:11:41	5868.1666	4	0.0311	0.0040	5869.0550	0.9	-0.7	0.3383	-0.0243	0.0000	0.0410	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780907	37.639202	210.4	11011
2	2023-05-03	05:12:41	5868.1685	4	0.0272	0.0035	5869.0565	2.0	-1.1	0.3391	-0.0239	0.0001	0.0410	-0.9052	60	0.000	55.800000	37.500000	192.10	55.780556	37.639389	209.8	11011
2	2023-05-03	05:13:41	5868.1689	4	0.0200	0.0026	5869.0566	1.3	-1.1	0.3347	-0.0234	0.0001	0.0409	-0.9053	60	0.000	55.800000	37.500000	192.10	55.780933	37.639172	211.1	11011
2	2023-05-03	05:14:41	5868.1684	4	0.0312	0.0040	5869.0556	1.4	-3.1	0.3394	-0.0230	0.0003	0.0407	-0.9053	60	0.000	55.800000	37.500000	192.10	--	--	--	11011
2	2023-05-03	05:15:41	5868.1669	4	0.0250	0.0032	5869.0539	1.5	-0.9	0.3348	-0.0226	0.0001	0.0408	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781414	37.639324	194.9	11011
2	2023-05-03	05:16:41	5868.1669	4	0.0273	0.0035	5869.0534	1.8	0.2	0.3346	-0.0222	0.0002	0.0408	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781143	37.639122	188.3	11011
2	2023-05-03	05:17:41	5868.1677	4	0.0197	0.0025	5869.0538	1.4	-0.5	0.3394	-0.0217	0.0001	0.0409	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781155	37.639210	193.1	11011
2	2023-05-03	05:18:41	5868.1669	4	0.0245	0.0032	5869.0525	2.5	0.9	0.3280	-0.0213	0.0001	0.0408	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781269	37.639076	197.3	11011
2	2023-05-03	05:19:41	5868.1670	4	0.0222	0.0029	5869.0524	2.3	-0.2	0.3336	-0.0209	0.0001	0.0407	-0.9053	60	0.000	55.800000	37.500000	192.10	55.780964	37.639317	191.0	11011
2	2023-05-03	05:20:41	5868.1674	4	0.0322	0.0042	5869.0524	0.6	1.1	0.3358	-0.0205	0.0001	0.0407	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781105	37.639114	194.7	11011
2	2023-05-03	05:21:41	5868.1677	4	0.0195	0.0025	5869.0522	0.9	-0.5	0.3368	-0.0200	0.0001	0.0408	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781200	37.639221	198.5	11011
2	2023-05-03	05:22:41	5868.1696	4	0.0296	0.0038	5869.0535	1.6	-1.1	0.3308	-0.0196	0.0001	0.0408	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781193	37.639122	202.7	11011
2	2023-05-03	05:23:41	5868.1679	4	0.0242	0.0031	5869.0517	1.4	-0.3	0.3326	-0.0192	0.0001	0.0407	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781231	37.639221	202.1	11011
2	2023-05-03	05:24:41	5868.1658	4	0.0208	0.0027	5869.0493	1.0	2.3	0.3318	-0.0188	0.0001	0.0406	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781174	37.639317	201.5	11011
2	2023-05-03	05:25:41	5868.1662	4	0.0226	0.0029	5869.0492	0.7	2.0	0.3308	-0.0184	0.0002	0.0405	-0.9053	60	0.000	55.800000	37.500000	192.10	55.781105	37.639362	203.7	11011
2	2023-05-03	05:26:41	5868.1673	4	0.0279	0.0036	5869.0500	1.4	0.7	0.3313	-0.0179	0.0001	0.0405	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781219	37.639221	201.2	11011
2	2023-05-03	05:27:41	5868.1676	4	0.0237	0.0031	5869.0497	2.2	1.7	0.3296	-0.0175	0.0001	0.0407	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781162	37.639027	203.1	11011
2	2023-05-03	05:28:41	5868.1672	4	0.0257	0.0033	5869.0490	2.3	0.8	0.3237	-0.0171	0.0001	0.0406	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781258	37.638668	209.1	11011
2	2023-05-03	05:29:41	5868.1671	4	0.0258	0.0033	5869.0486	1.8	0.7	0.3370	-0.0167	0.0001	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781185	37.638935	210.4	11011
2	2023-05-03	05:30:41	5868.1666	4	0.0308	0.0040	5869.0476	2.1	-2.7	0.3376	-0.0163	0.0002	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781124	37.638802	209.6	11011
2	2023-05-03	05:31:41	5868.1668	4	0.0238	0.0031	5869.0476	2.0	0.1	0.3340	-0.0159	0.0001	0.0403	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781223	37.639229	215.0	11011
2	2023-05-03	05:32:41	5868.1683	4	0.0215	0.0028	5869.0486	2.2	0.6	0.3279	-0.0154	0.0001	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781231	37.639019	222.0	11011
2	2023-05-03	05:33:41	5868.1660	4	0.0204	0.0026	5869.0460	2.1	1.4	0.3300	-0.0150	0.0001	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.780964	37.638817	224.9	11011
2	2023-05-03	05:34:41	5868.1670	4	0.0324	0.0042	5869.0466	0.4	1.3	0.3319	-0.0146	0.0001	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781300	37.639046	231.8	11011
2	2023-05-03	05:35:41	5868.1653	4	0.0263	0.0034	5869.0444	0.6	2.3	0.3369	-0.0142	0.0001	0.0404	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781300	37.639046	231.8	11011
2	2023-05-03	05:36:41	5868.1653	4	0.0238	0.0031	5869.0442	0.9	0.3	0.3299	-0.0138	0.0001	0.0403	-0.9054	60	0.000	55.800000	37.500000	192.10	55.781364	37.639065	231.7	11011
2	2023-05-03	05:37:41	5868.1661	4	0.0201	0.0026	5869.0444	1.1	-0.8	0.3281	-0.0134	0.0001	0.0405	-0.9054	60	0.000	55.800000	37.500000	192.10	55.780991	37.639267	233.1	11011
