/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090470
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	EACH
/		Gcal1 [mGal]:	7941.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031193
/		Y Scale [arc-sec/ADU]:	0.030978
/		X Offset [ADU]:	-38727.250535
/		Y Offset [ADU]:	-43473.881294
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2022-09-14 11:11:53
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-05-03	05:01:41	5589.1001	4	0.0213	0.0027	5591.6465	2.4	-0.5	1.0845	-0.0286	0.0001	0.1356	-2.6535	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:02:41	5589.1007	4	0.0268	0.0035	5591.6467	3.0	-0.9	1.0823	-0.0282	0.0003	0.1354	-2.6535	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:03:41	5589.1011	4	0.0275	0.0035	5591.6470	3.5	0.1	1.0764	-0.0277	0.0003	0.1352	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:04:41	5589.1014	4	0.0167	0.0021	5591.6469	4.2	0.7	1.0831	-0.0273	0.0003	0.1351	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:05:41	5589.0998	4	0.0301	0.0039	5591.6447	3.6	0.5	1.0804	-0.0269	0.0003	0.1352	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:06:41	5589.1010	4	0.0268	0.0035	5591.6459	1.5	0.2	1.0716	-0.0264	0.0001	0.1350	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:07:41	5589.1007	4	0.0200	0.0026	5591.6454	0.5	-1.3	1.0753	-0.0260	0.0001	0.1348	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:08:41	5589.1016	4	0.0202	0.0026	5591.6459	1.5	0.2	1.0779	-0.0256	0.0001	0.1348	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:09:41	5589.1002	4	0.0283	0.0037	5591.6440	3.7	-0.8	1.0746	-0.0252	0.0002	0.1347	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:10:41	5589.1013	4	0.0190	0.0025	5591.6448	2.1	0.8	1.0815	-0.0247	0.0001	0.1347	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:11:41	5589.1023	4	0.0293	0.0038	5591.6456	1.1	-1.3	1.0756	-0.0243	0.0001	0.1345	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:12:41	5589.1015	4	0.0258	0.0033	5591.6442	3.9	0.4	1.0758	-0.0239	0.0003	0.1344	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:13:41	5589.1004	4	0.0187	0.0024	5591.6429	1.5	1.2	1.0839	-0.0234	0.0002	0.1344	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:14:41	5589.1013	4	0.0288	0.0037	5591.6434	2.3	0.4	1.0715	-0.0230	0.0002	0.1344	-2.6536	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:15:41	5589.1018	4	0.0229	0.0030	5591.6436	2.1	-0.6	1.0748	-0.0226	0.0001	0.1344	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:16:41	5589.1002	4	0.0256	0.0033	5591.6416	0.8	0.2	1.0758	-0.0222	0.0001	0.1343	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:17:41	5589.1007	4	0.0181	0.0023	5591.6414	2.2	3.0	1.0753	-0.0217	0.0003	0.1344	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:18:41	5589.1014	4	0.0231	0.0030	5591.6416	2.0	4.7	1.0703	-0.0213	0.0004	0.1344	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:19:41	5589.1004	4	0.0197	0.0025	5591.6403	3.1	4.6	1.0714	-0.0209	0.0004	0.1343	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:20:41	5589.1022	4	0.0302	0.0039	5591.6418	4.0	4.0	1.0687	-0.0205	0.0003	0.1343	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-05-03	05:21:41	5589.1022	4	0.0173	0.0022	5591.6416	2.5	2.4	1.0660	-0.0200	0.0002	0.1342	-2.6537	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
