/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090470
/		Created:	2023-04-20 05:18:30
/
/		CG-6 Calibration
/		Operator:	EACH
/		Gcal1 [mGal]:	7941.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031193
/		Y Scale [arc-sec/ADU]:	0.030978
/		X Offset [ADU]:	-38727.250535
/		Y Offset [ADU]:	-43473.881294
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2022-09-14 11:11:53
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-20	05:18:30	5589.7150	4	0.0231	0.0030	5592.1291	-1.4	-2.0	1.1091	-0.0493	0.0001	0.1392	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:19:30	5589.7167	4	0.0186	0.0024	5592.1303	-0.6	-0.2	1.1146	-0.0488	0.0000	0.1394	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:20:30	5589.7161	4	0.0196	0.0025	5592.1295	-0.2	-0.0	1.1167	-0.0483	0.0001	0.1391	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:21:30	5589.7149	4	0.0150	0.0019	5592.1281	-1.2	-0.2	1.1100	-0.0478	0.0001	0.1388	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:22:30	5589.7140	4	0.0140	0.0018	5592.1269	-0.1	-1.2	1.1124	-0.0473	0.0001	0.1386	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:23:30	5589.7157	4	0.0138	0.0018	5592.1279	0.2	-0.8	1.1113	-0.0468	0.0001	0.1388	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:24:30	5589.7151	4	0.0114	0.0015	5592.1270	-1.8	0.7	1.1010	-0.0463	0.0002	0.1384	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:25:30	5589.7167	4	0.0188	0.0024	5592.1280	-1.2	-0.3	1.1094	-0.0457	0.0001	0.1386	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:26:30	5589.7156	4	0.0173	0.0022	5592.1265	-2.0	-1.3	1.1115	-0.0452	0.0001	0.1384	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:27:30	5589.7152	4	0.0133	0.0017	5592.1259	-0.7	1.5	1.1021	-0.0447	0.0001	0.1381	-2.5042	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:28:30	5589.7150	4	0.0136	0.0018	5592.1251	-1.3	0.3	1.1048	-0.0442	0.0001	0.1382	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:29:30	5589.7166	4	0.0175	0.0023	5592.1263	-0.9	0.0	1.1055	-0.0437	0.0001	0.1381	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:30:30	5589.7143	4	0.0227	0.0029	5592.1236	-0.1	-1.2	1.0998	-0.0431	0.0001	0.1380	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:31:30	5589.7133	4	0.0172	0.0022	5592.1221	0.3	0.3	1.1003	-0.0426	0.0001	0.1379	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:32:30	5589.7155	4	0.0145	0.0019	5592.1240	0.1	0.8	1.0977	-0.0421	0.0001	0.1378	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:33:30	5589.7159	4	0.0140	0.0018	5592.1239	-0.2	-0.9	1.1045	-0.0416	0.0001	0.1377	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:34:30	5589.7144	4	0.0127	0.0016	5592.1220	-2.0	-0.4	1.1035	-0.0410	0.0001	0.1377	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:35:30	5589.7153	4	0.0165	0.0021	5592.1223	-2.0	-1.5	1.1022	-0.0405	0.0002	0.1376	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:36:30	5589.7152	4	0.0143	0.0018	5592.1220	-1.0	-0.6	1.1079	-0.0400	0.0001	0.1374	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:37:30	5589.7136	4	0.0133	0.0017	5592.1197	-2.0	1.2	1.1001	-0.0394	0.0002	0.1374	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:38:30	5589.7154	4	0.0155	0.0020	5592.1212	-0.4	-0.3	1.1035	-0.0389	0.0001	0.1374	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:39:30	5589.7157	4	0.0160	0.0021	5592.1209	-1.1	-0.6	1.1022	-0.0384	0.0001	0.1373	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:40:30	5589.7148	4	0.0146	0.0019	5592.1197	-0.3	1.7	1.0954	-0.0378	0.0001	0.1372	-2.5043	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:41:30	5589.7164	4	0.0144	0.0019	5592.1209	0.7	0.7	1.0974	-0.0373	0.0001	0.1372	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:42:30	5589.7154	4	0.0149	0.0019	5592.1193	0.9	-0.6	1.0966	-0.0367	0.0001	0.1371	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:43:30	5589.7157	4	0.0140	0.0018	5592.1190	1.0	-0.4	1.0941	-0.0362	0.0001	0.1371	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:44:30	5589.7141	4	0.0161	0.0021	5592.1168	0.1	-1.2	1.1020	-0.0357	0.0001	0.1372	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:45:30	5589.7152	4	0.0134	0.0017	5592.1177	-0.6	-1.4	1.0949	-0.0351	0.0001	0.1370	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:46:30	5589.7164	4	0.0122	0.0016	5592.1183	-0.7	-1.7	1.1024	-0.0346	0.0001	0.1370	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:47:30	5589.7149	4	0.0193	0.0025	5592.1162	0.0	-1.1	1.0940	-0.0340	0.0001	0.1371	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:48:30	5589.7152	4	0.0139	0.0018	5592.1160	-0.2	-1.0	1.1013	-0.0335	0.0001	0.1370	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:49:30	5589.7154	4	0.0160	0.0021	5592.1157	1.9	0.9	1.0931	-0.0329	0.0001	0.1369	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:50:30	5589.7168	4	0.0172	0.0022	5592.1165	0.2	1.0	1.0900	-0.0324	0.0001	0.1370	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:51:30	5589.7161	4	0.0154	0.0020	5592.1155	-0.1	0.9	1.0937	-0.0318	0.0001	0.1368	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:52:30	5589.7166	4	0.0149	0.0019	5592.1155	0.7	0.8	1.0923	-0.0313	0.0001	0.1368	-2.5044	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:53:30	5589.7153	4	0.0144	0.0019	5592.1138	0.8	0.9	1.0929	-0.0307	0.0001	0.1366	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:54:30	5589.7159	4	0.0165	0.0021	5592.1137	2.4	0.2	1.0898	-0.0302	0.0001	0.1367	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:55:30	5589.7151	4	0.0150	0.0019	5592.1125	2.7	0.6	1.0868	-0.0296	0.0002	0.1365	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:56:30	5589.7155	4	0.0173	0.0022	5592.1116	6.0	-0.0	1.0948	-0.0291	0.0008	0.1367	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:57:30	5589.7150	4	0.0145	0.0019	5592.1112	4.0	0.4	1.0941	-0.0285	0.0003	0.1366	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:58:30	5589.7151	4	0.0144	0.0019	5592.1108	4.6	0.5	1.0901	-0.0280	0.0003	0.1365	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	05:59:30	5589.7157	4	0.0154	0.0020	5592.1107	4.2	1.7	1.0978	-0.0274	0.0003	0.1365	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
3	2023-04-20	06:00:30	5589.7150	4	0.0162	0.0021	5592.1094	3.8	1.6	1.0932	-0.0269	0.0003	0.1367	-2.5045	60	0.000	55.800000	37.500000	179.70	--	--	--	11011
