/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB-MEN3
/		Instrument Serial Number:	000000022090471
/		Created:	2023-04-20 05:18:29
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	8025.847000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030956
/		Y Scale [arc-sec/ADU]:	0.030508
/		X Offset [ADU]:	-220356.544981
/		Y Offset [ADU]:	-134316.557988
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.019270
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
4	2023-05-03	05:01:40	5618.9994	4	0.0216	0.0028	5620.4874	-0.5	1.3	0.4355	-0.0286	0.0001	0.0572	-1.5167	60	0.000	55.800000	37.500000	181.80	55.780819	37.639297	199.6	11011
4	2023-05-03	05:02:40	5618.9993	4	0.0262	0.0034	5620.4871	-1.1	1.3	0.4422	-0.0282	0.0001	0.0569	-1.5167	60	0.000	55.800000	37.500000	181.80	55.780907	37.639236	201.8	11011
4	2023-05-03	05:03:40	5618.9992	4	0.0283	0.0037	5620.4864	-1.1	0.4	0.4376	-0.0277	0.0000	0.0572	-1.5168	60	0.000	55.800000	37.500000	181.80	55.781078	37.639160	207.3	11011
4	2023-05-03	05:04:40	5618.9991	4	0.0171	0.0022	5620.4861	0.1	0.1	0.4451	-0.0273	0.0000	0.0570	-1.5168	60	0.000	55.800000	37.500000	181.80	55.781567	37.639057	213.8	11011
4	2023-05-03	05:05:40	5618.9990	4	0.0306	0.0039	5620.4856	-0.0	0.2	0.4407	-0.0269	0.0000	0.0570	-1.5168	60	0.000	55.800000	37.500000	181.80	55.780907	37.639019	214.7	11011
4	2023-05-03	05:06:40	5618.9980	4	0.0261	0.0034	5620.4844	-1.4	-0.5	0.4335	-0.0264	0.0001	0.0568	-1.5168	60	0.000	55.800000	37.500000	181.80	55.780441	37.639236	221.6	11011
4	2023-05-03	05:07:40	5618.9991	4	0.0213	0.0027	5620.4851	-0.9	-0.7	0.4333	-0.0260	0.0000	0.0568	-1.5168	60	0.000	55.800000	37.500000	181.80	55.780819	37.639160	217.6	11011
4	2023-05-03	05:08:40	5618.9981	4	0.0213	0.0028	5620.4837	0.3	-0.9	0.4409	-0.0256	0.0001	0.0568	-1.5168	60	0.000	55.800000	37.500000	181.80	55.781162	37.639114	218.2	11011
4	2023-05-03	05:09:40	5618.9989	4	0.0286	0.0037	5620.4841	-0.6	-1.5	0.4322	-0.0252	0.0000	0.0568	-1.5168	60	0.000	55.800000	37.500000	181.80	55.780956	37.639217	216.4	11011
4	2023-05-03	05:10:40	5618.9990	4	0.0200	0.0026	5620.4836	-0.7	-0.1	0.4347	-0.0247	0.0000	0.0568	-1.5168	60	0.000	55.800000	37.500000	181.80	55.780704	37.639278	215.5	11011
