/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000021080368
/		Created:	2023-04-24 05:52:05
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7960.246000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030843
/		Y Scale [arc-sec/ADU]:	0.031310
/		X Offset [ADU]:	-197296.861841
/		Y Offset [ADU]:	-93397.213352
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.014150
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
3	2023-04-24	05:52:05	5456.6871	2	0.0254	0.0033	5455.6898	-0.4	1.1	0.5020	-0.0556	0.0000	0.0659	0.9869	60	0.000	55.800000	37.600000	183.80	55.781048	37.639172	212.3	11011
3	2023-04-24	05:53:05	5456.6860	2	0.0221	0.0029	5455.6884	-0.0	1.1	0.5083	-0.0552	0.0000	0.0658	0.9869	60	0.000	55.800000	37.600000	183.80	55.781052	37.639046	212.6	11011
3	2023-04-24	05:54:05	5456.6875	2	0.0152	0.0020	5455.6899	-0.6	1.2	0.5089	-0.0549	0.0001	0.0656	0.9869	60	0.000	55.800000	37.600000	183.80	55.781109	37.638981	212.6	11011
3	2023-04-24	05:55:05	5456.6887	2	0.0208	0.0027	5455.6906	-1.7	1.1	0.5168	-0.0545	0.0001	0.0656	0.9869	60	0.000	55.800000	37.600000	183.80	55.781250	37.639076	212.8	11011
3	2023-04-24	05:56:05	5456.6878	2	0.0239	0.0031	5455.6895	-0.1	0.5	0.5050	-0.0542	0.0000	0.0655	0.9869	60	0.000	55.800000	37.600000	183.80	55.781372	37.638992	230.3	11011
3	2023-04-24	05:57:05	5456.6881	2	0.0204	0.0026	5455.6893	-0.4	-0.2	0.5059	-0.0538	0.0001	0.0657	0.9869	60	0.000	55.800000	37.600000	183.80	55.781277	37.638954	263.6	11011
3	2023-04-24	05:58:05	5456.6879	2	0.0225	0.0029	5455.6890	1.9	0.8	0.5059	-0.0535	0.0001	0.0653	0.9869	60	0.000	55.800000	37.600000	183.80	55.781738	37.638885	272.6	11011
3	2023-04-24	05:59:05	5456.6879	2	0.0148	0.0019	5455.6888	0.1	-0.1	0.5061	-0.0531	0.0000	0.0653	0.9869	60	0.000	55.800000	37.600000	183.80	55.781830	37.639107	273.7	11011
3	2023-04-24	06:00:05	5456.6880	2	0.0208	0.0027	5455.6885	0.0	0.5	0.5078	-0.0528	0.0000	0.0652	0.9870	60	0.000	55.800000	37.600000	183.80	55.781593	37.638580	269.3	11011
3	2023-04-24	06:01:05	5456.6880	2	0.0214	0.0028	5455.6882	-0.3	-0.0	0.5035	-0.0524	0.0000	0.0652	0.9870	60	0.000	55.800000	37.600000	183.80	55.781364	37.638741	272.5	11011
3	2023-04-24	06:02:05	5456.6883	2	0.0178	0.0023	5455.6880	-1.0	-0.1	0.5066	-0.0520	0.0000	0.0653	0.9870	60	0.000	55.800000	37.600000	183.80	55.781620	37.638580	278.8	11011
3	2023-04-24	06:03:05	5456.6873	2	0.0195	0.0025	5455.6868	0.3	0.1	0.5126	-0.0517	0.0000	0.0651	0.9870	60	0.000	55.800000	37.600000	183.80	55.781918	37.638874	286.9	11011
3	2023-04-24	06:04:05	5456.6869	2	0.0201	0.0026	5455.6861	0.8	0.7	0.5023	-0.0513	0.0000	0.0651	0.9870	60	0.000	55.800000	37.600000	183.80	55.781967	37.638645	280.5	11011
3	2023-04-24	06:05:05	5456.6878	2	0.0195	0.0025	5455.6865	0.5	2.7	0.4994	-0.0510	0.0001	0.0652	0.9870	60	0.000	55.800000	37.600000	183.80	55.781765	37.639046	279.6	11011
3	2023-04-24	06:06:05	5456.6880	2	0.0216	0.0028	5455.6863	-1.0	1.3	0.4970	-0.0506	0.0001	0.0652	0.9870	60	0.000	55.800000	37.600000	183.80	55.781658	37.638950	284.5	11011
3	2023-04-24	06:07:05	5456.6881	2	0.0158	0.0020	5455.6860	-0.8	2.0	0.5120	-0.0502	0.0001	0.0651	0.9870	60	0.000	55.800000	37.600000	183.80	55.781776	37.638973	297.6	11011
3	2023-04-24	06:08:05	5456.6881	2	0.0197	0.0025	5455.6859	-0.3	3.0	0.5089	-0.0499	0.0001	0.0649	0.9870	60	0.000	55.800000	37.600000	183.80	55.781696	37.638741	325.3	11011
