/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.007000
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0	2023-05-02	06:03:00	5898.7273	2	0.0295	0.0038	5899.2466	-2.8	0.9	0.2379	-0.0136	0.0002	0.0314	-0.5373	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-05-02	06:04:00	5898.7286	2	0.0225	0.0029	5899.2477	-2.2	-0.1	0.2472	-0.0133	0.0001	0.0314	-0.5373	60	0.000	55.800000	37.500000	187.90	55.781013	37.639248	208.9	11011
0	2023-05-02	06:05:00	5898.7294	2	0.0268	0.0035	5899.2483	-2.4	-0.1	0.2433	-0.0131	0.0001	0.0312	-0.5373	60	0.000	55.800000	37.500000	187.90	55.781048	37.639183	208.2	11011
0	2023-05-02	06:06:00	5898.7298	2	0.0329	0.0043	5899.2486	-2.2	-0.6	0.2432	-0.0128	0.0001	0.0311	-0.5373	60	0.000	55.800000	37.500000	187.90	55.781071	37.639294	205.5	11011
0	2023-05-02	06:07:00	5898.7282	2	0.0287	0.0037	5899.2469	-2.5	-0.3	0.2403	-0.0125	0.0001	0.0310	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780952	37.639381	205.6	11011
0	2023-05-02	06:08:00	5898.7290	2	0.0264	0.0034	5899.2472	-4.2	-0.4	0.2419	-0.0122	0.0003	0.0310	-0.5373	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-05-02	06:09:00	5898.7284	2	0.0216	0.0028	5899.2469	-3.2	-0.2	0.2419	-0.0119	0.0001	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.781136	37.639202	206.4	11011
0	2023-05-02	06:10:00	5898.7288	2	0.0246	0.0032	5899.2468	-3.6	-1.4	0.2370	-0.0117	0.0002	0.0308	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780697	37.639145	218.3	11011
0	2023-05-02	06:11:00	5898.7288	2	0.0252	0.0033	5899.2465	-4.1	-2.6	0.2387	-0.0114	0.0004	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780785	37.639374	216.8	11011
0	2023-05-02	06:12:00	5898.7285	2	0.0267	0.0035	5899.2460	-1.9	-3.3	0.2395	-0.0111	0.0002	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.781013	37.638668	218.5	11011
0	2023-05-02	06:13:00	5898.7285	2	0.0182	0.0024	5899.2456	-1.7	-3.6	0.2381	-0.0109	0.0003	0.0308	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780792	37.638828	219.1	11011
0	2023-05-02	06:14:00	5898.7289	2	0.0239	0.0031	5899.2461	-2.8	-3.4	0.2376	-0.0106	0.0002	0.0306	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780556	37.639011	222.1	11011
0	2023-05-02	06:15:00	5898.7287	2	0.0294	0.0038	5899.2452	-2.9	-4.9	0.2380	-0.0103	0.0004	0.0308	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780346	37.639019	221.7	11011
0	2023-05-02	06:16:00	5898.7283	2	0.0219	0.0028	5899.2447	-2.4	-5.3	0.2377	-0.0101	0.0004	0.0306	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780632	37.639000	223.3	11011
0	2023-05-02	06:17:00	5898.7286	2	0.0260	0.0034	5899.2447	-1.9	-5.4	0.2362	-0.0098	0.0004	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780621	37.639114	231.2	11011
0	2023-05-02	06:18:00	5898.7276	2	0.0244	0.0031	5899.2433	-3.0	-5.4	0.2389	-0.0096	0.0004	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780766	37.639019	235.3	11011
0	2023-05-02	06:19:00	5898.7275	2	0.0276	0.0036	5899.2426	-3.7	-5.7	0.2417	-0.0093	0.0007	0.0309	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780468	37.639103	238.5	11011
0	2023-05-02	06:20:00	5898.7273	2	0.0264	0.0034	5899.2424	-2.4	-6.1	0.2389	-0.0090	0.0006	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780838	37.639160	237.0	11011
0	2023-05-02	06:21:00	5898.7274	2	0.0211	0.0027	5899.2423	-2.3	-5.7	0.2371	-0.0088	0.0005	0.0307	-0.5373	60	0.000	55.800000	37.500000	187.90	55.780952	37.639065	236.3	11011
0	2023-05-02	06:22:00	5898.7278	2	0.0212	0.0027	5899.2422	-3.0	-7.1	0.2388	-0.0085	0.0008	0.0308	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780544	37.639069	235.0	11011
0	2023-05-02	06:23:00	5898.7273	2	0.0183	0.0024	5899.2416	-1.8	-7.8	0.2357	-0.0083	0.0006	0.0308	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780762	37.639145	235.3	11011
0	2023-05-02	06:24:00	5898.7292	2	0.0229	0.0030	5899.2427	-1.9	-8.8	0.2420	-0.0080	0.0010	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781029	37.639145	237.9	11011
0	2023-05-02	06:25:00	5898.7263	2	0.0266	0.0034	5899.2398	-1.5	-7.2	0.2408	-0.0078	0.0006	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781010	37.639210	234.6	11011
0	2023-05-02	06:26:00	5898.7281	2	0.0268	0.0035	5899.2412	-1.9	-8.3	0.2386	-0.0076	0.0008	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780972	37.639103	235.3	11011
0	2023-05-02	06:27:00	5898.7270	2	0.0204	0.0026	5899.2398	-2.2	-8.3	0.2465	-0.0073	0.0008	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780804	37.639141	233.9	11011
0	2023-05-02	06:28:00	5898.7282	2	0.0266	0.0034	5899.2408	-0.5	-8.6	0.2437	-0.0071	0.0009	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780792	37.639267	233.7	11011
0	2023-05-02	06:29:00	5898.7269	2	0.0238	0.0031	5899.2391	-2.0	-8.4	0.2447	-0.0068	0.0009	0.0311	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781269	37.639145	233.6	11011
0	2023-05-02	06:30:00	5898.7280	2	0.0299	0.0039	5899.2400	-1.2	-8.7	0.2371	-0.0066	0.0010	0.0310	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781143	37.639095	234.0	11011
0	2023-05-02	06:31:00	5898.7266	2	0.0256	0.0033	5899.2383	0.2	-9.2	0.2460	-0.0064	0.0008	0.0312	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780964	37.639248	233.0	11011
0	2023-05-02	06:32:00	5898.7283	2	0.0273	0.0035	5899.2392	-0.9	-10.9	0.2463	-0.0062	0.0013	0.0313	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781029	37.639202	232.3	11011
0	2023-05-02	06:33:00	5898.7266	2	0.0318	0.0041	5899.2377	-0.2	-9.9	0.2405	-0.0059	0.0009	0.0313	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781071	37.639126	234.1	11011
0	2023-05-02	06:34:00	5898.7275	2	0.0219	0.0028	5899.2382	-1.0	-9.6	0.2403	-0.0057	0.0011	0.0314	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781155	37.639160	236.5	11011
0	2023-05-02	06:35:00	5898.7271	2	0.0197	0.0025	5899.2371	1.1	-11.6	0.2433	-0.0055	0.0017	0.0313	-0.5374	60	0.000	55.800000	37.500000	187.90	55.780849	37.639153	234.4	11011
0	2023-05-02	06:36:00	5898.7262	2	0.0244	0.0031	5899.2362	1.6	-10.7	0.2474	-0.0053	0.0014	0.0313	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781193	37.639240	241.6	11011
0	2023-05-02	06:37:00	5898.7277	2	0.0245	0.0032	5899.2377	0.8	-10.2	0.2459	-0.0050	0.0013	0.0312	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781071	37.639240	238.5	11011
0	2023-05-02	06:38:00	5898.7271	2	0.0248	0.0032	5899.2368	0.0	-10.8	0.2454	-0.0048	0.0013	0.0313	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781040	37.639370	232.8	11011
0	2023-05-02	06:39:00	5898.7278	2	0.0232	0.0030	5899.2369	1.0	-10.1	0.2431	-0.0046	0.0013	0.0316	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781128	37.639305	231.6	11011
0	2023-05-02	06:40:00	5898.7265	2	0.0214	0.0028	5899.2358	2.4	-9.5	0.2431	-0.0044	0.0010	0.0314	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781105	37.639183	231.5	11011
0	2023-05-02	06:41:00	5898.7271	2	0.0227	0.0029	5899.2359	1.5	-10.8	0.2432	-0.0042	0.0014	0.0314	-0.5374	60	0.000	55.800000	37.500000	187.90	55.781166	37.639153	231.6	11011
0	2023-05-02	06:42:00	5898.7277	2	0.0266	0.0034	5899.2362	0.1	-10.8	0.2478	-0.0040	0.0014	0.0316	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781307	37.639267	231.5	11011
0	2023-05-02	06:43:00	5898.7267	2	0.0228	0.0029	5899.2349	2.0	-11.2	0.2378	-0.0038	0.0014	0.0317	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781109	37.639259	231.3	11011
0	2023-05-02	06:44:00	5898.7271	2	0.0292	0.0038	5899.2352	1.3	-10.2	0.2428	-0.0036	0.0012	0.0316	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781048	37.639370	230.6	11011
0	2023-05-02	06:45:00	5898.7278	2	0.0265	0.0034	5899.2357	2.3	-10.1	0.2462	-0.0034	0.0012	0.0317	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781288	37.639553	230.2	11011
0	2023-05-02	06:46:00	5898.7278	2	0.0282	0.0036	5899.2353	3.0	-10.8	0.2464	-0.0032	0.0015	0.0317	-0.5375	60	0.000	55.800000	37.500000	187.90	55.780895	37.639389	228.3	11011
0	2023-05-02	06:47:00	5898.7262	2	0.0253	0.0033	5899.2332	2.2	-11.5	0.2358	-0.0030	0.0016	0.0318	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781403	37.639374	227.5	11011
0	2023-05-02	06:48:00	5898.7255	2	0.0232	0.0030	5899.2326	2.6	-10.4	0.2443	-0.0028	0.0013	0.0318	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781212	37.639324	228.6	11011
0	2023-05-02	06:49:00	5898.7272	2	0.0259	0.0033	5899.2339	2.2	-10.8	0.2458	-0.0026	0.0014	0.0320	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781155	37.639305	227.8	11011
0	2023-05-02	06:50:00	5898.7262	2	0.0246	0.0032	5899.2329	1.8	-10.8	0.2457	-0.0024	0.0014	0.0318	-0.5375	60	0.000	55.800000	37.500000	187.90	55.781258	37.639278	226.8	11011
0	2023-05-02	06:51:00	5898.7264	2	0.0267	0.0035	5899.2325	-0.2	-12.3	0.2509	-0.0022	0.0018	0.0318	-0.5375	60	0.000	55.800000	37.500000	187.90	55.780991	37.639267	226.5	11011
