/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.007000
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0	2023-04-18	06:05:10	5899.0829	2	0.0093	0.0012	5899.5144	1.0	2.7	0.3070	-0.0320	0.0001	0.0397	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:06:10	5899.0829	2	0.0095	0.0012	5899.5142	2.6	2.4	0.3083	-0.0316	0.0002	0.0394	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:07:10	5899.0834	2	0.0090	0.0012	5899.5142	3.5	2.2	0.3070	-0.0312	0.0003	0.0394	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:08:10	5899.0827	2	0.0096	0.0012	5899.5134	2.7	2.0	0.3044	-0.0308	0.0002	0.0391	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:09:10	5899.0838	2	0.0098	0.0013	5899.5141	2.8	1.9	0.2977	-0.0303	0.0002	0.0392	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:10:10	5899.0841	2	0.0117	0.0015	5899.5143	1.7	2.7	0.3076	-0.0299	0.0002	0.0389	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:11:10	5899.0842	2	0.0121	0.0016	5899.5140	1.4	1.7	0.2986	-0.0295	0.0001	0.0390	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:12:10	5899.0844	2	0.0088	0.0011	5899.5140	2.1	2.3	0.3004	-0.0291	0.0002	0.0386	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:13:10	5899.0834	2	0.0106	0.0014	5899.5127	2.4	1.9	0.3021	-0.0287	0.0001	0.0386	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:14:10	5899.0822	2	0.0115	0.0015	5899.5109	2.0	1.8	0.2992	-0.0283	0.0001	0.0387	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:15:10	5899.0834	2	0.0083	0.0011	5899.5118	2.7	2.6	0.3008	-0.0279	0.0002	0.0386	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:16:10	5899.0823	2	0.0102	0.0013	5899.5104	2.9	2.8	0.2957	-0.0275	0.0002	0.0384	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:17:10	5899.0844	2	0.0108	0.0014	5899.5121	2.4	3.8	0.2967	-0.0271	0.0003	0.0384	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:18:10	5899.0832	2	0.0069	0.0009	5899.5104	3.8	3.0	0.2960	-0.0267	0.0003	0.0385	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:19:10	5899.0836	2	0.0088	0.0011	5899.5108	3.3	1.3	0.3003	-0.0263	0.0001	0.0383	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:20:10	5899.0831	2	0.0090	0.0012	5899.5098	3.7	1.4	0.2966	-0.0259	0.0002	0.0383	-0.4393	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:21:10	5899.0826	2	0.0095	0.0012	5899.5090	3.4	1.9	0.3001	-0.0255	0.0002	0.0382	-0.4394	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:22:10	5899.0815	2	0.0084	0.0011	5899.5076	4.2	2.4	0.2963	-0.0251	0.0002	0.0382	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780811	37.639389	185.8	11011
0	2023-04-18	06:23:10	5899.0826	2	0.0091	0.0012	5899.5081	4.2	2.3	0.2925	-0.0247	0.0004	0.0381	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780746	37.639446	186.1	11011
0	2023-04-18	06:24:10	5899.0825	2	0.0094	0.0012	5899.5078	3.4	1.9	0.2873	-0.0243	0.0003	0.0381	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780918	37.639248	187.7	11011
0	2023-04-18	06:25:10	5899.0831	2	0.0080	0.0010	5899.5080	4.0	1.4	0.2970	-0.0239	0.0003	0.0382	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781124	37.639133	187.6	11011
0	2023-04-18	06:26:10	5899.0830	2	0.0102	0.0013	5899.5077	3.1	1.7	0.2982	-0.0235	0.0001	0.0380	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781166	37.639294	186.7	11011
0	2023-04-18	06:27:10	5899.0814	2	0.0086	0.0011	5899.5055	4.8	2.9	0.2918	-0.0231	0.0003	0.0381	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781013	37.639523	186.5	11011
0	2023-04-18	06:28:10	5899.0830	2	0.0096	0.0012	5899.5068	5.0	3.3	0.2959	-0.0227	0.0003	0.0380	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780964	37.639439	186.5	11011
0	2023-04-18	06:29:10	5899.0825	2	0.0080	0.0010	5899.5061	4.5	3.8	0.2913	-0.0224	0.0004	0.0377	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781010	37.639294	186.4	11011
0	2023-04-18	06:30:10	5899.0838	2	0.0080	0.0010	5899.5067	4.3	4.9	0.2926	-0.0220	0.0005	0.0380	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781200	37.639126	186.3	11011
0	2023-04-18	06:31:10	5899.0830	2	0.0097	0.0012	5899.5055	3.3	4.8	0.2882	-0.0216	0.0005	0.0379	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781124	37.639370	186.9	11011
0	2023-04-18	06:32:10	5899.0825	2	0.0089	0.0012	5899.5048	4.1	4.6	0.2914	-0.0212	0.0005	0.0378	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781052	37.639046	186.9	11011
0	2023-04-18	06:33:10	5899.0826	2	0.0109	0.0014	5899.5047	4.4	3.3	0.2945	-0.0208	0.0004	0.0377	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781071	37.639217	187.3	11011
0	2023-04-18	06:34:10	5899.0822	2	0.0086	0.0011	5899.5039	4.3	3.9	0.2919	-0.0205	0.0004	0.0377	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780823	37.639469	187.8	11011
0	2023-04-18	06:35:10	5899.0811	2	0.0105	0.0014	5899.5025	4.1	4.2	0.2890	-0.0201	0.0005	0.0376	-0.4394	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	06:36:10	5899.0813	2	0.0116	0.0015	5899.5025	5.1	3.3	0.2889	-0.0197	0.0004	0.0375	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780895	37.639408	188.6	11011
0	2023-04-18	06:37:10	5899.0829	2	0.0084	0.0011	5899.5037	5.9	2.8	0.2929	-0.0193	0.0006	0.0374	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781078	37.639324	190.8	11011
0	2023-04-18	06:38:10	5899.0818	2	0.0087	0.0011	5899.5020	6.4	3.2	0.2874	-0.0190	0.0007	0.0375	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781250	37.639465	192.4	11011
0	2023-04-18	06:39:10	5899.0816	2	0.0093	0.0012	5899.5017	5.7	3.2	0.2966	-0.0186	0.0005	0.0374	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780956	37.639420	192.5	11011
0	2023-04-18	06:40:10	5899.0812	2	0.0079	0.0010	5899.5009	5.5	3.1	0.2888	-0.0182	0.0005	0.0374	-0.4394	60	0.000	55.800000	37.500000	187.90	55.780933	37.639565	192.4	11011
0	2023-04-18	06:41:10	5899.0817	2	0.0114	0.0015	5899.5013	3.4	2.8	0.2904	-0.0179	0.0003	0.0374	-0.4394	60	0.000	55.800000	37.500000	187.90	55.781040	37.639523	192.3	11011
0	2023-04-18	06:42:10	5899.0827	2	0.0081	0.0010	5899.5019	3.8	3.3	0.2925	-0.0175	0.0004	0.0374	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781219	37.639248	192.9	11011
0	2023-04-18	06:43:10	5899.0829	2	0.0066	0.0008	5899.5018	3.8	4.2	0.2916	-0.0172	0.0004	0.0373	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781300	37.638866	193.2	11011
0	2023-04-18	06:44:10	5899.0823	2	0.0087	0.0011	5899.5007	5.0	4.0	0.2915	-0.0168	0.0005	0.0374	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780411	37.639297	192.5	11011
0	2023-04-18	06:45:10	5899.0817	2	0.0079	0.0010	5899.4997	5.2	4.4	0.2850	-0.0164	0.0006	0.0374	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781414	37.638817	195.2	11011
0	2023-04-18	06:46:10	5899.0812	2	0.0091	0.0012	5899.4991	4.8	3.5	0.2905	-0.0161	0.0004	0.0372	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781357	37.638885	195.8	11011
0	2023-04-18	06:47:10	5899.0827	2	0.0101	0.0013	5899.5004	4.0	3.0	0.2865	-0.0157	0.0004	0.0371	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780670	37.639210	193.1	11011
0	2023-04-18	06:48:10	5899.0814	2	0.0108	0.0014	5899.4989	3.5	2.7	0.2914	-0.0154	0.0003	0.0371	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781364	37.639217	194.3	11011
0	2023-04-18	06:49:10	5899.0832	2	0.0070	0.0009	5899.5004	3.1	3.0	0.2883	-0.0150	0.0002	0.0371	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780964	37.638973	196.2	11011
0	2023-04-18	06:50:10	5899.0835	2	0.0083	0.0011	5899.5003	3.1	3.9	0.2813	-0.0147	0.0004	0.0370	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780899	37.639095	196.7	11011
0	2023-04-18	06:51:10	5899.0824	2	0.0083	0.0011	5899.4990	2.8	4.1	0.2851	-0.0144	0.0003	0.0370	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781315	37.639160	198.7	11011
0	2023-04-18	06:52:10	5899.0821	2	0.0093	0.0012	5899.4983	3.5	2.8	0.2856	-0.0140	0.0003	0.0370	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781242	37.639324	200.2	11011
0	2023-04-18	06:53:10	5899.0821	2	0.0084	0.0011	5899.4980	3.2	2.1	0.2911	-0.0137	0.0002	0.0371	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781174	37.639248	202.0	11011
0	2023-04-18	06:54:10	5899.0826	2	0.0110	0.0014	5899.4981	2.2	3.0	0.2824	-0.0133	0.0002	0.0371	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780918	37.639370	200.1	11011
0	2023-04-18	06:55:10	5899.0834	2	0.0069	0.0009	5899.4988	2.0	3.8	0.2923	-0.0130	0.0003	0.0369	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781288	37.639057	198.1	11011
0	2023-04-18	06:56:10	5899.0811	2	0.0097	0.0013	5899.4964	2.2	2.6	0.2939	-0.0127	0.0001	0.0368	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781021	37.639191	194.5	11011
0	2023-04-18	06:57:10	5899.0833	2	0.0112	0.0014	5899.4980	1.5	3.5	0.2839	-0.0124	0.0002	0.0369	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780811	37.639332	194.9	11011
0	2023-04-18	06:58:10	5899.0827	2	0.0106	0.0014	5899.4971	0.7	3.9	0.2844	-0.0120	0.0002	0.0369	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781010	37.639103	196.2	11011
0	2023-04-18	06:59:10	5899.0823	2	0.0109	0.0014	5899.4966	1.4	3.3	0.2802	-0.0117	0.0002	0.0368	-0.4395	60	0.000	55.800000	37.500000	187.90	55.780933	37.639145	196.0	11011
0	2023-04-18	07:00:10	5899.0830	2	0.0090	0.0012	5899.4969	1.3	2.6	0.2848	-0.0114	0.0001	0.0369	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781231	37.639542	195.0	11011
0	2023-04-18	07:01:10	5899.0816	2	0.0084	0.0011	5899.4952	2.2	2.4	0.2909	-0.0111	0.0002	0.0368	-0.4395	60	0.000	55.800000	37.500000	187.90	--	--	--	11011
0	2023-04-18	07:02:10	5899.0836	2	0.0091	0.0012	5899.4969	1.3	3.4	0.2859	-0.0107	0.0002	0.0368	-0.4395	60	0.000	55.800000	37.500000	187.90	55.781128	37.639275	194.7	11011
