/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090468
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	8009.604000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030806
/		Y Scale [arc-sec/ADU]:	0.030639
/		X Offset [ADU]:	-161936.653023
/		Y Offset [ADU]:	-219406.324612
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.006250
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-05-02	06:03:04	5742.2558	2	0.0303	0.0039	5742.3998	-2.2	-0.8	2.8368	-0.0134	0.0001	0.3552	-0.4859	60	0.000	55.780838	37.639160	185.10	55.781605	37.638706	209.1	11011
1	2023-05-02	06:04:04	5742.2551	2	0.0208	0.0027	5742.3989	-2.4	-1.4	2.8363	-0.0131	0.0001	0.3551	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781471	37.638798	208.5	11011
1	2023-05-02	06:05:04	5742.2546	2	0.0292	0.0038	5742.3981	-3.5	-1.0	2.8406	-0.0128	0.0003	0.3550	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781509	37.639133	208.4	11011
1	2023-05-02	06:06:04	5742.2582	2	0.0308	0.0040	5742.4015	-3.0	-0.7	2.8386	-0.0125	0.0001	0.3550	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781506	37.638954	208.3	11011
1	2023-05-02	06:07:04	5742.2550	2	0.0284	0.0037	5742.3982	-2.8	-0.1	2.8429	-0.0123	0.0001	0.3548	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781242	37.639164	207.3	11011
1	2023-05-02	06:08:04	5742.2553	2	0.0270	0.0035	5742.3984	-2.8	1.0	2.8386	-0.0120	0.0001	0.3547	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781414	37.638535	207.8	11011
1	2023-05-02	06:09:04	5742.2548	2	0.0218	0.0028	5742.3977	-3.0	0.7	2.8350	-0.0117	0.0001	0.3546	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781269	37.638817	207.4	11011
1	2023-05-02	06:10:04	5742.2538	2	0.0257	0.0033	5742.3966	-2.8	0.7	2.8359	-0.0114	0.0001	0.3545	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780964	37.639381	208.1	11011
1	2023-05-02	06:11:04	5742.2551	2	0.0258	0.0033	5742.3978	-3.4	0.4	2.8287	-0.0112	0.0002	0.3543	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780781	37.639145	208.6	11011
1	2023-05-02	06:12:04	5742.2541	2	0.0255	0.0033	5742.3966	-2.4	0.0	2.8348	-0.0109	0.0001	0.3543	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780907	37.639141	206.2	11011
1	2023-05-02	06:13:04	5742.2556	2	0.0225	0.0029	5742.3979	-1.6	-0.5	2.8372	-0.0106	0.0000	0.3543	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780899	37.639259	205.7	11011
1	2023-05-02	06:14:04	5742.2564	2	0.0242	0.0031	5742.3983	-2.9	0.3	2.8299	-0.0104	0.0001	0.3544	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780823	37.639248	205.7	11011
1	2023-05-02	06:15:04	5742.2540	2	0.0304	0.0039	5742.3960	-2.0	0.0	2.8355	-0.0101	0.0001	0.3541	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780811	37.639153	204.9	11011
1	2023-05-02	06:16:04	5742.2556	2	0.0221	0.0028	5742.3972	-2.5	1.1	2.8342	-0.0099	0.0001	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780869	37.639240	209.2	11011
1	2023-05-02	06:17:04	5742.2558	2	0.0267	0.0034	5742.3972	-2.3	0.3	2.8317	-0.0096	0.0001	0.3540	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780842	37.639313	208.1	11011
1	2023-05-02	06:18:04	5742.2571	2	0.0239	0.0031	5742.3983	-1.4	1.5	2.8325	-0.0093	0.0001	0.3541	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780926	37.639305	205.7	11011
1	2023-05-02	06:19:04	5742.2582	2	0.0285	0.0037	5742.3990	-2.4	2.6	2.8371	-0.0091	0.0001	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780876	37.639374	208.8	11011
1	2023-05-02	06:20:04	5742.2557	2	0.0268	0.0035	5742.3961	-3.0	3.5	2.8299	-0.0088	0.0003	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780937	37.639332	209.5	11011
1	2023-05-02	06:21:04	5742.2543	2	0.0190	0.0025	5742.3945	-2.2	1.7	2.8335	-0.0086	0.0001	0.3543	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781067	37.639362	209.3	11011
1	2023-05-02	06:22:04	5742.2546	2	0.0224	0.0029	5742.3946	-1.8	3.3	2.8318	-0.0083	0.0002	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780937	37.639324	209.3	11011
1	2023-05-02	06:23:04	5742.2556	2	0.0168	0.0022	5742.3953	-3.6	2.6	2.8332	-0.0081	0.0003	0.3540	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780991	37.639259	209.2	11011
1	2023-05-02	06:24:04	5742.2543	2	0.0236	0.0030	5742.3939	-3.0	1.3	2.8422	-0.0078	0.0001	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.781048	37.639324	209.7	11011
1	2023-05-02	06:25:04	5742.2544	2	0.0250	0.0032	5742.3937	-3.2	2.2	2.8397	-0.0076	0.0002	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780983	37.639381	210.8	11011
1	2023-05-02	06:26:04	5742.2544	2	0.0259	0.0033	5742.3935	-3.0	1.7	2.8286	-0.0074	0.0001	0.3542	-0.4860	60	0.000	55.780838	37.639160	185.10	55.780964	37.639240	210.5	11011
1	2023-05-02	06:27:04	5742.2565	2	0.0192	0.0025	5742.3951	-4.7	1.6	2.8389	-0.0071	0.0003	0.3543	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780842	37.639179	208.1	11011
1	2023-05-02	06:28:04	5742.2581	2	0.0263	0.0034	5742.3964	-3.9	2.4	2.8359	-0.0069	0.0002	0.3545	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780613	37.639160	208.2	11011
1	2023-05-02	06:29:04	5742.2570	2	0.0230	0.0030	5742.3950	-5.7	1.2	2.8318	-0.0066	0.0005	0.3543	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780876	37.639217	208.6	11011
1	2023-05-02	06:30:04	5742.2557	2	0.0309	0.0040	5742.3934	-5.2	2.1	2.8366	-0.0064	0.0004	0.3544	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781136	37.639317	209.2	11011
1	2023-05-02	06:31:04	5742.2564	2	0.0257	0.0033	5742.3938	-5.4	2.7	2.8332	-0.0062	0.0005	0.3544	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781013	37.639305	209.5	11011
1	2023-05-02	06:32:04	5742.2558	2	0.0269	0.0035	5742.3932	-5.0	1.2	2.8315	-0.0059	0.0004	0.3543	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780983	37.639297	217.1	11011
1	2023-05-02	06:33:04	5742.2565	2	0.0320	0.0041	5742.3935	-4.4	1.4	2.8335	-0.0057	0.0003	0.3545	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780956	37.639217	211.7	11011
1	2023-05-02	06:34:04	5742.2569	2	0.0229	0.0030	5742.3937	-5.6	0.6	2.8299	-0.0055	0.0004	0.3544	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780956	37.639317	210.7	11011
1	2023-05-02	06:35:04	5742.2557	2	0.0209	0.0027	5742.3923	-5.1	0.3	2.8440	-0.0053	0.0005	0.3543	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780994	37.639305	212.9	11011
1	2023-05-02	06:36:04	5742.2553	2	0.0248	0.0032	5742.3917	-5.3	-0.6	2.8400	-0.0051	0.0004	0.3544	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781071	37.639336	213.2	11011
1	2023-05-02	06:37:04	5742.2555	2	0.0244	0.0031	5742.3914	-5.3	-0.7	2.8375	-0.0048	0.0004	0.3547	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780861	37.639313	213.2	11011
1	2023-05-02	06:38:04	5742.2557	2	0.0255	0.0033	5742.3915	-5.5	-0.2	2.8321	-0.0046	0.0004	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780823	37.639160	213.6	11011
1	2023-05-02	06:39:04	5742.2573	2	0.0241	0.0031	5742.3929	-5.6	-0.2	2.8382	-0.0044	0.0003	0.3545	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780716	37.639202	219.0	11011
1	2023-05-02	06:40:04	5742.2556	2	0.0205	0.0027	5742.3911	-4.1	0.1	2.8366	-0.0042	0.0002	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780933	37.639294	224.8	11011
1	2023-05-02	06:41:04	5742.2573	2	0.0235	0.0030	5742.3925	-3.6	1.6	2.8365	-0.0040	0.0002	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780991	37.639145	223.5	11011
1	2023-05-02	06:42:04	5742.2557	2	0.0258	0.0033	5742.3907	-4.6	0.5	2.8381	-0.0038	0.0003	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781307	37.639324	219.6	11011
1	2023-05-02	06:43:04	5742.2524	2	0.0223	0.0029	5742.3870	-5.4	-0.2	2.8357	-0.0036	0.0005	0.3547	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781124	37.639355	219.6	11011
1	2023-05-02	06:44:04	5742.2511	2	0.0288	0.0037	5742.3856	-4.7	0.2	2.8410	-0.0034	0.0002	0.3548	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780991	37.639229	220.4	11011
1	2023-05-02	06:45:04	5742.2530	2	0.0272	0.0035	5742.3876	-3.2	1.2	2.8386	-0.0032	0.0002	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781052	37.639305	220.5	11011
1	2023-05-02	06:46:04	5742.2561	2	0.0289	0.0037	5742.3902	-3.7	1.0	2.8378	-0.0030	0.0002	0.3547	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781029	37.639343	219.0	11011
1	2023-05-02	06:47:04	5742.2520	2	0.0258	0.0033	5742.3860	-2.1	0.8	2.8366	-0.0028	0.0001	0.3548	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780964	37.639370	218.6	11011
1	2023-05-02	06:48:04	5742.2547	2	0.0260	0.0034	5742.3887	-3.4	0.7	2.8418	-0.0026	0.0001	0.3546	-0.4861	60	0.000	55.780838	37.639160	185.10	55.780842	37.639393	217.6	11011
1	2023-05-02	06:49:04	5742.2546	2	0.0219	0.0028	5742.3882	-3.1	-0.9	2.8342	-0.0024	0.0001	0.3548	-0.4861	60	0.000	55.780838	37.639160	185.10	55.781048	37.639332	220.2	11011
1	2023-05-02	06:50:04	5742.2556	2	0.0246	0.0032	5742.3891	-3.4	-0.3	2.8435	-0.0022	0.0002	0.3548	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781128	37.639305	220.3	11011
1	2023-05-02	06:51:04	5742.2552	2	0.0270	0.0035	5742.3884	-2.8	0.5	2.8442	-0.0020	0.0002	0.3549	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780895	37.639313	220.0	11011
1	2023-05-02	06:52:04	5742.2556	2	0.0261	0.0034	5742.3885	-4.8	0.2	2.8339	-0.0018	0.0003	0.3548	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780964	37.639259	230.1	11011
1	2023-05-02	06:53:04	5742.2565	2	0.0249	0.0032	5742.3894	-3.9	0.2	2.8396	-0.0017	0.0002	0.3548	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780876	37.639256	222.0	11011
1	2023-05-02	06:54:04	5742.2559	2	0.0289	0.0037	5742.3883	-3.5	0.9	2.8375	-0.0015	0.0002	0.3551	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780994	37.639305	239.4	11011
1	2023-05-02	06:55:04	5742.2548	2	0.0282	0.0036	5742.3869	-4.0	1.6	2.8371	-0.0013	0.0003	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781021	37.639336	238.3	11011
1	2023-05-02	06:56:04	5742.2556	2	0.0299	0.0039	5742.3875	-5.6	1.7	2.8438	-0.0011	0.0004	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781071	37.639370	238.4	11011
1	2023-05-02	06:57:04	5742.2552	2	0.0222	0.0029	5742.3869	-5.9	1.3	2.8337	-0.0010	0.0005	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781067	37.639336	238.3	11011
1	2023-05-02	06:58:04	5742.2553	2	0.0256	0.0033	5742.3871	-4.9	1.5	2.8435	-0.0008	0.0003	0.3548	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781105	37.639332	245.9	11011
1	2023-05-02	06:59:04	5742.2547	2	0.0305	0.0039	5742.3861	-4.3	0.9	2.8414	-0.0006	0.0003	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781010	37.639317	243.3	11011
1	2023-05-02	07:00:04	5742.2548	2	0.0257	0.0033	5742.3861	-4.7	2.2	2.8392	-0.0004	0.0004	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.781013	37.639267	247.7	11011
1	2023-05-02	07:01:04	5742.2560	2	0.0322	0.0042	5742.3871	-5.0	2.3	2.8442	-0.0003	0.0004	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780983	37.639240	247.5	11011
1	2023-05-02	07:02:04	5742.2543	2	0.0168	0.0022	5742.3855	-3.7	1.6	2.8452	-0.0001	0.0002	0.3550	-0.4862	60	0.000	55.780838	37.639160	185.10	55.780899	37.639221	244.5	11011
21	2023-05-02	08:36:59	5719.6664	2	0.0303	0.0039	5719.7906	0.2	-1.9	2.8667	0.0032	0.0001	0.3591	-0.4866	60	0.000	55.780838	37.639160	185.10	55.699482	36.757751	172.4	11011
21	2023-05-02	08:37:59	5719.6671	2	0.0398	0.0051	5719.7917	0.9	-1.9	2.8739	0.0031	0.0001	0.3589	-0.4866	60	0.000	55.780838	37.639160	185.10	55.699375	36.757675	174.1	11011
21	2023-05-02	08:38:59	5719.6702	2	0.0304	0.0039	5719.7951	1.5	-2.6	2.8709	0.0030	0.0002	0.3586	-0.4866	60	0.000	55.780838	37.639160	185.10	55.699463	36.757763	175.0	11011
21	2023-05-02	08:39:59	5719.6672	2	0.0285	0.0037	5719.7926	2.4	-2.7	2.8677	0.0029	0.0002	0.3581	-0.4866	60	0.000	55.780838	37.639160	185.10	55.699436	36.757759	177.3	11011
