/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090468
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	VSB
/		Gcal1 [mGal]:	8009.604000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030806
/		Y Scale [arc-sec/ADU]:	0.030639
/		X Offset [ADU]:	-161936.653023
/		Y Offset [ADU]:	-219406.324612
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.006250
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-18	06:05:10	5742.9870	2	0.0093	0.0012	5743.0560	0.7	1.5	2.8898	-0.0317	0.0001	0.3611	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780918	37.639297	186.2	11011
1	2023-04-18	06:06:10	5742.9881	2	0.0090	0.0012	5743.0569	0.5	2.6	2.8859	-0.0313	0.0001	0.3609	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781315	37.639103	183.8	11011
1	2023-04-18	06:07:10	5742.9896	2	0.0087	0.0011	5743.0580	0.9	2.1	2.8843	-0.0309	0.0001	0.3608	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781155	37.639160	185.7	11011
1	2023-04-18	06:08:10	5742.9878	2	0.0090	0.0012	5743.0559	2.1	2.9	2.8775	-0.0305	0.0001	0.3607	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781162	37.638802	186.5	11011
1	2023-04-18	06:09:10	5742.9877	2	0.0107	0.0014	5743.0557	2.0	2.5	2.8873	-0.0300	0.0002	0.3604	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781307	37.638962	190.3	11011
1	2023-04-18	06:10:10	5742.9826	2	0.0116	0.0015	5743.0502	2.2	1.1	2.8819	-0.0296	0.0001	0.3604	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781307	37.639050	193.1	11011
1	2023-04-18	06:11:10	5742.9838	2	0.0110	0.0014	5743.0513	1.6	-0.1	2.8830	-0.0292	0.0001	0.3602	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780926	37.639278	193.5	11011
1	2023-04-18	06:12:10	5742.9857	2	0.0096	0.0012	5743.0527	2.3	0.1	2.8905	-0.0288	0.0001	0.3602	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780983	37.639297	196.4	11011
1	2023-04-18	06:13:10	5742.9866	2	0.0120	0.0016	5743.0532	2.5	1.4	2.8828	-0.0284	0.0001	0.3602	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780991	37.639259	197.2	11011
1	2023-04-18	06:14:10	5742.9835	2	0.0112	0.0014	5743.0496	2.8	1.6	2.8888	-0.0280	0.0002	0.3602	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780704	37.639229	196.8	11011
1	2023-04-18	06:15:10	5742.9866	2	0.0091	0.0012	5743.0524	3.5	1.3	2.8787	-0.0276	0.0002	0.3601	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780994	37.639240	196.5	11011
1	2023-04-18	06:16:10	5742.9863	2	0.0099	0.0013	5743.0518	3.6	0.8	2.8793	-0.0272	0.0002	0.3600	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781136	37.639133	198.3	11011
1	2023-04-18	06:17:10	5742.9857	2	0.0112	0.0014	5743.0510	3.0	0.1	2.8824	-0.0268	0.0001	0.3599	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781128	37.639153	202.2	11011
1	2023-04-18	06:18:10	5742.9854	2	0.0065	0.0008	5743.0503	4.4	0.7	2.8816	-0.0264	0.0002	0.3597	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781071	37.639217	202.4	11011
1	2023-04-18	06:19:10	5742.9849	2	0.0088	0.0011	5743.0493	4.0	0.0	2.8769	-0.0260	0.0002	0.3599	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781155	37.639275	204.3	11011
1	2023-04-18	06:20:10	5742.9855	2	0.0090	0.0012	5743.0495	2.9	-2.0	2.8858	-0.0256	0.0002	0.3599	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781143	37.639133	208.3	11011
1	2023-04-18	06:21:10	5742.9863	2	0.0088	0.0011	5743.0502	2.6	-1.2	2.8771	-0.0252	0.0001	0.3598	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781300	37.639057	209.9	11011
1	2023-04-18	06:22:10	5742.9883	2	0.0088	0.0011	5743.0517	3.4	-0.5	2.8783	-0.0248	0.0001	0.3598	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781067	37.639351	210.7	11011
1	2023-04-18	06:23:10	5742.9880	2	0.0107	0.0014	5743.0509	2.2	0.5	2.8793	-0.0244	0.0001	0.3599	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781029	37.639217	210.4	11011
1	2023-04-18	06:24:10	5742.9880	2	0.0095	0.0012	5743.0506	2.4	-0.7	2.8849	-0.0240	0.0001	0.3598	-0.3985	60	0.000	55.780838	37.639160	185.10	55.781109	37.639198	210.2	11011
1	2023-04-18	06:25:10	5742.9874	2	0.0079	0.0010	5743.0500	1.7	-1.3	2.8818	-0.0236	0.0001	0.3595	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780907	37.639278	209.4	11011
1	2023-04-18	06:26:10	5742.9886	2	0.0100	0.0013	5743.0507	1.2	-1.4	2.8771	-0.0232	0.0000	0.3596	-0.3985	60	0.000	55.780838	37.639160	185.10	55.780918	37.639286	209.6	11011
1	2023-04-18	06:27:10	5742.9862	2	0.0094	0.0012	5743.0480	2.5	-1.7	2.8735	-0.0228	0.0002	0.3595	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781021	37.639198	209.9	11011
1	2023-04-18	06:28:10	5742.9850	2	0.0100	0.0013	5743.0463	2.5	-1.7	2.8695	-0.0225	0.0002	0.3595	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781166	37.639122	209.8	11011
1	2023-04-18	06:29:10	5742.9857	2	0.0090	0.0012	5743.0467	1.1	-1.3	2.8732	-0.0221	0.0001	0.3595	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781231	37.639439	209.8	11011
1	2023-04-18	06:30:10	5742.9848	2	0.0077	0.0010	5743.0456	1.9	-0.3	2.8776	-0.0217	0.0001	0.3593	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781395	37.638893	209.7	11011
1	2023-04-18	06:31:10	5742.9856	2	0.0109	0.0014	5743.0461	2.4	-0.6	2.8755	-0.0213	0.0001	0.3593	-0.3986	60	0.000	55.780838	37.639160	185.10	55.782478	37.638840	209.7	11011
1	2023-04-18	06:32:10	5742.9825	2	0.0091	0.0012	5743.0425	1.7	-1.1	2.8766	-0.0209	0.0001	0.3594	-0.3986	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-18	06:33:10	5742.9839	2	0.0107	0.0014	5743.0436	1.6	-1.3	2.8687	-0.0206	0.0001	0.3594	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781086	37.639133	211.6	11011
1	2023-04-18	06:34:10	5742.9830	2	0.0077	0.0010	5743.0422	2.4	-0.8	2.8736	-0.0202	0.0001	0.3595	-0.3986	60	0.000	55.780838	37.639160	185.10	55.780895	37.639236	214.9	11011
1	2023-04-18	06:35:10	5742.9818	2	0.0116	0.0015	5743.0409	2.5	-0.1	2.8707	-0.0198	0.0001	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781212	37.638779	214.6	11011
1	2023-04-18	06:36:10	5742.9827	2	0.0112	0.0015	5743.0414	-0.4	2.0	2.8737	-0.0194	0.0001	0.3593	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781460	37.638306	213.4	11011
1	2023-04-18	06:37:10	5742.9820	2	0.0098	0.0013	5743.0403	-0.8	1.3	2.8741	-0.0191	0.0000	0.3593	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781086	37.639153	214.5	11011
1	2023-04-18	06:38:10	5742.9819	2	0.0087	0.0011	5743.0400	-0.2	0.8	2.8756	-0.0187	0.0000	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781269	37.639259	214.7	11011
1	2023-04-18	06:39:10	5742.9793	2	0.0103	0.0013	5743.0369	-0.2	1.4	2.8707	-0.0183	0.0000	0.3593	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781052	37.639336	214.7	11011
1	2023-04-18	06:40:10	5742.9800	2	0.0085	0.0011	5743.0374	-0.1	1.2	2.8710	-0.0180	0.0001	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781010	37.639488	214.6	11011
1	2023-04-18	06:41:10	5742.9825	2	0.0118	0.0015	5743.0395	-1.2	0.5	2.8708	-0.0176	0.0000	0.3592	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781307	37.639076	215.5	11011
1	2023-04-18	06:42:10	5742.9812	2	0.0077	0.0010	5743.0378	0.8	0.2	2.8746	-0.0172	0.0000	0.3592	-0.3986	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-18	06:43:10	5742.9837	2	0.0071	0.0009	5743.0400	0.6	-1.6	2.8728	-0.0169	0.0001	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	55.780308	37.640278	216.4	11011
1	2023-04-18	06:44:10	5742.9826	2	0.0086	0.0011	5743.0386	1.2	0.9	2.8646	-0.0165	0.0001	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-18	06:45:10	5742.9816	2	0.0093	0.0012	5743.0373	0.7	0.8	2.8684	-0.0162	0.0001	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-18	06:46:10	5742.9816	2	0.0086	0.0011	5743.0371	0.0	-0.9	2.8734	-0.0158	0.0000	0.3589	-0.3986	60	0.000	55.780838	37.639160	185.10	--	--	--	11011
1	2023-04-18	06:47:10	5742.9825	2	0.0102	0.0013	5743.0376	0.3	-0.6	2.8719	-0.0155	0.0000	0.3591	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781029	37.639332	216.2	11011
1	2023-04-18	06:48:10	5742.9811	2	0.0118	0.0015	5743.0359	1.1	-1.0	2.8721	-0.0151	0.0001	0.3589	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781029	37.639179	217.3	11011
1	2023-04-18	06:49:10	5742.9821	2	0.0071	0.0009	5743.0366	1.7	0.4	2.8728	-0.0148	0.0001	0.3589	-0.3986	60	0.000	55.780838	37.639160	185.10	55.781281	37.639114	217.1	11011
1	2023-04-18	06:50:10	5742.9833	2	0.0086	0.0011	5743.0374	1.2	1.4	2.8695	-0.0144	0.0001	0.3589	-0.3987	60	0.000	55.780838	37.639160	185.10	55.781124	37.639236	216.7	11011
1	2023-04-18	06:51:10	5742.9818	2	0.0075	0.0010	5743.0356	2.4	-1.0	2.8680	-0.0141	0.0001	0.3588	-0.3987	60	0.000	55.780838	37.639160	185.10	55.781277	37.639145	217.0	11011
1	2023-04-18	06:52:10	5742.9839	2	0.0093	0.0012	5743.0373	1.9	-0.5	2.8713	-0.0138	0.0001	0.3589	-0.3987	60	0.000	55.780838	37.639160	185.10	55.780964	37.639141	217.2	11011
1	2023-04-18	06:53:10	5742.9812	2	0.0091	0.0012	5743.0344	0.2	-0.3	2.8681	-0.0134	0.0000	0.3588	-0.3987	60	0.000	55.780838	37.639160	185.10	55.780918	37.639374	216.7	11011
1	2023-04-18	06:54:10	5742.9815	2	0.0113	0.0015	5743.0342	0.5	-1.1	2.8737	-0.0131	0.0001	0.3589	-0.3987	60	0.000	55.780838	37.639160	185.10	55.780937	37.639431	216.3	11011
1	2023-04-18	06:55:10	5742.9844	2	0.0077	0.0010	5743.0369	-0.1	-0.8	2.8755	-0.0128	0.0000	0.3589	-0.3987	60	0.000	55.780838	37.639160	185.10	55.781071	37.639381	215.3	11011
1	2023-04-18	06:56:10	5742.9827	2	0.0096	0.0012	5743.0349	0.6	-0.2	2.8742	-0.0124	0.0000	0.3588	-0.3987	60	0.000	55.780838	37.639160	185.10	55.781200	37.639523	218.1	11011
