/		CG-6 Survey
/		Survey Name:	MAIN-ZVEB
/		Instrument Serial Number:	000000022090469
/		Created:	2023-04-18 06:05:10
/
/		CG-6 Calibration
/		Operator:	EPR
/		Gcal1 [mGal]:	8231.937000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031069
/		Y Scale [arc-sec/ADU]:	0.030920
/		X Offset [ADU]:	-230679.188987
/		Y Offset [ADU]:	-200835.621911
/		Temperature Coefficient [mGal/mK]:	-0.122000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	0.011500
/		Drift Zero Time:	2023-02-13 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
4	2023-04-18	06:05:10	5869.0853	2	0.0096	0.0012	5869.8060	3.8	-0.1	0.3640	-0.0320	0.0002	0.0443	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780895	37.639278	185.4	11011
4	2023-04-18	06:06:10	5869.0857	2	0.0085	0.0011	5869.8060	3.1	-1.2	0.3635	-0.0316	0.0002	0.0443	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780983	37.639336	185.0	11011
4	2023-04-18	06:07:10	5869.0866	2	0.0085	0.0011	5869.8068	3.9	0.1	0.3650	-0.0312	0.0002	0.0440	-0.7332	60	0.000	55.800000	37.500000	192.10	55.781040	37.639191	185.4	11011
4	2023-04-18	06:08:10	5869.0861	2	0.0092	0.0012	5869.8059	4.0	1.5	0.3568	-0.0308	0.0002	0.0439	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780956	37.639305	184.2	11011
4	2023-04-18	06:09:10	5869.0855	2	0.0091	0.0012	5869.8050	3.2	0.8	0.3572	-0.0303	0.0002	0.0438	-0.7332	60	0.000	55.800000	37.500000	192.10	55.781021	37.639240	184.3	11011
4	2023-04-18	06:10:10	5869.0849	2	0.0126	0.0016	5869.8039	4.4	0.4	0.3534	-0.0299	0.0003	0.0439	-0.7332	60	0.000	55.800000	37.500000	192.10	55.781128	37.639191	184.6	11011
4	2023-04-18	06:11:10	5869.0853	2	0.0111	0.0014	5869.8043	2.9	0.9	0.3595	-0.0295	0.0001	0.0436	-0.7332	60	0.000	55.800000	37.500000	192.10	55.781052	37.639313	188.3	11011
4	2023-04-18	06:12:10	5869.0857	2	0.0093	0.0012	5869.8044	2.6	0.7	0.3550	-0.0291	0.0001	0.0436	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780956	37.639317	190.4	11011
4	2023-04-18	06:13:10	5869.0859	2	0.0110	0.0014	5869.8043	2.3	2.7	0.3594	-0.0287	0.0002	0.0434	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780735	37.639412	190.9	11011
4	2023-04-18	06:14:10	5869.0840	2	0.0106	0.0014	5869.8018	1.3	3.4	0.3552	-0.0283	0.0002	0.0436	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780933	37.639229	192.4	11011
4	2023-04-18	06:15:10	5869.0841	2	0.0095	0.0012	5869.8015	2.1	3.2	0.3545	-0.0279	0.0003	0.0434	-0.7332	60	0.000	55.800000	37.500000	192.10	55.780994	37.639248	198.3	11011
4	2023-04-18	06:16:10	5869.0862	2	0.0112	0.0014	5869.8033	1.8	4.4	0.3490	-0.0275	0.0002	0.0434	-0.7333	60	0.000	55.800000	37.500000	192.10	55.781250	37.639122	199.3	11011
4	2023-04-18	06:17:10	5869.0830	2	0.0112	0.0014	5869.7998	2.5	4.4	0.3594	-0.0271	0.0003	0.0432	-0.7333	60	0.000	55.800000	37.500000	192.10	55.780724	37.639427	199.8	11011
4	2023-04-18	06:18:10	5869.0848	2	0.0066	0.0008	5869.8012	1.4	4.7	0.3539	-0.0267	0.0004	0.0432	-0.7333	60	0.000	55.800000	37.500000	192.10	55.780746	37.639294	202.6	11011
4	2023-04-18	06:19:10	5869.0844	2	0.0087	0.0011	5869.8005	2.2	4.4	0.3520	-0.0263	0.0003	0.0431	-0.7333	60	0.000	55.800000	37.500000	192.10	--	--	--	11011
4	2023-04-18	06:20:10	5869.0833	2	0.0090	0.0012	5869.7990	2.0	3.6	0.3526	-0.0259	0.0003	0.0432	-0.7333	60	0.000	55.800000	37.500000	192.10	55.781128	37.639114	203.9	11011
4	2023-04-18	06:21:10	5869.0850	2	0.0086	0.0011	5869.8002	1.0	4.8	0.3508	-0.0255	0.0004	0.0431	-0.7333	60	0.000	55.800000	37.500000	192.10	55.781162	37.639088	205.7	11011
