/		CG-6 Survey
/		Survey Name:	B4_VG_0
/		Instrument Serial Number:	000000022090465
/		Created:	2023-04-03 07:52:14
/
/		CG-6 Calibration
/		Operator:	OAZ
/		Gcal1 [mGal]:	8286.592000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.031989
/		Y Scale [arc-sec/ADU]:	0.031061
/		X Offset [ADU]:	-9210.497388
/		Y Offset [ADU]:	-163918.006243
/		Temperature Coefficient [mGal/mK]:	-0.129000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.012490
/		Drift Zero Time:	2023-02-14 12:00:00
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
2	2023-04-03	07:52:14	5900.3963	12	0.0166	0.0021	5899.7841	2.9	7.8	0.3344	-0.0295	0.0008	0.0435	0.5974	60	0.000	55.780346	37.639343	116.10	55.780907	37.639351	187.8	11011
2	2023-04-03	07:53:14	5900.3968	12	0.0132	0.0017	5899.7847	1.6	7.7	0.3349	-0.0294	0.0007	0.0435	0.5974	60	0.000	55.780346	37.639343	116.10	55.781105	37.639343	191.4	11011
2	2023-04-03	07:54:14	5900.3960	12	0.0157	0.0020	5899.7841	2.9	5.9	0.3350	-0.0293	0.0004	0.0433	0.5974	60	0.000	55.780346	37.639343	116.10	55.780811	37.639446	193.5	11011
2	2023-04-03	07:55:14	5900.3974	12	0.0173	0.0022	5899.7859	2.6	5.8	0.3332	-0.0292	0.0004	0.0430	0.5974	60	0.000	55.780346	37.639343	116.10	55.780746	37.639038	193.3	11011
2	2023-04-03	07:56:14	5900.3972	12	0.0221	0.0028	5899.7852	2.5	7.2	0.3359	-0.0291	0.0008	0.0428	0.5974	60	0.000	55.780346	37.639343	116.10	55.781364	37.639572	194.3	11011
2	2023-04-03	07:57:14	5900.3962	12	0.0176	0.0023	5899.7844	3.1	7.2	0.3295	-0.0291	0.0008	0.0427	0.5974	60	0.000	55.780346	37.639343	116.10	55.781185	37.639446	195.1	11011
2	2023-04-03	07:58:14	5900.3955	12	0.0222	0.0029	5899.7840	2.5	6.7	0.3291	-0.0290	0.0007	0.0424	0.5974	60	0.000	55.780346	37.639343	116.10	55.781738	37.639984	194.2	11011
2	2023-04-03	07:59:14	5900.3968	12	0.0158	0.0020	5899.7849	2.9	7.4	0.3314	-0.0289	0.0008	0.0425	0.5974	60	0.000	55.780346	37.639343	116.10	55.781738	37.639259	194.5	11011
2	2023-04-03	08:00:14	5900.3957	12	0.0197	0.0025	5899.7843	1.9	6.4	0.3213	-0.0288	0.0005	0.0423	0.5974	60	0.000	55.780346	37.639343	116.10	--	--	--	11011
2	2023-04-03	08:01:14	5900.3970	12	0.0149	0.0019	5899.7855	3.1	5.6	0.3311	-0.0287	0.0006	0.0421	0.5974	60	0.000	55.780346	37.639343	116.10	55.780296	37.639236	194.9	11011
3	2023-04-03	08:06:48	5900.3823	12	0.0143	0.0018	5899.7707	-0.5	0.2	0.3280	-0.0283	0.0000	0.0424	0.5975	60	0.000	55.780346	37.639343	116.10	55.780952	37.639317	194.3	11011
3	2023-04-03	08:07:48	5900.3834	12	0.0219	0.0028	5899.7715	-0.7	0.9	0.3275	-0.0283	0.0000	0.0425	0.5975	60	0.000	55.780346	37.639343	116.10	55.780869	37.639370	195.2	11011
3	2023-04-03	08:08:48	5900.3822	12	0.0258	0.0033	5899.7701	0.2	1.7	0.3269	-0.0282	0.0001	0.0426	0.5975	60	0.000	55.780346	37.639343	116.10	55.781097	37.639267	196.2	11011
3	2023-04-03	08:09:48	5900.3824	12	0.0165	0.0021	5899.7707	-0.9	0.8	0.3219	-0.0281	0.0001	0.0423	0.5975	60	0.000	55.780346	37.639343	116.10	55.781052	37.639183	198.1	11011
3	2023-04-03	08:10:48	5900.3822	12	0.0184	0.0024	5899.7704	0.1	0.3	0.3249	-0.0281	0.0000	0.0423	0.5975	60	0.000	55.780346	37.639343	116.10	55.780926	37.639133	203.8	11011
3	2023-04-03	08:11:48	5900.3816	12	0.0191	0.0025	5899.7699	-0.3	0.3	0.3308	-0.0280	0.0000	0.0422	0.5975	60	0.000	55.780346	37.639343	116.10	55.781288	37.639324	214.5	11011
3	2023-04-03	08:12:48	5900.3834	12	0.0204	0.0026	5899.7715	0.2	0.4	0.3309	-0.0280	0.0000	0.0422	0.5975	60	0.000	55.780346	37.639343	116.10	55.780575	37.639202	216.9	11011
3	2023-04-03	08:13:48	5900.3832	12	0.0186	0.0024	5899.7712	-0.7	2.5	0.3263	-0.0279	0.0001	0.0422	0.5976	60	0.000	55.780346	37.639343	116.10	55.780876	37.639259	217.0	11011
3	2023-04-03	08:14:48	5900.3838	12	0.0181	0.0023	5899.7719	-1.9	1.6	0.3238	-0.0279	0.0001	0.0420	0.5976	60	0.000	55.780346	37.639343	116.10	55.781105	37.639267	216.9	11011
3	2023-04-03	08:15:48	5900.3822	12	0.0157	0.0020	5899.7702	-1.2	1.5	0.3251	-0.0278	0.0001	0.0422	0.5976	60	0.000	55.780346	37.639343	116.10	55.780823	37.639229	217.6	11011
2	2023-04-03	08:20:52	5900.3965	12	0.0194	0.0025	5899.7842	-0.2	-1.0	0.3275	-0.0276	0.0000	0.0423	0.5976	60	0.000	55.780346	37.639343	116.10	55.780861	37.639122	223.5	11011
