/		CG-6 Survey
/		Survey Name:	110A-LEDV
/		Instrument Serial Number:	000000021090374
/		Created:	2022-04-12 05:54:54
/
/		CG-6 Calibration
/		Operator:	MSG
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030951
/		Y Scale [arc-sec/ADU]:	0.030982
/		X Offset [ADU]:	-210247.717363
/		Y Offset [ADU]:	-244020.956834
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.015550
/		Drift Zero Time:	2021-08-25 15:22:03
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
11	2022-04-12	05:54:54	5646.8451	14	0.0397	0.0051	5643.3474	1.6	0.4	-0.1398	-0.0559	0.0001	-0.0168	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	05:55:54	5646.8444	14	0.0250	0.0032	5643.3468	0.6	0.5	-0.1347	-0.0557	0.0001	-0.0170	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	05:56:54	5646.8440	14	0.0232	0.0030	5643.3464	0.2	-0.2	-0.1429	-0.0556	0.0000	-0.0173	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	05:57:54	5646.8450	14	0.0212	0.0027	5643.3472	0.6	-0.1	-0.1407	-0.0554	0.0000	-0.0173	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	05:58:54	5646.8446	14	0.0247	0.0032	5643.3468	1.2	1.0	-0.1407	-0.0552	0.0000	-0.0175	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	05:59:54	5646.8461	14	0.0198	0.0026	5643.3483	0.2	-0.3	-0.1455	-0.0550	0.0001	-0.0176	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:00:54	5646.8466	14	0.0234	0.0030	5643.3484	2.5	-0.2	-0.1434	-0.0549	0.0001	-0.0175	3.5704	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:01:54	5646.8462	14	0.0243	0.0031	5643.3479	2.4	-0.6	-0.1392	-0.0547	0.0001	-0.0176	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:02:54	5646.8464	14	0.0355	0.0046	5643.3481	1.9	0.2	-0.1378	-0.0545	0.0001	-0.0177	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:03:54	5646.8466	14	0.0265	0.0034	5643.3482	1.1	-0.9	-0.1423	-0.0544	0.0000	-0.0178	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:04:54	5646.8462	14	0.0276	0.0036	5643.3476	0.9	-1.2	-0.1459	-0.0542	0.0000	-0.0177	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:05:54	5646.8456	14	0.0283	0.0037	5643.3470	1.5	-0.4	-0.1433	-0.0540	0.0000	-0.0179	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:06:54	5646.8455	14	0.0224	0.0029	5643.3464	1.0	-1.2	-0.1371	-0.0539	0.0000	-0.0176	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:07:54	5646.8452	14	0.0169	0.0022	5643.3461	1.3	-1.2	-0.1373	-0.0537	0.0001	-0.0177	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:08:54	5646.8461	14	0.0268	0.0035	5643.3468	1.8	-1.5	-0.1483	-0.0536	0.0001	-0.0178	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:09:54	5646.8466	14	0.0273	0.0035	5643.3470	0.7	-2.7	-0.1433	-0.0534	0.0002	-0.0176	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:10:54	5646.8462	14	0.0312	0.0040	5643.3467	1.3	-1.9	-0.1417	-0.0532	0.0001	-0.0179	3.5705	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:11:54	5646.8446	14	0.0206	0.0027	5643.3447	2.2	-0.8	-0.1449	-0.0531	0.0001	-0.0177	3.5706	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-12	06:12:54	5646.8453	14	0.0267	0.0034	5643.3452	1.7	0.2	-0.1435	-0.0529	0.0001	-0.0176	3.5706	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
