/		CG-6 Survey
/		Survey Name:	110A-ZVEB-MEND
/		Instrument Serial Number:	000000021090374
/		Created:	2022-04-19 05:28:33
/
/		CG-6 Calibration
/		Operator:	AKE
/		Gcal1 [mGal]:	7875.071000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030951
/		Y Scale [arc-sec/ADU]:	0.030982
/		X Offset [ADU]:	-210247.717363
/		Y Offset [ADU]:	-244020.956834
/		Temperature Coefficient [mGal/mK]:	-0.125000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.015550
/		Drift Zero Time:	2021-08-25 15:22:03
/		Firmware Version:	CG6_2_20190125
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
11	2022-04-19	05:28:33	5646.7739	126	0.0176	0.0023	5643.1778	-0.5	0.2	-0.1211	-0.0683	0.0000	-0.0146	3.6789	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:29:33	5646.7751	126	0.0125	0.0016	5643.1787	-0.5	1.2	-0.1258	-0.0678	0.0001	-0.0148	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:30:33	5646.7745	126	0.0100	0.0013	5643.1777	-0.7	1.1	-0.1114	-0.0674	0.0001	-0.0148	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:31:33	5646.7745	126	0.0139	0.0018	5643.1773	-1.4	0.3	-0.1139	-0.0669	0.0000	-0.0149	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:32:33	5646.7746	126	0.0140	0.0018	5643.1770	-1.5	0.3	-0.1224	-0.0665	0.0001	-0.0150	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:33:33	5646.7746	126	0.0142	0.0018	5643.1766	-1.1	0.3	-0.1202	-0.0660	0.0000	-0.0150	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:34:33	5646.7742	126	0.0126	0.0016	5643.1759	-1.2	-0.1	-0.1191	-0.0656	0.0001	-0.0152	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:35:33	5646.7739	126	0.0091	0.0012	5643.1754	-0.9	-0.2	-0.1189	-0.0651	0.0000	-0.0154	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:36:33	5646.7741	126	0.0150	0.0019	5643.1748	-0.1	-0.6	-0.1198	-0.0647	0.0000	-0.0151	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
11	2022-04-19	05:37:33	5646.7739	126	0.0127	0.0016	5643.1743	-1.2	0.3	-0.1236	-0.0642	0.0000	-0.0153	3.6790	60	0.000	55.855100	37.516100	0.00	--	--	--	11011
