/		CG-6 Survey
/		Survey Name:	1089-2359
/		Instrument Serial Number:	000000022090458
/		Created:	2023-02-20 06:13:43
/
/		CG-6 Calibration
/		Operator:	ADLET
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.076408
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-02-20	06:13:43	4042.0245	1	0.0267	0.0034	4027.4797	3.0	0.8	-0.6564	-0.0234	0.0001	-0.0843	14.6524	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:14:43	4042.0249	1	0.0182	0.0023	4027.4797	3.2	2.6	-0.6689	-0.0232	0.0003	-0.0843	14.6524	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:15:43	4042.0251	1	0.0208	0.0027	4027.4799	1.5	1.7	-0.6631	-0.0229	0.0000	-0.0844	14.6525	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:16:43	4042.0254	1	0.0211	0.0027	4027.4799	1.3	2.5	-0.6685	-0.0226	0.0001	-0.0845	14.6525	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:17:43	4042.0244	1	0.0177	0.0023	4027.4786	0.4	4.3	-0.6709	-0.0224	0.0003	-0.0847	14.6526	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:18:43	4042.0256	1	0.0181	0.0023	4027.4796	-1.0	3.4	-0.6686	-0.0222	0.0002	-0.0847	14.6526	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:19:43	4042.0252	1	0.0141	0.0018	4027.4789	-1.3	3.2	-0.6715	-0.0219	0.0002	-0.0846	14.6527	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:20:43	4042.0249	1	0.0143	0.0018	4027.4784	-1.7	3.3	-0.6681	-0.0217	0.0003	-0.0848	14.6527	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:21:43	4042.0251	1	0.0203	0.0026	4027.4786	-1.0	2.7	-0.6655	-0.0214	0.0001	-0.0849	14.6528	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1089	2023-02-20	06:22:43	4042.0267	1	0.0275	0.0036	4027.4799	-1.3	4.2	-0.6767	-0.0212	0.0003	-0.0851	14.6528	60	0.214	43.305759	76.936576	700.00	--	--	--	11011
1253	2023-02-20	09:02:12	3890.8027	1	0.0126	0.0016	3876.2761	2.9	-2.0	-0.7642	-0.0387	0.0002	-0.0962	14.6613	60	0.215	43.290421	77.326180	1369.50	43.290546	77.326286	1391.8	11011
1253	2023-02-20	09:03:12	3890.8022	1	0.0158	0.0020	3876.2762	3.9	-0.8	-0.7617	-0.0391	0.0002	-0.0966	14.6614	60	0.215	43.290421	77.326180	1369.50	43.290478	77.326195	1394.7	11011
1253	2023-02-20	09:04:12	3890.8022	1	0.0175	0.0023	3876.2774	2.2	0.3	-0.7657	-0.0395	0.0001	-0.0972	14.6614	60	0.215	43.290421	77.326180	1369.50	43.290375	77.326065	1396.8	11011
1253	2023-02-20	09:05:12	3890.8031	1	0.0106	0.0014	3876.2791	3.7	0.2	-0.7722	-0.0399	0.0001	-0.0978	14.6615	60	0.215	43.290421	77.326180	1369.50	43.290470	77.326157	1396.1	11011
1253	2023-02-20	09:06:12	3890.8017	1	0.0117	0.0015	3876.2783	4.8	0.9	-0.7780	-0.0403	0.0003	-0.0982	14.6615	60	0.215	43.290421	77.326180	1369.50	43.290421	77.326065	1396.9	11011
1253	2023-02-20	09:07:12	3890.8019	1	0.0174	0.0023	3876.2798	5.0	0.5	-0.7792	-0.0407	0.0002	-0.0990	14.6616	60	0.215	43.290421	77.326180	1369.50	43.290405	77.326080	1396.8	11011
1253	2023-02-20	09:08:12	3890.8024	1	0.0160	0.0021	3876.2806	6.2	1.4	-0.7868	-0.0411	0.0006	-0.0993	14.6616	60	0.215	43.290421	77.326180	1369.50	43.290443	77.326195	1397.4	11011
1253	2023-02-20	09:09:12	3890.8028	1	0.0135	0.0017	3876.2817	6.9	2.4	-0.7842	-0.0415	0.0007	-0.0998	14.6617	60	0.215	43.290421	77.326180	1369.50	43.290508	77.326118	1398.1	11011
1253	2023-02-20	09:10:12	3890.8022	1	0.0155	0.0020	3876.2820	6.6	2.6	-0.7881	-0.0419	0.0006	-0.1002	14.6617	60	0.215	43.290421	77.326180	1369.50	43.290527	77.326233	1397.5	11011
1253	2023-02-20	09:11:12	3890.8026	1	0.0113	0.0015	3876.2832	6.8	2.2	-0.7888	-0.0423	0.0006	-0.1006	14.6618	60	0.215	43.290421	77.326180	1369.50	43.290497	77.326180	1397.7	11011
1089	2023-02-20	10:40:13	4042.0213	1	0.0228	0.0029	4027.5253	4.4	-1.7	-0.7012	-0.0815	0.0003	-0.0892	14.6665	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:41:13	4042.0236	1	0.0279	0.0036	4027.5277	4.8	-0.5	-0.7082	-0.0819	0.0002	-0.0889	14.6666	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:42:13	4042.0235	1	0.0178	0.0023	4027.5279	5.1	-1.4	-0.7017	-0.0824	0.0004	-0.0890	14.6666	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:43:13	4042.0238	1	0.0212	0.0027	4027.5283	3.8	-1.1	-0.7009	-0.0828	0.0003	-0.0886	14.6667	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:44:13	4042.0249	1	0.0188	0.0024	4027.5299	3.4	-0.1	-0.6965	-0.0832	0.0002	-0.0887	14.6667	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:45:13	4042.0243	1	0.0205	0.0026	4027.5295	3.1	-1.3	-0.7013	-0.0836	0.0002	-0.0885	14.6668	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:46:13	4042.0230	1	0.0179	0.0023	4027.5285	2.9	-0.1	-0.6937	-0.0840	0.0001	-0.0885	14.6668	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:47:13	4042.0235	1	0.0279	0.0036	4027.5296	2.5	0.6	-0.6982	-0.0844	0.0001	-0.0886	14.6669	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:48:13	4042.0235	1	0.0263	0.0034	4027.5296	1.7	-0.4	-0.6949	-0.0848	0.0001	-0.0883	14.6669	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
1089	2023-02-20	10:49:13	4042.0235	1	0.0192	0.0025	4027.5300	1.2	-1.1	-0.6903	-0.0852	0.0001	-0.0883	14.6670	60	0.215	43.355932	76.936576	700.00	--	--	--	11011
