/		CG-6 Survey
/		Survey Name:	1089-1253
/		Instrument Serial Number:	000000022090450
/		Created:	2023-05-17 05:14:14
/
/		CG-6 Calibration
/		Operator:	BIZAK
/		Gcal1 [mGal]:	7779.194000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030980
/		Y Scale [arc-sec/ADU]:	0.030777
/		X Offset [ADU]:	-145237.000000
/		Y Offset [ADU]:	-252482.000000
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.113064
/		Drift Zero Time:	2022-08-08 18:34:51
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1089	2023-05-17	05:14:14	4482.8127	1	0.0175	0.0023	4450.9161	-2.4	-2.4	-0.2353	0.1056	0.0002	-0.0302	31.8210	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:15:14	4482.8139	1	0.0122	0.0016	4450.9174	-2.2	-2.5	-0.2370	0.1057	0.0002	-0.0304	31.8211	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:16:14	4482.8129	1	0.0149	0.0019	4450.9165	-2.2	-2.2	-0.2297	0.1057	0.0002	-0.0306	31.8212	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:17:14	4482.8143	1	0.0120	0.0016	4450.9182	-1.2	-1.7	-0.2364	0.1058	0.0001	-0.0310	31.8212	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:18:14	4482.8153	1	0.0152	0.0020	4450.9192	-2.7	-0.8	-0.2460	0.1059	0.0001	-0.0312	31.8213	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:19:14	4482.8152	1	0.0115	0.0015	4450.9194	-3.1	-1.3	-0.2485	0.1060	0.0002	-0.0317	31.8214	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:20:14	4482.8151	1	0.0117	0.0015	4450.9196	-3.0	-1.4	-0.2461	0.1060	0.0001	-0.0322	31.8215	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:21:14	4482.8150	1	0.0161	0.0021	4450.9196	-2.9	-1.8	-0.2503	0.1061	0.0002	-0.0323	31.8216	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:22:14	4482.8143	1	0.0136	0.0018	4450.9192	-2.0	-1.2	-0.2469	0.1061	0.0001	-0.0327	31.8216	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	05:23:14	4482.8149	1	0.0184	0.0024	4450.9197	-1.7	-1.9	-0.2566	0.1062	0.0001	-0.0327	31.8217	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1253	2023-05-17	07:20:19	4331.6391	1	0.0485	0.0063	4299.7636	-1.1	0.4	-0.2172	0.0722	0.0006	-0.0283	31.8309	60	0.216	43.290565	77.326347	1362.90	43.290520	77.326286	1366.5	11011
1253	2023-05-17	07:21:19	4331.6414	1	0.0129	0.0017	4299.7672	3.0	0.3	-0.2201	0.0716	0.0001	-0.0286	31.8310	60	0.216	43.290565	77.326347	1362.90	43.290386	77.326065	1369.9	11011
1253	2023-05-17	07:22:19	4331.6410	1	0.0125	0.0016	4299.7677	2.1	-1.6	-0.2246	0.0711	0.0001	-0.0290	31.8311	60	0.216	43.290565	77.326347	1362.90	43.290462	77.326210	1373.8	11011
1253	2023-05-17	07:23:19	4331.6398	1	0.0104	0.0013	4299.7677	1.6	-1.0	-0.2267	0.0705	0.0001	-0.0296	31.8311	60	0.216	43.290565	77.326347	1362.90	43.290527	77.326256	1372.1	11011
1253	2023-05-17	07:24:19	4331.6400	1	0.0103	0.0013	4299.7688	0.3	-1.4	-0.2283	0.0699	0.0001	-0.0299	31.8312	60	0.216	43.290565	77.326347	1362.90	43.290462	77.326134	1372.7	11011
1253	2023-05-17	07:25:19	4331.6380	1	0.0108	0.0014	4299.7677	0.4	-3.6	-0.2330	0.0693	0.0002	-0.0305	31.8313	60	0.216	43.290565	77.326347	1362.90	43.290508	77.326233	1370.9	11011
1253	2023-05-17	07:26:19	4331.6378	1	0.0099	0.0013	4299.7687	1.5	-2.0	-0.2422	0.0687	0.0001	-0.0311	31.8314	60	0.216	43.290565	77.326347	1362.90	43.290478	77.326248	1371.1	11011
1253	2023-05-17	07:27:19	4331.6366	1	0.0076	0.0010	4299.7685	1.4	-2.0	-0.2456	0.0681	0.0001	-0.0316	31.8315	60	0.216	43.290565	77.326347	1362.90	43.290535	77.326180	1370.3	11011
1253	2023-05-17	07:28:19	4331.6365	1	0.0081	0.0011	4299.7693	1.9	-1.9	-0.2485	0.0675	0.0001	-0.0321	31.8315	60	0.216	43.290565	77.326347	1362.90	43.290440	77.326057	1369.0	11011
1253	2023-05-17	07:29:19	4331.6370	1	0.0118	0.0015	4299.7709	0.7	-2.3	-0.2504	0.0670	0.0001	-0.0326	31.8316	60	0.216	43.290565	77.326347	1362.90	43.290470	77.326118	1363.9	11011
1089	2023-05-17	09:03:22	4482.8146	1	0.0119	0.0015	4450.9963	-0.7	-3.7	-0.1855	0.0031	0.0002	-0.0240	31.8390	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:04:22	4482.8151	1	0.0124	0.0016	4450.9976	0.2	-4.3	-0.1825	0.0023	0.0002	-0.0241	31.8391	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:05:22	4482.8138	1	0.0127	0.0016	4450.9970	-0.4	-4.8	-0.1845	0.0016	0.0002	-0.0242	31.8392	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:06:22	4482.8144	1	0.0125	0.0016	4450.9982	-1.3	-4.0	-0.1867	0.0009	0.0003	-0.0242	31.8392	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:07:22	4482.8134	1	0.0124	0.0016	4450.9981	-0.4	-5.1	-0.1850	0.0002	0.0004	-0.0246	31.8393	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:08:22	4482.8126	1	0.0145	0.0019	4450.9983	0.4	-3.8	-0.1944	-0.0005	0.0002	-0.0247	31.8394	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:09:22	4482.8126	1	0.0119	0.0015	4450.9993	0.1	-4.4	-0.1986	-0.0012	0.0003	-0.0251	31.8395	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:10:22	4482.8119	1	0.0112	0.0014	4450.9994	-1.2	-3.9	-0.1954	-0.0020	0.0003	-0.0253	31.8395	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:11:22	4482.8123	1	0.0108	0.0014	4451.0009	-1.3	-3.8	-0.2005	-0.0027	0.0002	-0.0258	31.8396	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	09:12:22	4482.8136	1	0.0114	0.0015	4451.0031	-2.5	-4.3	-0.2049	-0.0034	0.0003	-0.0262	31.8397	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1253	2023-05-17	10:23:25	4331.6341	1	0.0098	0.0013	4299.8617	-2.5	-4.8	-0.1799	-0.0499	0.0004	-0.0234	31.8453	60	0.216	43.290495	77.326297	1380.00	43.290520	77.326248	1363.5	11011
1253	2023-05-17	10:24:25	4331.6318	1	0.0086	0.0011	4299.8599	-1.5	-6.8	-0.1857	-0.0504	0.0006	-0.0237	31.8454	60	0.216	43.290495	77.326297	1380.00	43.290520	77.326195	1365.9	11011
1253	2023-05-17	10:25:25	4331.6319	1	0.0092	0.0012	4299.8610	-1.1	-6.9	-0.1836	-0.0509	0.0006	-0.0241	31.8454	60	0.216	43.290495	77.326297	1380.00	43.290535	77.326294	1366.8	11011
1253	2023-05-17	10:26:25	4331.6305	1	0.0081	0.0010	4299.8606	-0.9	-6.0	-0.1906	-0.0515	0.0005	-0.0246	31.8455	60	0.216	43.290495	77.326297	1380.00	43.290577	77.326347	1366.2	11011
1253	2023-05-17	10:27:25	4331.6311	1	0.0113	0.0015	4299.8617	-0.4	-7.2	-0.1919	-0.0520	0.0007	-0.0249	31.8456	60	0.216	43.290495	77.326297	1380.00	43.290508	77.326118	1371.9	11011
1253	2023-05-17	10:28:25	4331.6305	1	0.0090	0.0012	4299.8624	-0.9	-7.2	-0.2057	-0.0525	0.0005	-0.0256	31.8457	60	0.216	43.290495	77.326297	1380.00	43.290421	77.325836	1387.1	11011
1253	2023-05-17	10:29:25	4331.6291	1	0.0103	0.0013	4299.8615	-1.6	-7.2	-0.1994	-0.0530	0.0008	-0.0259	31.8458	60	0.216	43.290495	77.326297	1380.00	43.290489	77.326004	1408.4	11011
1253	2023-05-17	10:30:25	4331.6298	1	0.0077	0.0010	4299.8634	-1.7	-7.6	-0.2126	-0.0536	0.0007	-0.0265	31.8458	60	0.216	43.290495	77.326297	1380.00	43.290470	77.326141	1415.2	11011
1253	2023-05-17	10:31:25	4331.6296	1	0.0096	0.0012	4299.8641	-2.2	-7.3	-0.2091	-0.0541	0.0007	-0.0270	31.8459	60	0.216	43.290495	77.326297	1380.00	43.290527	77.326103	1412.1	11011
1253	2023-05-17	10:32:25	4331.6297	1	0.0078	0.0010	4299.8651	-1.8	-8.0	-0.2186	-0.0546	0.0007	-0.0275	31.8460	60	0.216	43.290495	77.326297	1380.00	43.290470	77.326080	1411.0	11011
1089	2023-05-17	11:43:15	4482.8437	1	0.0119	0.0015	4451.0957	-2.2	1.7	-0.1849	-0.0797	0.0001	-0.0240	31.8516	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:44:15	4482.8433	1	0.0109	0.0014	4451.0958	-0.9	0.6	-0.1897	-0.0799	0.0000	-0.0243	31.8516	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:45:15	4482.8437	1	0.0180	0.0023	4451.0965	-1.9	-0.4	-0.1976	-0.0801	0.0001	-0.0245	31.8517	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:46:15	4482.8421	1	0.0130	0.0017	4451.0953	-3.2	0.3	-0.1979	-0.0803	0.0001	-0.0248	31.8518	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:47:15	4482.8424	1	0.0144	0.0019	4451.0957	-4.6	0.4	-0.1906	-0.0805	0.0003	-0.0250	31.8519	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:48:15	4482.8426	1	0.0137	0.0018	4451.0965	-4.1	0.0	-0.1900	-0.0807	0.0003	-0.0254	31.8519	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:49:15	4482.8421	1	0.0120	0.0015	4451.0963	-3.7	1.4	-0.1991	-0.0809	0.0003	-0.0256	31.8520	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:50:15	4482.8414	1	0.0110	0.0014	4451.0963	-3.6	1.5	-0.2029	-0.0811	0.0001	-0.0261	31.8521	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:51:15	4482.8411	1	0.0140	0.0018	4451.0965	-2.7	0.6	-0.2031	-0.0812	0.0002	-0.0264	31.8522	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
1089	2023-05-17	11:52:15	4482.8425	1	0.0156	0.0020	4451.0982	-2.7	1.0	-0.2088	-0.0814	0.0002	-0.0267	31.8523	60	0.216	43.356075	76.936699	677.67	--	--	--	11011
