/		CG-6 Survey
/		Survey Name:	1327-1253
/		Instrument Serial Number:	000000022090450
/		Created:	2023-02-22 04:32:45
/
/		CG-6 Calibration
/		Operator:	BIZAK
/		Gcal1 [mGal]:	7779.194000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030980
/		Y Scale [arc-sec/ADU]:	0.030777
/		X Offset [ADU]:	-145237.000000
/		Y Offset [ADU]:	-252482.000000
/		Temperature Coefficient [mGal/mK]:	-0.130000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.055288
/		Drift Zero Time:	2022-08-08 18:34:51
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1327	2023-02-22	04:32:45	4463.3058	3	0.0228	0.0029	4452.4526	-1.3	3.9	0.0643	-0.0700	0.0002	0.0083	10.9147	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.6	11011
1327	2023-02-22	04:33:45	4463.3046	3	0.0144	0.0019	4452.4514	-1.0	3.2	0.0542	-0.0695	0.0002	0.0078	10.9148	60	0.208	43.367191	77.051486	674.00	43.367210	77.051476	653.6	11011
1327	2023-02-22	04:34:45	4463.3025	3	0.0132	0.0017	4452.4494	-2.1	2.3	0.0547	-0.0690	0.0001	0.0072	10.9148	60	0.208	43.367191	77.051486	674.00	43.367210	77.051476	653.6	11011
1327	2023-02-22	04:35:45	4463.3012	3	0.0148	0.0019	4452.4478	-3.1	4.6	0.0505	-0.0685	0.0005	0.0066	10.9148	60	0.208	43.367191	77.051486	674.00	43.367210	77.051476	653.7	11011
1327	2023-02-22	04:36:45	4463.3006	3	0.0166	0.0021	4452.4471	-3.1	2.9	0.0496	-0.0680	0.0003	0.0062	10.9149	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.6	11011
1327	2023-02-22	04:37:45	4463.3001	3	0.0189	0.0024	4452.4466	-4.8	3.4	0.0380	-0.0675	0.0004	0.0057	10.9149	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.6	11011
1327	2023-02-22	04:38:45	4463.2981	3	0.0160	0.0021	4452.4444	-6.6	1.5	0.0379	-0.0670	0.0006	0.0052	10.9150	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.6	11011
1327	2023-02-22	04:39:45	4463.2971	3	0.0154	0.0020	4452.4435	-5.7	2.2	0.0340	-0.0665	0.0004	0.0046	10.9150	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.6	11011
1327	2023-02-22	04:40:45	4463.2961	3	0.0193	0.0025	4452.4420	-6.8	1.9	0.0361	-0.0660	0.0005	0.0045	10.9150	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.7	11011
1327	2023-02-22	04:41:45	4463.2960	3	0.0160	0.0021	4452.4413	-8.4	2.5	0.0215	-0.0654	0.0009	0.0041	10.9151	60	0.208	43.367191	77.051486	674.00	43.367210	77.051460	653.7	11011
