/		CG-6 Survey
/		Survey Name:	0119-1592-0130
/		Instrument Serial Number:	000000022090458
/		Created:	2023-08-28 10:19:20
/
/		CG-6 Calibration
/		Operator:	BIZAK
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.039717
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
0119	2023-08-28	10:19:20	4203.0568	1	0.0075	0.0010	4188.0596	-5.3	1.0	-0.7152	-0.0419	0.0004	-0.0908	15.1295	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:20:20	4203.0587	1	0.0065	0.0008	4188.0622	-7.0	1.3	-0.7224	-0.0426	0.0006	-0.0910	15.1295	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:21:20	4203.0589	1	0.0059	0.0008	4188.0631	-7.6	1.0	-0.7174	-0.0433	0.0006	-0.0911	15.1296	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:22:20	4203.0590	1	0.0050	0.0006	4188.0638	-7.7	1.7	-0.7181	-0.0440	0.0008	-0.0912	15.1296	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:23:20	4203.0585	1	0.0056	0.0007	4188.0642	-7.8	0.3	-0.7224	-0.0447	0.0008	-0.0914	15.1296	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:24:20	4203.0583	1	0.0059	0.0008	4188.0650	-6.8	-0.3	-0.7196	-0.0454	0.0005	-0.0915	15.1296	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:25:20	4203.0590	1	0.0069	0.0009	4188.0666	-7.6	-0.0	-0.7246	-0.0461	0.0007	-0.0918	15.1297	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:26:20	4203.0571	1	0.0053	0.0007	4188.0652	-8.0	0.4	-0.7247	-0.0467	0.0008	-0.0918	15.1297	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:27:20	4203.0573	1	0.0071	0.0009	4188.0661	-9.0	0.0	-0.7276	-0.0474	0.0010	-0.0922	15.1297	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
0119	2023-08-28	10:28:20	4203.0589	1	0.0061	0.0008	4188.0678	-9.9	1.9	-0.7217	-0.0481	0.0014	-0.0920	15.1298	60	0.211	43.605328	73.750961	469.20	--	--	--	11011
1592	2023-08-28	11:24:53	4210.1001	1	0.0180	0.0023	4195.1417	0.7	-9.2	-0.7375	-0.0801	0.0010	-0.0939	15.1313	60	0.172	43.722198	73.763168	452.50	43.722198	73.763168	452.5	11011
1592	2023-08-28	11:25:53	4210.1013	1	0.0084	0.0011	4195.1437	0.4	-9.1	-0.7451	-0.0805	0.0010	-0.0943	15.1313	60	0.172	43.722198	73.763168	452.50	43.722198	73.763168	452.5	11011
1592	2023-08-28	11:26:53	4210.1013	1	0.0069	0.0009	4195.1446	0.4	-7.7	-0.7466	-0.0810	0.0007	-0.0944	15.1314	60	0.172	43.722198	73.763168	452.50	43.722198	73.763168	452.5	11011
