/		CG-6 Survey
/		Survey Name:	1089_VG-20231404
/		Instrument Serial Number:	000000022090458
/		Created:	2023-04-14 05:24:43
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.058275
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-04-14	05:24:43	4038.1038	1	0.0169	0.0022	4023.9669	-3.9	1.1	-0.6213	-0.0459	0.0002	-0.0790	14.2616	60	0.213	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:25:43	4038.1049	1	0.0125	0.0016	4023.9677	-4.0	0.9	-0.6297	-0.0459	0.0002	-0.0787	14.2616	60	0.213	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:26:43	4038.1041	1	0.0104	0.0013	4023.9669	-4.6	-0.7	-0.6183	-0.0458	0.0002	-0.0788	14.2617	60	0.213	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:27:43	4038.1043	1	0.0130	0.0017	4023.9672	-5.0	0.1	-0.6176	-0.0458	0.0002	-0.0790	14.2617	60	0.213	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:28:43	4038.1041	1	0.0117	0.0015	4023.9667	-4.5	0.0	-0.6202	-0.0458	0.0002	-0.0788	14.2617	60	0.213	43.356075	76.936699	677.67	--	--	--	11011
2	2023-04-14	05:41:45	4037.9648	1	0.0121	0.0016	4023.8262	0.7	-2.3	-0.6197	-0.0452	0.0001	-0.0785	14.2623	60	0.705	43.356075	76.936699	677.67	--	--	--	11011
2	2023-04-14	05:42:45	4037.9653	1	0.0142	0.0018	4023.8268	0.9	-1.8	-0.6212	-0.0452	0.0000	-0.0786	14.2623	60	0.705	43.356075	76.936699	677.67	--	--	--	11011
2	2023-04-14	05:43:45	4037.9657	1	0.0115	0.0015	4023.8270	0.9	-3.4	-0.6196	-0.0452	0.0002	-0.0786	14.2624	60	0.705	43.356075	76.936699	677.67	--	--	--	11011
2	2023-04-14	05:44:45	4037.9641	1	0.0118	0.0015	4023.8253	-0.2	-2.8	-0.6260	-0.0451	0.0002	-0.0787	14.2624	60	0.705	43.356075	76.936699	677.67	--	--	--	11011
2	2023-04-14	05:45:45	4037.9653	1	0.0194	0.0025	4023.8264	1.4	-2.9	-0.6155	-0.0451	0.0002	-0.0787	14.2624	60	0.705	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:52:38	4038.1105	1	0.0116	0.0015	4023.9706	4.5	2.9	-0.6224	-0.0448	0.0003	-0.0784	14.2627	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:53:38	4038.1105	1	0.0126	0.0016	4023.9704	4.4	2.5	-0.6201	-0.0447	0.0004	-0.0783	14.2628	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:54:38	4038.1100	1	0.0126	0.0016	4023.9700	4.6	3.4	-0.6209	-0.0447	0.0004	-0.0785	14.2628	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:55:38	4038.1107	1	0.0175	0.0023	4023.9705	4.6	4.3	-0.6182	-0.0446	0.0005	-0.0785	14.2628	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
1	2023-04-14	05:56:38	4038.1111	1	0.0116	0.0015	4023.9707	4.7	5.0	-0.6237	-0.0446	0.0005	-0.0784	14.2629	60	0.214	43.356075	76.936699	677.67	--	--	--	11011
