/		CG-6 Survey
/		Survey Name:	1253_VG_16052023
/		Instrument Serial Number:	000000022090458
/		Created:	2023-05-16 04:46:27
/
/		CG-6 Calibration
/		Operator:	DANIL
/		Gcal1 [mGal]:	7856.208000
/		Goff [ADU]:	-8388608.000000
/		Gref [mGal]:	0.0000
/		X Scale [arc-sec/ADU]:	0.030686
/		Y Scale [arc-sec/ADU]:	0.031144
/		X Offset [ADU]:	-182334.000000
/		Y Offset [ADU]:	-285002.000000
/		Temperature Coefficient [mGal/mK]:	-0.127000
/		Temperature Scale [mK/ADU]:	-0.000111
/		Drift Rate [mGal/day]:	-0.058275
/		Drift Zero Time:	2022-08-12 11:51:50
/		Firmware Version:	CG6_2_20220815
/
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
1	2023-05-16	04:46:27	3886.9044	1	0.0067	0.0009	3870.7846	0.9	1.5	-0.6398	0.0770	0.0001	-0.0820	16.1248	60	0.213	43.290558	77.326553	1371.00	43.290577	77.326141	1404.5	11011
1	2023-05-16	04:47:27	3886.9058	1	0.0081	0.0010	3870.7861	0.4	1.6	-0.6514	0.0770	0.0001	-0.0823	16.1249	60	0.213	43.290558	77.326553	1371.00	43.290421	77.326096	1401.4	11011
1	2023-05-16	04:48:27	3886.9058	1	0.0075	0.0010	3870.7863	0.7	2.1	-0.6545	0.0770	0.0001	-0.0826	16.1249	60	0.213	43.290558	77.326553	1371.00	43.290405	77.326057	1397.6	11011
1	2023-05-16	04:49:27	3886.9045	1	0.0085	0.0011	3870.7854	-1.2	1.6	-0.6591	0.0771	0.0001	-0.0829	16.1249	60	0.213	43.290558	77.326553	1371.00	43.290348	77.326332	1396.9	11011
1	2023-05-16	04:50:27	3886.9066	1	0.0079	0.0010	3870.7875	-0.3	2.8	-0.6591	0.0771	0.0002	-0.0832	16.1250	60	0.213	43.290558	77.326553	1371.00	43.290432	77.326096	1388.7	11011
2	2023-05-16	05:07:58	3886.7594	1	0.0105	0.0013	3870.6426	4.0	0.8	-0.6799	0.0769	0.0002	-0.0860	16.1257	60	0.703	43.290558	77.326553	1371.00	43.290470	77.326256	1376.9	11011
2	2023-05-16	05:08:58	3886.7591	1	0.0089	0.0012	3870.6420	4.6	1.7	-0.6775	0.0768	0.0003	-0.0858	16.1257	60	0.703	43.290558	77.326553	1371.00	43.290462	77.326363	1374.7	11011
2	2023-05-16	05:09:58	3886.7596	1	0.0086	0.0011	3870.6429	2.8	1.9	-0.6825	0.0767	0.0002	-0.0860	16.1258	60	0.703	43.290558	77.326553	1371.00	43.290440	77.326233	1374.5	11011
2	2023-05-16	05:10:58	3886.7594	1	0.0070	0.0009	3870.6428	3.2	2.5	-0.6725	0.0767	0.0002	-0.0861	16.1258	60	0.703	43.290558	77.326553	1371.00	43.290451	77.326286	1375.6	11011
2	2023-05-16	05:11:58	3886.7595	1	0.0071	0.0009	3870.6431	3.1	3.3	-0.6742	0.0766	0.0002	-0.0863	16.1259	60	0.703	43.290558	77.326553	1371.00	43.290565	77.326286	1376.7	11011
1	2023-05-16	05:18:00	3886.9050	1	0.0084	0.0011	3870.7886	5.8	-2.5	-0.6795	0.0760	0.0005	-0.0862	16.1261	60	0.212	43.290558	77.326553	1371.00	43.290527	77.326294	1372.2	11011
1	2023-05-16	05:19:00	3886.9061	1	0.0089	0.0011	3870.7895	6.8	-1.9	-0.6846	0.0759	0.0007	-0.0862	16.1261	60	0.212	43.290558	77.326553	1371.00	43.290451	77.326233	1373.0	11011
1	2023-05-16	05:20:00	3886.9062	1	0.0077	0.0010	3870.7900	5.9	-0.8	-0.6754	0.0758	0.0005	-0.0862	16.1262	60	0.212	43.290558	77.326553	1371.00	43.290462	77.326218	1371.0	11011
1	2023-05-16	05:21:00	3886.9068	1	0.0096	0.0012	3870.7909	5.4	0.2	-0.6811	0.0757	0.0004	-0.0863	16.1262	60	0.212	43.290558	77.326553	1371.00	43.290413	77.326286	1369.9	11011
1	2023-05-16	05:22:00	3886.9065	1	0.0073	0.0009	3870.7908	5.4	-0.2	-0.6760	0.0755	0.0003	-0.0864	16.1263	60	0.212	43.290558	77.326553	1371.00	43.290421	77.326233	1370.5	11011
2	2023-05-16	05:26:46	3886.7613	1	0.0092	0.0012	3870.6462	3.0	0.3	-0.6818	0.0748	0.0001	-0.0864	16.1265	60	0.702	43.290558	77.326553	1371.00	43.290604	77.326218	1372.3	11011
2	2023-05-16	05:27:46	3886.7585	1	0.0061	0.0008	3870.6438	3.2	0.6	-0.6822	0.0747	0.0002	-0.0866	16.1265	60	0.702	43.290558	77.326553	1371.00	43.290565	77.326248	1371.3	11011
2	2023-05-16	05:28:46	3886.7588	1	0.0076	0.0010	3870.6441	4.1	0.3	-0.6855	0.0745	0.0002	-0.0866	16.1265	60	0.702	43.290558	77.326553	1371.00	43.290577	77.326218	1369.7	11011
2	2023-05-16	05:29:46	3886.7588	1	0.0075	0.0010	3870.6442	4.2	2.0	-0.6831	0.0744	0.0003	-0.0866	16.1266	60	0.702	43.290558	77.326553	1371.00	43.290585	77.326180	1370.1	11011
2	2023-05-16	05:30:46	3886.7594	1	0.0066	0.0009	3870.6449	4.8	2.0	-0.6851	0.0742	0.0003	-0.0867	16.1266	60	0.702	43.290558	77.326553	1371.00	43.290554	77.326256	1369.7	11011
1	2023-05-16	05:34:02	3886.9023	1	0.0071	0.0009	3870.7883	2.8	-3.7	-0.6779	0.0736	0.0003	-0.0866	16.1267	60	0.210	43.290558	77.326553	1371.00	43.290501	77.326271	1368.7	11011
1	2023-05-16	05:35:02	3886.9024	1	0.0067	0.0009	3870.7886	3.7	-2.6	-0.6815	0.0734	0.0002	-0.0866	16.1268	60	0.210	43.290558	77.326553	1371.00	43.290443	77.326324	1368.6	11011
1	2023-05-16	05:36:02	3886.9031	1	0.0064	0.0008	3870.7895	3.7	-1.9	-0.6806	0.0732	0.0003	-0.0868	16.1268	60	0.210	43.290558	77.326553	1371.00	43.290535	77.326324	1368.5	11011
1	2023-05-16	05:37:02	3886.9030	1	0.0080	0.0010	3870.7897	3.3	-1.8	-0.6797	0.0730	0.0002	-0.0868	16.1269	60	0.210	43.290558	77.326553	1371.00	43.290497	77.326324	1368.3	11011
1	2023-05-16	05:38:02	3886.9042	1	0.0099	0.0013	3870.7908	4.5	-2.6	-0.6759	0.0728	0.0003	-0.0866	16.1269	60	0.210	43.290558	77.326553	1371.00	43.290478	77.326248	1366.2	11011
